"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Jason Sanders (MIA)","5","5","100.0","57","0","1","1","0","3","1","1","1","22.0","22.0","46.2%"
"2","Cameron Dicker (LAC)","5","5","100.0","53","0","1","0","3","1","1","1","1","21.0","21.0","45.5%"
"3","Younghoe Koo (ATL)","5","5","100.0","47","0","2","1","2","0","2","2","1","19.0","19.0","65.7%"
"4","Jake Elliott (PHI)","4","4","100.0","44","0","2","0","2","0","3","3","1","17.0","17.0","93.7%"
"5","Justin Tucker (BAL)","4","4","100.0","41","0","3","0","1","0","3","3","1","16.0","16.0","98.8%"
"6","Greg Zuerlein (NYJ)","3","3","100.0","54","0","2","0","0","1","3","3","1","14.0","14.0","41.9%"
"7","Chase McLaughlin (TB)","3","3","100.0","51","0","1","1","0","1","3","3","1","14.0","14.0","6.7%"
"8","Lucas Havrisik (FA)","3","4","75.0","32","0","2","1","0","0","3","3","1","12.0","12.0","2.1%"
"9","Chris Boswell (PIT)","2","2","100.0","50","0","0","1","0","1","4","4","1","12.0","12.0","17.1%"
"10","Anders Carlson (GB)","2","2","100.0","53","0","0","1","0","1","3","4","1","11.0","11.0","2.0%"
"11","Cairo Santos (CHI)","2","2","100.0","49","0","1","0","1","0","3","3","1","10.0","10.0","23.4%"
"12","Chad Ryland (NE)","2","3","66.7","56","0","0","1","0","1","2","3","1","10.0","10.0","0.4%"
"13","Brandon Aubrey (DAL)","2","2","100.0","43","0","0","1","1","0","2","2","1","9.0","9.0","96.9%"
"14","Jason Myers (SEA)","2","2","100.0","28","0","2","0","0","0","2","2","1","8.0","8.0","31.7%"
"15","Mason Crosby (FA)","1","1","100.0","52","0","0","0","0","1","2","2","1","7.0","7.0","0.1%"
"16","Daniel Carlson (LV)","2","2","100.0","35","0","1","1","0","0","0","0","1","6.0","6.0","24.2%"
