"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Sam LaPorta (DET)","5","6","56","11.2","19","0","3","0","0","0","0","1","23.6","23.6","98.9%"
"2","David Njoku (CLE)","10","14","104","10.4","34","2","1","0","0","0","0","1","16.4","16.4","93.6%"
"3","Isaiah Likely (BAL)","5","6","70","14.0","26","1","1","0","0","0","0","1","13.0","13.0","37.0%"
"4","Hunter Henry (NE)","7","9","66","9.4","16","0","1","0","0","0","0","1","12.6","12.6","15.1%"
"5","Tucker Kraft (GB)","4","6","57","14.3","36","1","1","0","0","0","0","1","11.7","11.7","11.2%"
"6","Elijah Higgins (ARI)","4","4","44","11.0","17","0","1","0","0","0","0","1","10.4","10.4","0.1%"
"7","Trey McBride (ARI)","10","11","102","10.2","38","1","0","0","0","0","0","1","10.2","10.2","91.4%"
"8","Michael Mayer (LV)","4","5","39","9.8","13","0","1","0","0","0","0","1","9.9","9.9","4.4%"
"9","Juwan Johnson (NO)","2","2","38","19.0","23","1","1","0","0","0","0","1","9.8","9.8","9.5%"
"10","Cole Kmet (CHI)","5","7","23","4.6","8","0","1","0","0","0","0","1","8.3","8.3","69.8%"
"11","Mo Alie-Cox (IND)","2","3","21","10.5","18","0","1","0","0","0","0","1","8.1","8.1","0.1%"
"12","Jimmy Graham (FA)","2","2","9","4.5","8","0","1","0","0","0","0","1","6.9","6.9","0.0%"
"13","T.J. Hockenson (MIN)","6","7","63","10.5","16","0","0","0","0","0","0","1","6.3","6.3","81.1%"
"14","Ko Kieft (TB)","1","1","2","2.0","2","0","1","0","0","0","0","1","6.2","6.2","0.1%"
"15","Jonnu Smith (MIA)","2","2","61","30.5","56","1","0","0","0","0","0","1","6.1","6.1","8.0%"
"16","Dalton Schultz (HOU)","4","5","58","14.5","19","0","0","0","0","0","0","1","5.8","5.8","75.6%"
"17","George Kittle (SF)","2","4","54","27.0","35","1","0","0","0","0","0","1","5.4","5.4","97.5%"
"18","Tanner Hudson (CIN)","5","5","49","9.8","14","0","0","0","0","0","0","1","4.9","4.9","2.6%"
"19","Cade Otton (TB)","2","2","44","22.0","22","2","0","0","0","0","0","1","4.4","4.4","16.5%"
"20","Jake Ferguson (DAL)","6","8","44","7.3","13","0","0","0","0","0","0","1","4.4","4.4","89.5%"
"21","Gerald Everett (CHI)","5","8","41","8.2","13","0","0","0","0","0","0","1","4.1","4.1","23.4%"
"22","Darren Waller (FA)","4","6","40","10.0","29","1","0","0","0","0","0","1","4.0","4.0","45.4%"
"23","Noah Gray (KC)","2","2","37","18.5","32","1","0","0","0","0","0","1","3.7","3.7","0.8%"
"24","Kyle Pitts (ATL)","3","4","37","12.3","24","1","0","0","0","0","0","1","3.7","3.7","88.3%"
"25","Tyler Higbee (LAR)","4","5","36","9.0","14","0","0","0","0","0","0","1","3.6","3.6","19.5%"
"26","Chigoziem Okonkwo (TEN)","3","3","36","12.0","22","1","0","0","0","0","0","1","3.6","3.6","23.7%"
"27","Durham Smythe (MIA)","4","4","32","8.0","11","0","0","0","0","0","0","1","3.2","3.2","0.6%"
"28","Tommy Tremble (CAR)","2","2","32","16.0","19","0","0","0","0","0","0","1","3.2","3.2","0.3%"
"29","Dallas Goedert (PHI)","4","9","30","7.5","18","0","0","1","1","0","0","1","3.1","3.1","89.3%"
"30","Evan Engram (JAC)","4","6","28","7.0","11","0","0","0","0","0","0","1","2.8","2.8","96.4%"
"31","Travis Kelce (KC)","5","7","28","5.6","11","0","0","0","0","0","0","1","2.8","2.8","99.9%"
"32","Luke Farrell (JAC)","1","1","28","28.0","28","1","0","0","0","0","0","1","2.8","2.8","0.1%"
"33","Geoff Swaim (FA)","1","1","26","26.0","26","1","0","0","0","0","0","1","2.6","2.6","0.0%"
"34","Adam Trautman (DEN)","1","3","24","24.0","24","1","0","0","0","0","0","1","2.4","2.4","0.2%"
"35","Mitchell Wilcox (NE)","2","2","20","10.0","10","0","0","0","0","0","0","1","2.0","2.0","0.0%"
"36","Tyler Conklin (NYJ)","4","7","18","4.5","10","0","0","0","0","0","0","1","1.8","1.8","16.7%"
"37","Lucas Krull (DEN)","1","3","18","18.0","18","0","0","0","0","0","0","1","1.8","1.8","0.1%"
"38","Irv Smith Jr. (KC)","2","3","18","9.0","14","0","0","0","0","0","0","1","1.8","1.8","1.7%"
"39","Jeremy Ruckert (NYJ)","2","2","16","8.0","9","0","0","0","0","0","0","1","1.6","1.6","0.2%"
"40","Pat Freiermuth (PIT)","3","4","16","5.3","6","0","0","0","0","0","0","1","1.6","1.6","57.5%"
"41","Noah Fant (SEA)","3","5","16","5.3","6","0","0","0","0","0","0","1","1.6","1.6","2.2%"
"42","Charlie Kolar (BAL)","1","1","15","15.0","15","0","0","0","0","0","0","1","1.5","1.5","0.1%"
"43","Stone Smartt (LAC)","3","3","15","5.0","6","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"44","Stephen Sullivan (CAR)","1","1","14","14.0","14","0","0","0","0","0","0","1","1.4","1.4","0.1%"
"45","Davis Allen (LAR)","1","1","14","14.0","14","0","0","0","0","0","0","1","1.4","1.4","0.1%"
"46","Brevin Jordan (HOU)","1","1","14","14.0","14","0","0","0","0","0","0","1","1.4","1.4","5.1%"
"47","Josh Oliver (MIN)","2","2","14","7.0","12","0","0","0","0","0","0","1","1.4","1.4","0.6%"
"48","Foster Moreau (NO)","3","5","13","4.3","8","0","0","0","0","0","0","1","1.3","1.3","0.1%"
"49","Daniel Bellinger (NYG)","2","2","13","6.5","8","0","0","0","0","0","0","1","1.3","1.3","0.8%"
"50","Tucker Fisk (FA)","1","1","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.1%"
"51","Will Dissly (LAC)","2","2","9","4.5","5","0","0","0","0","0","0","1","0.9","0.9","0.2%"
"52","Jordan Akins (CLE)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","0.1%"
"53","Mike Gesicki (CIN)","1","2","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","2.2%"
