"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Justin Tucker (BAL)","6","6","100.0","41","0","4","1","1","0","0","1","1","19.0","19.0","98.8%"
"2","Harrison Butker (KC)","4","4","100.0","60","0","1","1","0","2","1","1","1","17.0","17.0","95.5%"
"3","Dustin Hopkins (CLE)","4","5","80.0","50","0","1","0","2","1","1","1","1","17.0","17.0","30.3%"
"4","Brandon McManus (FA)","3","3","100.0","51","0","0","0","2","1","4","4","1","17.0","17.0","18.2%"
"5","Brett Maher (FA)","4","4","100.0","43","0","2","1","1","0","2","2","1","15.0","15.0","0.6%"
"6","Greg Zuerlein (NYJ)","4","4","100.0","43","0","0","2","2","0","0","0","1","14.0","14.0","41.9%"
"7","Daniel Carlson (LV)","4","4","100.0","37","0","2","2","0","0","1","1","1","13.0","13.0","24.2%"
"8","Greg Joseph (GB)","2","3","66.7","53","0","0","0","0","2","1","2","1","11.0","11.0","3.7%"
"9","Matt Prater (ARI)","3","3","100.0","55","0","1","1","0","1","0","0","1","11.0","11.0","1.7%"
"10","Nick Folk (TEN)","3","3","100.0","38","0","2","1","0","0","1","1","1","10.0","10.0","9.4%"
"11","Matt Gay (IND)","2","2","100.0","56","0","1","0","0","1","2","2","1","10.0","10.0","35.5%"
"12","Graham Gano (NYG)","3","3","100.0","43","0","2","0","1","0","0","0","1","10.0","10.0","1.3%"
"13","Cairo Santos (CHI)","2","2","100.0","53","0","1","0","0","1","1","1","1","9.0","9.0","23.4%"
"14","Blake Grupe (NO)","2","4","50.0","48","0","0","0","2","0","1","1","1","9.0","9.0","3.8%"
"15","Jason Myers (SEA)","2","2","100.0","55","0","1","0","0","1","1","1","1","9.0","9.0","31.7%"
"16","Brandon Aubrey (DAL)","2","2","100.0","39","0","0","2","0","0","2","2","1","8.0","8.0","96.9%"
"17","Ka'imi Fairbairn (HOU)","2","2","100.0","24","0","2","0","0","0","2","2","1","8.0","8.0","48.8%"
"18","Riley Patterson (JAC)","2","3","66.7","36","0","0","2","0","0","2","2","1","8.0","8.0","13.1%"
"19","Evan McPherson (CIN)","1","1","100.0","52","0","0","0","0","1","2","2","1","7.0","7.0","83.1%"
"20","Joey Slye (NE)","1","1","100.0","37","0","0","1","0","0","3","3","1","6.0","6.0","0.6%"
"21","Jason Sanders (MIA)","0","0","0","0","0","0","0","0","0","6","6","1","6.0","6.0","46.2%"
"22","Chase McLaughlin (TB)","2","2","100.0","36","0","0","2","0","0","0","0","1","6.0","6.0","6.7%"
"23","Chad Ryland (NE)","1","1","100.0","43","0","0","0","1","0","2","2","1","6.0","6.0","0.4%"
"24","Younghoe Koo (ATL)","1","1","100.0","47","0","0","0","1","0","1","1","1","5.0","5.0","65.7%"
"25","Cameron Dicker (LAC)","1","1","100.0","24","0","1","0","0","0","2","2","1","5.0","5.0","45.5%"
"26","Jake Moody (SF)","1","3","33.3","25","0","1","0","0","0","2","2","1","5.0","5.0","69.4%"
"27","Eddy Pineiro (CAR)","0","1","0.0","0","0","0","0","0","0","3","3","1","3.0","3.0","1.4%"
"28","Jake Elliott (PHI)","0","1","0.0","0","0","0","0","0","0","2","2","1","2.0","2.0","93.7%"
"29","Tyler Bass (BUF)","0","2","0.0","0","0","0","0","0","0","2","2","1","2.0","2.0","47.3%"
"30","Ramiz Ahmed (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"31","Michael Badgley (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.1%"
