"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"1","Danielle Hunter (HOU)","6","3","1.5","0","0","1","0","0","1","26.3","26.3","52.1%"
"2","Jeffery Simmons (TEN)","5","0","1","0","0","0","1","0","1","23.0","23.0","26.9%"
"3","Josh Hines-Allen (JAC)","4","1","2.5","0","0","0","0","0","1","21.8","21.8","44.0%"
"4","Denico Autry (HOU)","3","0","2","0","0","0","0","0","1","20.0","20.0","9.5%"
"5","Nick Bosa (SF)","3","2","2","0","0","0","0","0","1","19.0","19.0","62.7%"
"6","Jaelan Phillips (MIA)","3","1","1","1","0","0","0","0","1","18.3","18.3","9.3%"
"7","Johnathan Hankins (SEA)","3","1","2","0","0","0","0","0","1","18.3","18.3","0.0%"
"8","Kobie Turner (LAR)","3","1","2","0","0","0","0","0","1","18.3","18.3","8.5%"
"9","Kayvon Thibodeaux (NYG)","4","1","0.5","0","0","1","0","0","1","17.8","17.8","23.0%"
"10","Christian Wilkins (LV)","3","0","2","0","0","0","0","0","1","17.5","17.5","47.1%"
"11","Greg Rousseau (BUF)","3","1","0","0","0","0","1","0","1","16.8","16.8","14.7%"
"12","Jadeveon Clowney (CAR)","2","1","1","0","0","1","1","0","1","15.8","15.8","22.3%"
"13","Javon Hargrave (SF)","2","5","1.5","0","0","0","0","0","1","15.3","15.3","14.0%"
"14","Brian Burns (NYG)","2","2","1","1","0","0","0","0","1","15.0","15.0","41.7%"
"15","Calijah Kancey (TB)","2","1","1","1","0","0","0","0","1","14.3","14.3","6.7%"
"16","Jihad Ward (MIN)","2","3","1.5","0","0","0","0","0","1","13.8","13.8","0.1%"
"17","Michael Hoecht (LAR)","4","1","1","0","0","0","0","0","1","13.3","13.3","13.0%"
"18","Keion White (NE)","3","2","1","0","0","0","0","0","1","12.5","12.5","1.6%"
"19","DeForest Buckner (IND)","5","1","0","1","0","0","0","0","1","12.3","12.3","46.4%"
"20","Montez Sweat (CHI)","2","1","1.5","0","0","0","0","0","1","12.3","12.3","34.3%"
"21","Nik Bonitto (DEN)","1","1","1.5","1","0","0","0","0","1","12.3","12.3","1.9%"
"22","Cameron Heyward (PIT)","3","1","1","0","0","0","0","0","1","11.8","11.8","22.6%"
"23","George Karlaftis III (KC)","3","0","1","0","0","0","0","0","1","11.0","11.0","12.6%"
