"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Saquon Barkley (PHI)","14","83","5.9","36","2","0","4","5","57","14.3","2","0","1","26.0","26.0","100.0%"
"2","Jaylen Warren (PIT)","9","129","14.3","74","2","1","3","3","16","5.3","0","0","1","20.5","20.5","84.7%"
"3","Gus Edwards (LAC)","12","62","5.2","26","1","2","2","2","8","4.0","0","0","1","19.0","19.0","80.5%"
"4","Devin Singletary (NYG)","22","112","5.1","21","1","1","2","2","6","3.0","0","0","1","17.8","17.8","83.9%"
"5","D'Andre Swift (CHI)","12","76","6.3","35","1","1","3","3","31","10.3","0","0","1","16.7","16.7","94.0%"
"6","Christian McCaffrey (SF)","21","78","3.7","12","0","0","5","5","25","5.0","1","0","1","16.3","16.3","100.0%"
"7","James Cook (BUF)","17","73","4.3","12","0","0","3","4","29","9.7","1","0","1","16.2","16.2","97.8%"
"8","Joe Mixon (HOU)","16","69","4.3","14","0","0","5","5","31","6.2","1","0","1","16.0","16.0","99.0%"
"9","David Montgomery (DET)","12","76","6.3","20","1","1","2","2","22","11.0","0","0","1","15.8","15.8","93.4%"
"10","Jahmyr Gibbs (DET)","8","36","4.5","14","0","1","6","6","59","9.8","0","0","1","15.5","15.5","99.3%"
"11","Tony Pollard (TEN)","12","61","5.1","22","2","1","4","5","19","4.8","0","0","1","14.0","14.0","93.1%"
"12","Breece Hall (NYJ)","10","23","2.3","14","0","0","5","6","50","10.0","1","0","1","13.3","13.3","98.9%"
"13","Brian Robinson Jr. (WAS)","17","73","4.3","18","0","0","7","9","59","8.4","0","0","1","13.2","13.2","86.0%"
"14","Rachaad White (TB)","9","30","3.3","7","0","1","6","7","28","4.7","0","0","1","11.8","11.8","97.5%"
"15","Ty Johnson (BUF)","3","11","3.7","13","0","0","3","3","47","15.7","1","0","1","11.8","11.8","0.5%"
"16","Ty Chandler (MIN)","10","73","7.3","31","1","0","4","4","37","9.3","0","0","1","11.0","11.0","57.4%"
"17","Jerome Ford (CLE)","12","31","2.6","13","0","1","2","5","8","4.0","0","0","1","9.9","9.9","81.5%"
"18","Raheem Mostert (MIA)","22","86","3.9","10","0","0","1","2","7","7.0","0","0","1","9.3","9.3","91.4%"
"19","Salvon Ahmed (MIA)","3","6","2.0","3","0","0","3","3","25","8.3","1","0","1","9.1","9.1","0.6%"
"20","Isiah Pacheco (KC)","19","89","4.7","24","1","0","1","1","2","2.0","0","0","1","9.1","9.1","97.8%"
"21","Darrell Henderson Jr. (FA)","6","1","0.2","4","0","1","4","7","28","7.0","0","0","1","8.9","8.9","5.0%"
"22","D'Onta Foreman (CLE)","6","14","2.3","13","0","1","0","0","0","0","0","0","1","7.4","7.4","19.5%"
