"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"1","Kendall Fuller (MIA)","9","0","0","2","1","0","0","0","1","21.5","21.5","6.0%"
"2","Joshua Metellus (MIN)","4","3","1","0","0","1","0","0","1","21.3","21.3","41.5%"
"3","Cam Taylor-Britt (CIN)","7","0","0","3","1","0","0","0","1","20.0","20.0","14.7%"
"4","Justin Reid (KC)","4","1","1","1","1","0","0","0","1","19.8","19.8","32.5%"
"5","Ja'Quan McMillian (DEN)","7","0","0","1","0","0","0","0","1","19.5","19.5","1.0%"
"6","Taron Johnson (BUF)","9","6","0","1","0","0","0","0","1","19.5","19.5","30.4%"
"7","Tony Adams (NYJ)","5","2","0","1","1","0","0","0","1","18.0","18.0","3.6%"
"8","Kamren Curl (LAR)","8","3","0","2","0","0","0","0","1","17.3","17.3","29.2%"
"9","JuJu Brents (IND)","5","2","0","2","1","0","0","0","1","17.0","17.0","6.8%"
"10","Martin Emerson Jr. (CLE)","6","0","0","2","1","0","0","0","1","17.0","17.0","2.4%"
"11","Christian Benford (BUF)","8","1","0","1","0","0","0","0","1","16.8","16.8","12.8%"
"12","C.J. Henderson (HOU)","8","1","0","1","0","0","0","0","1","16.8","16.8","0.7%"
"13","Byron Murphy Jr. (MIN)","2","2","0","3","1","0","0","0","1","16.5","16.5","6.4%"
"14","Justin Simmons (FA)","5","0","0","1","1","0","0","0","1","16.5","16.5","11.4%"
"15","Benjamin St-Juste (WAS)","5","1","0","2","1","0","0","0","1","16.3","16.3","5.8%"
"16","Troy Hill (CAR)","2","1","0","1","1","0","0","1","1","16.3","16.3","1.8%"
"17","Kenny Moore II (IND)","5","1","0","0","0","0","0","0","1","15.8","15.8","27.9%"
"18","Mike Hilton (CIN)","4","1","0","1","1","0","0","0","1","15.8","15.8","10.3%"
"19","Steven Nelson (FA)","5","1","0","1","1","0","0","0","1","14.8","14.8","0.2%"
"20","Rayshawn Jenkins (SEA)","3","5","0","1","1","0","0","0","1","14.8","14.8","23.9%"
"21","Andre Cisco (JAC)","5","0","0","1","1","0","0","0","1","14.0","14.0","3.1%"
"22","Camryn Bynum (MIN)","9","0","0","0","0","0","0","0","1","13.5","13.5","54.8%"
"23","Kevin Byard III (CHI)","8","2","0","0","0","0","0","0","1","13.5","13.5","27.6%"
"24","Jabrill Peppers (NE)","7","0","0","2","0","0","0","0","1","13.5","13.5","9.2%"
"25","Dax Hill (CIN)","5","4","0","2","0","0","0","0","1","13.5","13.5","15.2%"
"26","Deommodore Lenoir (SF)","4","1","0","1","1","0","0","0","1","13.3","13.3","13.0%"
"27","Rodney McLeod Jr. (CLE)","7","0","0","0","0","0","0","0","1","13.0","13.0","0.4%"
"28","Akayleb Evans (MIN)","5","2","0","0","0","1","0","0","1","13.0","13.0","3.1%"
"29","Jaquan Brisker (CHI)","3","3","0.5","0","0","1","0","0","1","12.8","12.8","46.3%"
"30","Amik Robertson (DET)","4","0","1","0","0","0","0","0","1","12.5","12.5","0.4%"
"31","Darious Williams (LAR)","3","0","0","2","1","0","0","0","1","12.5","12.5","9.5%"
"32","Amani Hooker (TEN)","6","1","0","0","0","0","0","0","1","12.3","12.3","14.2%"
"33","Quandre Diggs (FA)","8","0","0","0","0","0","0","0","1","12.0","12.0","2.6%"
"34","Marshon Lattimore (NO)","6","0","0","0","0","0","0","0","1","11.5","11.5","5.7%"
"35","Tre'von Moehrig (LV)","3","0","0","1","1","0","0","0","1","11.0","11.0","4.9%"
"36","Will Harris (NO)","2","2","0","1","1","0","0","0","1","11.0","11.0","0.0%"
"37","Sean Murphy-Bunting (ARI)","3","0","0","1","1","0","0","0","1","11.0","11.0","8.4%"
"38","Bryce Hall (TB)","1","2","0","2","1","0","0","0","1","11.0","11.0","0.7%"
"39","Stephon Gilmore (FA)","3","0","0","1","1","0","0","0","1","11.0","11.0","1.3%"
"40","Reed Blankenship (PHI)","4","1","0","1","0","0","0","0","1","10.8","10.8","40.5%"
"41","Charvarius Ward (SF)","4","1","0","0","0","1","0","0","1","10.8","10.8","29.5%"
"42","Pat Surtain II (DEN)","7","0","0","0","0","0","0","0","1","10.5","10.5","11.0%"
"43","Markquese Bell (DAL)","5","2","0","1","0","0","0","0","1","10.5","10.5","9.5%"
"44","Devon Witherspoon (SEA)","4","0","0","3","0","0","0","0","1","10.5","10.5","42.2%"
"45","James Bradberry IV (PHI)","4","1","0","2","0","0","0","0","1","9.8","9.8","2.0%"
"46","Tracy Walker III (FA)","5","1","0","1","0","0","0","0","1","9.8","9.8","1.5%"
"47","Tre Brown (SEA)","1","0","0","2","1","0","0","0","1","9.5","9.5","0.8%"
"48","Jayron Kearse (FA)","5","2","0","0","0","0","0","0","1","9.0","9.0","0.9%"
"49","Kader Kohou (MIA)","4","0","0","2","0","0","0","0","1","9.0","9.0","2.2%"
"50","Talanoa Hufanga (SF)","5","2","0","0","0","0","0","0","1","9.0","9.0","13.1%"
"51","Michael Davis (WAS)","4","0","0","2","0","0","0","0","1","9.0","9.0","1.0%"
"52","Jalen Pitre (HOU)","6","0","0","0","0","0","0","0","1","9.0","9.0","44.8%"
"53","Eli Apple (FA)","4","2","0","1","0","0","0","0","1","9.0","9.0","0.0%"
"54","Kerby Joseph (DET)","4","0","0","2","0","0","0","0","1","9.0","9.0","9.8%"
"55","Adoree' Jackson (FA)","6","0","0","0","0","0","0","0","1","9.0","9.0","1.0%"
"56","Geno Stone (CIN)","1","1","0","1","1","0","0","0","1","8.8","8.8","3.3%"
"57","Quentin Lake (LAR)","3","0","0","0","0","0","1","0","1","8.5","8.5","3.5%"
"58","Julian Blackmon (IND)","4","0","0","0","0","0","0","0","1","8.5","8.5","13.6%"
"59","Ahkello Witherspoon (FA)","3","0","0","1","0","0","0","0","1","8.5","8.5","0.1%"
"60","Jamal Adams (TEN)","4","0","0","0","0","0","0","0","1","8.5","8.5","3.5%"
"61","Grant Delpit (CLE)","5","1","0","0","0","0","0","0","1","8.3","8.3","20.5%"
