"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Pittsburgh Steelers (PIT)","6","1","3","3","2","0","0","1","26.0","26.0","76.5%"
"2","Tampa Bay Buccaneers (TB)","6","2","0","1","1","0","0","1","17.0","17.0","20.7%"
"3","Dallas Cowboys (DAL)","3","3","1","1","0","0","0","1","15.0","15.0","93.2%"
"4","Seattle Seahawks (SEA)","2","1","2","2","1","0","0","1","13.0","13.0","27.1%"
"5","Washington Commanders (WAS)","7","1","1","1","0","0","0","1","10.0","10.0","8.1%"
"6","Buffalo Bills (BUF)","0","2","1","1","0","0","0","1","10.0","10.0","62.6%"
"7","Kansas City Chiefs (KC)","4","0","1","1","0","0","0","1","10.0","10.0","76.9%"
"8","Indianapolis Colts (IND)","6","0","1","1","0","0","0","1","9.0","9.0","24.5%"
"9","Miami Dolphins (MIA)","4","1","1","1","0","0","0","1","9.0","9.0","69.0%"
"10","Jacksonville Jaguars (JAC)","1","1","2","2","0","0","0","1","8.0","8.0","47.1%"
"11","Carolina Panthers (CAR)","4","1","0","0","0","0","0","1","7.0","7.0","2.9%"
"12","Philadelphia Eagles (PHI)","2","0","3","3","0","0","0","1","7.0","7.0","50.8%"
"13","Cleveland Browns (CLE)","2","1","1","1","0","0","0","1","7.0","7.0","94.3%"
"14","New Orleans Saints (NO)","4","0","1","1","0","0","0","1","7.0","7.0","63.8%"
"15","Cincinnati Bengals (CIN)","0","0","0","0","0","0","1","1","6.0","6.0","48.7%"
"16","Los Angeles Chargers (LAC)","5","0","0","0","0","0","0","1","5.0","5.0","16.6%"
"17","San Francisco 49ers (SF)","1","2","0","0","0","0","0","1","5.0","5.0","98.1%"
"18","Minnesota Vikings (MIN)","4","1","0","0","0","0","0","1","5.0","5.0","11.6%"
"19","New England Patriots (NE)","1","1","0","0","0","0","0","1","5.0","5.0","13.3%"
"20","Arizona Cardinals (ARI)","3","1","0","0","0","0","0","1","4.0","4.0","0.8%"
"21","Baltimore Ravens (BAL)","1","1","0","0","0","0","0","1","3.0","3.0","87.6%"
"22","Tennessee Titans (TEN)","3","0","0","0","0","0","0","1","3.0","3.0","3.5%"
"23","Green Bay Packers (GB)","1","1","0","0","0","0","0","1","3.0","3.0","26.0%"
"24","Chicago Bears (CHI)","0","0","0","1","0","0","0","1","2.0","2.0","31.0%"
"25","Atlanta Falcons (ATL)","1","0","0","0","0","0","0","1","1.0","1.0","16.5%"
"26","Los Angeles Rams (LAR)","1","0","0","1","0","0","0","1","0.0","0.0","21.1%"
"27","Denver Broncos (DEN)","4","0","0","1","0","0","0","1","0.0","0.0","34.5%"
"28","Detroit Lions (DET)","1","0","0","0","0","0","0","1","0.0","0.0","44.0%"
"29","New York Jets (NYJ)","1","0","0","1","0","0","0","1","0.0","0.0","82.8%"
"30","Houston Texans (HOU)","0","0","0","1","0","0","0","1","-1.0","-1.0","29.8%"
"31","New York Giants (NYG)","0","0","0","0","0","0","0","1","-1.0","-1.0","3.1%"
"32","Las Vegas Raiders (LV)","2","0","0","0","0","0","0","1","-2.0","-2.0","21.8%"
""
""
