"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"1","Foyesade Oluokun (JAC)","6","3","2","0","0","0","0","0","1","26.8","26.8","94.3%"
"2","Roquan Smith (BAL)","14","7","0","0","0","0","0","0","1","26.3","26.3","90.7%"
"3","Nate Landman (ATL)","7","1","1","1","1","0","0","0","1","24.3","24.3","7.1%"
"4","Zaire Franklin (IND)","12","3","0","0","0","1","0","0","1","24.3","24.3","92.4%"
"5","Robert Spillane (LV)","4","3","1","1","1","0","0","0","1","21.3","21.3","32.4%"
"6","Terrel Bernard (BUF)","8","5","1","0","0","0","0","0","1","19.8","19.8","49.2%"
"7","Kaden Elliss (ATL)","6","5","1","0","0","0","0","0","1","19.3","19.3","14.3%"
"8","Jamin Davis (WAS)","6","5","0","0","0","0","0","0","1","17.8","17.8","7.9%"
"9","Demario Davis (NO)","6","3","1","0","0","0","0","0","1","17.8","17.8","20.4%"
"10","T.J. Watt (PIT)","7","1","1","0","0","0","0","0","1","17.8","17.8","79.0%"
"11","Bobby Wagner (WAS)","6","4","0.5","2","0","0","0","0","1","17.0","17.0","72.3%"
"12","Jeremiah Owusu-Koramoah (CLE)","4","3","0.5","1","0","0","0","0","1","16.8","16.8","26.8%"
"13","Harold Landry III (TEN)","4","5","1","0","0","0","0","0","1","16.3","16.3","23.2%"
"14","Fred Warner (SF)","4","3","0","1","1","0","0","0","1","14.8","14.8","90.4%"
"15","Elandon Roberts (PIT)","6","2","0","1","0","0","0","0","1","14.5","14.5","14.4%"
"16","Alex Singleton (DEN)","3","8","0","0","0","0","1","0","1","14.5","14.5","63.4%"
"17","C.J. Mosley (NYJ)","5","9","0","0","0","0","0","0","1","14.3","14.3","64.2%"
"18","Dennis Gardeck (ARI)","3","2","1","1","0","0","0","0","1","14.0","14.0","2.8%"
"19","Bobby Okereke (NYG)","7","4","0","0","0","0","0","0","1","13.5","13.5","79.5%"
"20","Dre Greenlaw (SF)","6","2","0","0","0","0","0","0","1","13.0","13.0","37.0%"
"21","Devin Lloyd (JAC)","7","3","0","0","0","0","0","0","1","12.8","12.8","24.1%"
"22","Isaiah McDuffie (GB)","7","3","0","0","0","0","0","0","1","12.8","12.8","3.7%"
"23","Frankie Luvu (WAS)","6","5","0","0","0","0","0","0","1","12.8","12.8","42.9%"
"24","T.J. Edwards (CHI)","5","7","0","0","0","0","0","0","1","12.8","12.8","78.7%"
"25","Kyzir White (ARI)","6","5","0","0","0","0","0","0","1","12.8","12.8","21.4%"
"26","Logan Wilson (CIN)","2","3","0.5","1","0","1","0","0","1","12.8","12.8","62.2%"
"27","Lavonte David (TB)","3","2","0","1","0","0","0","0","1","12.5","12.5","52.5%"
"28","Devin White (PHI)","2","1","1","1","0","0","0","0","1","11.8","11.8","21.2%"
"29","Preston Smith (GB)","3","1","1","0","0","0","0","0","1","11.8","11.8","9.9%"
"30","Denzel Perryman (LAC)","4","1","0","0","0","0","0","0","1","11.8","11.8","10.2%"
"31","Germaine Pratt (CIN)","4","4","0","0","0","0","0","0","1","11.5","11.5","15.8%"
"32","Jamien Sherwood (NYJ)","3","2","0","1","0","1","0","0","1","11.5","11.5","2.4%"
"33","Alex Anzalone (DET)","4","5","0","1","0","0","0","0","1","11.3","11.3","30.8%"
"34","Patrick Queen (PIT)","6","3","0","0","0","0","0","0","1","11.3","11.3","43.1%"
"35","Deion Jones (BUF)","4","1","0","1","0","0","0","0","1","10.8","10.8","2.0%"
"36","Quincy Williams (NYJ)","4","3","0","0","0","0","0","0","1","10.8","10.8","50.7%"
"37","Shaquil Barrett (FA)","2","1","1","0","0","0","0","0","1","10.3","10.3","6.7%"
"38","Micah McFadden (NYG)","4","2","0","0","0","0","0","0","1","10.0","10.0","7.1%"
"39","Jordan Hicks (CLE)","3","4","0","0","0","0","0","0","1","10.0","10.0","28.8%"
"40","Jahlani Tavai (NE)","4","3","0","1","0","0","0","0","1","9.8","9.8","5.9%"
"41","Divine Deablo (LV)","4","3","0","1","0","0","0","0","1","9.8","9.8","12.5%"
"42","Kenneth Murray Jr. (TEN)","4","1","0","0","0","0","0","0","1","9.3","9.3","14.2%"
"43","Pete Werner (NO)","3","3","0","0","0","0","0","0","1","9.3","9.3","9.8%"
"44","David Mayo (FA)","5","2","0","0","0","0","0","0","1","9.0","9.0","0.1%"
"45","Jack Sanborn (CHI)","3","4","0","1","0","0","0","0","1","9.0","9.0","3.3%"
"46","Khalil Mack (LAC)","4","0","0","0","0","0","0","0","1","8.5","8.5","52.3%"
"47","Shaquille Leonard (FA)","2","7","0","0","0","0","0","0","1","8.3","8.3","21.3%"
"48","Anfernee Jennings (NE)","4","3","0","0","0","0","0","0","1","8.3","8.3","3.8%"
"49","Eric Kendricks (DAL)","5","1","0","0","0","0","0","0","1","8.3","8.3","30.8%"
"50","Tyrel Dodson (SEA)","4","2","0","0","0","0","0","0","1","7.5","7.5","7.8%"
"51","Josey Jewell (CAR)","3","3","0","0","0","0","0","0","1","6.8","6.8","28.8%"
"52","Za'Darius Smith (CLE)","2","2","0.5","0","0","0","0","0","1","6.5","6.5","4.9%"
"53","Casey Toohill (BUF)","1","1","0","1","0","0","0","0","1","6.3","6.3","0.5%"
"54","Jack Campbell (DET)","3","2","0","0","0","0","0","0","1","6.0","6.0","16.3%"
"55","Zaven Collins (ARI)","3","2","0","0","0","0","0","0","1","6.0","6.0","5.1%"
"56","Ivan Pace Jr. (MIN)","3","2","0","0","0","0","0","0","1","6.0","6.0","14.8%"
"57","Leonard Floyd (SF)","1","2","0","0","0","0","0","0","1","5.5","5.5","4.8%"
"58","Joe Tryon-Shoyinka (TB)","2","0","0","0","0","0","0","0","1","5.5","5.5","1.9%"
"59","Damone Clark (DAL)","3","1","0","0","0","0","0","0","1","5.3","5.3","7.9%"
"60","Blake Cashman (MIN)","2","3","0","0","0","0","0","0","1","5.3","5.3","13.4%"
"61","Josh Woods (FA)","3","1","0","0","0","0","0","0","1","5.3","5.3","0.6%"
"62","Christian Harris (HOU)","2","3","0","0","0","0","0","0","1","5.3","5.3","10.6%"
"63","Alex Highsmith (PIT)","1","2","0","1","0","0","0","0","1","4.5","4.5","24.4%"
"64","Azeez Al-Shaair (HOU)","0","6","0","0","0","0","0","0","1","4.5","4.5","42.4%"
"65","Derrick Barnes (DET)","2","2","0","0","0","0","0","0","1","4.5","4.5","7.4%"
"66","Troy Dye (LAC)","2","2","0","0","0","0","0","0","1","4.5","4.5","0.1%"
"67","Monty Rice (NO)","2","2","0","0","0","0","0","0","1","4.5","4.5","0.6%"
"68","De'Vondre Campbell (SF)","1","2","0","1","0","0","0","0","1","4.5","4.5","19.9%"
"69","E.J. Speed (IND)","3","0","0","0","0","0","0","0","1","4.5","4.5","40.0%"
