"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"386","Javontae Jean-Baptiste (WAS)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"387","Jaylen Harrell (TEN)","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"388","Solomon Byrd (HOU)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"389","Levi Drake Rodriguez (MIN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"390","Noah Shannon (LV)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"391","TJ Franklin (LV)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"392","Lwal Uguak (TB)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"393","Ruke Orhorhoro (ATL)","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"394","DeWayne Carter (BUF)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"395","Robert Beal Jr. (SF)","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"396","Jaquelin Roy (MIN)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"397","Boogie Basham Jr. (NYG)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"398","Chauncey Golston (DAL)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"399","Chris Rumph II (LAC)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"400","Quinton Bohanna (TEN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"401","Phil Hoskins (ARI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"402","Earnest Brown (TB)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"403","Sam Kamara (CLE)","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"404","Jack Heflin (NO)","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"405","Bobby Brown III (LAR)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.8%"
"406","Brenton Cox Jr. (GB)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"407","Dante Stills (ARI)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.4%"
"408","Charles Snowden (LV)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"409","Khyiris Tonga (ARI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"410","Ronnie Perkins (DEN)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"411","Roy Lopez (ARI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"412","Elerson Smith (LV)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"413","Patrick Johnson (PHI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"414","Tommy Togiai (ATL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"415","Payton Turner (NO)","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"416","Cam Sample (CIN)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.4%"
"417","Tarron Jackson (PHI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"418","Jonathan Marshall (PIT)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"419","Isaiahh Loudermilk (PIT)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.3%"
"420","Baron Browning (DEN)","0","0","0","0","0","0","0","0","0","0","0","5.3%"
"421","Xavier Thomas (ARI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"422","Michael Dwumfour (CHI)","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"423","Christian Elliss (NE)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.9%"
"424","Azeez Ojulari (NYG)","0","0","0","0","0","0","0","0","0","0","0","1.9%"
"425","Odafe Oweh (BAL)","0","0","0","0","0","0","0","0","0","0","0","5.6%"
"426","David Bada (DET)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"427","Levi Onwuzurike (ARI)","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"428","Joseph Ossai (CIN)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.5%"
"429","Marvin Wilson (ARI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"430","Zaven Collins (ARI)","2","0","1","0","0","0","0","0","1","0.0","0.0","5.1%"
"431","Jaylen Twyman (ARI)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"432","Joe Tryon-Shoyinka (TB)","2","0","0","0","0","0","0","0","1","0.0","0.0","1.9%"
"433","Jesse Luketa (ARI)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"434","Ryder Anderson (NYG)","0","0","0","0","0","0","0","0","0","0","0","4.0%"
"435","Luiji Vilain (CAR)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"436","Matthew Butler (LV)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"437","Marquan McCall (LV)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"438","LaBryan Ray (CAR)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.3%"
"439","Drake Jackson (SF)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.9%"
"440","De'Shaan Dixon (JAC)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"441","Ty Shelby (LAC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"442","Rayshad Nichols (BAL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"443","BJ Ojulari (ARI)","0","0","0","0","0","0","0","0","1","0.0","0.0","2.4%"
"444","Myles Murphy (CIN)","0","0","0","0","0","0","0","0","1","0.0","0.0","4.4%"
"445","Nolan Smith Jr. (PHI)","0","0","0","0","0","0","0","0","1","0.0","0.0","5.8%"
"446","Sam Okuayinonu (SF)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"447","Haggai Ndubuisi (WAS)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"448","Daniel Hardy (CHI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"449","Eric Johnson II (IND)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"450","James Houston (DET)","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"451","Jordan Jackson (DEN)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"452","Sam Williams (DAL)","0","0","0","0","0","0","0","0","1","0.0","0.0","1.4%"
"453","Isaiah Thomas (CLE)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"454","Josh Paschal (DET)","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"455","Tyler Davis (LAR)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"456","Tyreke Smith (ARI)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"457","Justin Eboigbe (LAC)","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"458","Christopher Hinton (LAC)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"459","Amare Barno (CAR)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"460","Neil Farrell Jr. (KC)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.3%"
"461","P.J. Mustipher (PHI)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
