"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"1","Kyle Hamilton (BAL)","8","0","0","2","1","0","0","1","1","26.0","26.0","46.9%"
"2","Derwin James Jr. (LAC)","8","5","0","0","0","0","0","0","1","20.8","20.8","75.2%"
"3","Cam Taylor-Britt (CIN)","7","2","0","2","1","0","0","0","1","20.0","20.0","14.7%"
"4","Jessie Bates III (ATL)","11","2","0","0","0","0","0","0","1","18.0","18.0","69.3%"
"5","Kyler Gordon (CHI)","7","1","0","1","0","0","0","0","1","17.8","17.8","10.3%"
"6","DeAndre Houston-Carson (FA)","7","0","0","1","1","0","0","0","1","17.0","17.0","0.0%"
"7","Greg Newsome II (CLE)","1","1","0.5","1","1","0","0","1","1","16.8","16.8","4.5%"
"8","Byron Murphy Jr. (MIN)","3","0","0","3","1","0","0","0","1","16.5","16.5","6.4%"
"9","Jordan Whitehead (TB)","4","5","0","1","1","0","0","0","1","16.3","16.3","15.6%"
"10","Justin Simmons (FA)","2","3","0","1","1","1","0","0","1","15.8","15.8","11.4%"
"11","Kerby Joseph (DET)","5","2","0","1","1","0","0","0","1","15.5","15.5","9.8%"
"12","Keanu Neal (FA)","4","4","0","1","1","0","0","0","1","15.5","15.5","0.5%"
"13","Talanoa Hufanga (SF)","5","2","0","1","1","0","0","0","1","15.5","15.5","13.1%"
"14","Percy Butler (WAS)","6","3","0","1","0","0","0","0","1","15.3","15.3","1.5%"
"15","Devon Witherspoon (SEA)","4","1","0","3","0","1","0","0","1","15.3","15.3","42.2%"
"16","Ja'Quan McMillian (DEN)","4","1","0","0","0","1","1","0","1","14.8","14.8","1.0%"
"17","Jaquan Brisker (CHI)","5","4","0","1","0","0","0","0","1","14.5","14.5","46.3%"
"18","Mike Hilton (CIN)","6","2","0","0","0","0","1","0","1","14.5","14.5","10.3%"
"19","Darnay Holmes (NYG)","5","0","0","1","1","0","0","0","1","14.0","14.0","0.1%"
"20","Julian Blackmon (IND)","4","0","0","2","1","0","0","0","1","14.0","14.0","13.6%"
"21","Paulson Adebo (NO)","5","4","0","2","0","0","0","0","1","13.5","13.5","26.2%"
"22","Xavier McKinney (GB)","8","2","0","0","0","0","0","0","1","13.5","13.5","35.2%"
"23","Roger McCreary (TEN)","4","1","0","1","1","0","0","0","1","13.3","13.3","20.1%"
"24","Fabian Moreau (FA)","2","3","0","2","1","0","0","0","1","13.3","13.3","0.0%"
"25","Antoine Winfield Jr. (TB)","3","3","0","1","1","0","0","0","1","13.3","13.3","70.6%"
"26","Damontae Kazee (PIT)","4","1","0","1","1","0","0","0","1","13.3","13.3","1.2%"
"27","Taron Johnson (BUF)","5","2","0","0","0","1","0","0","1","13.0","13.0","30.4%"
"28","Kamren Curl (LAR)","7","3","0","0","0","0","0","0","1","12.8","12.8","29.2%"
"29","Jonathan Owens (CHI)","7","1","0","1","0","0","0","0","1","12.8","12.8","5.0%"
"30","Rudy Ford (FA)","7","3","0","0","0","0","0","0","1","12.8","12.8","3.8%"
"31","Ambry Thomas (SF)","3","0","0","0","0","1","1","0","1","12.5","12.5","1.0%"
"32","Alontae Taylor (NO)","4","1","0","2","0","0","0","0","1","12.3","12.3","2.7%"
"33","Rasul Douglas (BUF)","5","1","0","0","0","0","1","0","1","12.3","12.3","7.4%"
"34","Benjamin St-Juste (WAS)","5","2","0","2","0","0","0","0","1","12.0","12.0","5.8%"
"35","Richie Grant (ATL)","7","2","0","0","0","0","0","0","1","12.0","12.0","12.0%"
"36","Jason Pinnock (NYG)","7","2","0","0","0","0","0","0","1","12.0","12.0","14.8%"
"37","Jordan Poyer (MIA)","7","2","0","0","0","0","0","0","1","12.0","12.0","24.3%"
"38","Donte Jackson (PIT)","5","2","0","2","0","0","0","0","1","12.0","12.0","3.2%"
"39","Shaq Griffin (MIN)","2","3","0","1","1","0","0","0","1","11.8","11.8","1.1%"
"40","DaRon Bland (DAL)","3","1","0","1","1","0","0","0","1","11.8","11.8","41.2%"
"41","Tony Adams (NYJ)","4","4","0","0","0","0","0","0","1","11.5","11.5","3.6%"
"42","Cameron Sutton (PIT)","5","0","0","1","0","0","0","0","1","11.5","11.5","0.1%"
"43","Marcus Maye (MIA)","6","0","0","0","0","0","0","0","1","11.5","11.5","1.6%"
"44","Dax Hill (CIN)","4","3","0","2","0","0","0","0","1","11.3","11.3","15.2%"
"45","Tyrann Mathieu (NO)","7","1","0","0","0","0","0","0","1","11.3","11.3","9.4%"
"46","Chidobe Awuzie (TEN)","5","3","0","1","0","0","0","0","1","11.3","11.3","1.8%"
"47","Alohi Gilman (LAC)","6","1","0","1","0","0","0","0","1","11.3","11.3","10.5%"
"48","Budda Baker (ARI)","5","5","0","0","0","0","0","0","1","11.3","11.3","35.9%"
"49","Mekhi Blackmon (MIN)","2","0","0","2","1","0","0","0","1","11.0","11.0","0.9%"
"50","Mike Ford Jr. (HOU)","2","0","0","2","1","0","0","0","1","11.0","11.0","0.0%"
"51","Grant Delpit (CLE)","4","1","0","1","0","0","0","0","1","10.8","10.8","20.5%"
"52","Elijah Molden (TEN)","6","2","0","0","0","0","0","0","1","10.5","10.5","3.1%"
"53","Martin Emerson Jr. (CLE)","6","2","0","0","0","0","0","0","1","10.5","10.5","2.4%"
"54","Taylor Rapp (BUF)","4","3","0.5","0","0","0","0","0","1","10.3","10.3","6.0%"
"55","Corey Ballentine (GB)","3","3","0","2","0","0","0","0","1","9.8","9.8","0.6%"
"56","Myles Bryant (HOU)","2","0","0","1","1","0","0","0","1","9.5","9.5","2.6%"
"57","Cor'Dale Flott (NYG)","2","0","0","1","1","0","0","0","1","9.5","9.5","1.0%"
"58","Rodney Thomas II (IND)","2","0","0","1","1","0","0","0","1","9.5","9.5","0.8%"
"59","Michael Carter II (NYJ)","3","1","0","0","0","1","0","0","1","9.3","9.3","0.0%"
"60","Eric Garror (TEN)","4","1","0","0","0","0","0","0","1","9.3","9.3","0.0%"
"61","Jamal Adams (TEN)","4","1","0","0","0","0","0","0","1","9.3","9.3","3.5%"
"62","Tavierre Thomas (TB)","4","4","0","0","0","0","0","0","1","9.0","9.0","1.6%"
"63","Nate Hobbs (LV)","5","0","0","1","0","0","0","0","1","9.0","9.0","32.3%"
"64","Riq Woolen (SEA)","1","2","0","1","0","0","1","0","1","8.5","8.5","4.0%"
"65","Jabrill Peppers (NE)","3","2","0","0","0","0","0","0","1","8.5","8.5","9.2%"
"66","Joshua Metellus (MIN)","3","2","0","0","0","0","0","0","1","8.5","8.5","41.5%"
"67","Deommodore Lenoir (SF)","4","3","0","0","0","0","0","0","1","8.3","8.3","13.0%"
"68","Kenny Moore II (IND)","5","1","0","0","0","0","0","0","1","8.3","8.3","27.9%"
"69","Kendall Fuller (MIA)","5","1","0","0","0","0","0","0","1","8.3","8.3","6.0%"
"70","Tracy Walker III (FA)","5","1","0","0","0","0","0","0","1","8.3","8.3","1.5%"
"71","Joey Porter Jr. (PIT)","3","1","0","0","0","0","0","0","1","7.8","7.8","5.2%"
"72","Zyon McCollum (TB)","3","2","0","1","0","0","0","0","1","7.5","7.5","4.9%"
"73","Rayshawn Jenkins (SEA)","3","2","0","1","0","0","0","0","1","7.5","7.5","23.9%"
"74","Dicaprio Bootle (CAR)","4","0","0","1","0","0","0","0","1","7.5","7.5","0.4%"
"75","Tre Brown (SEA)","5","0","0","0","0","0","0","0","1","7.5","7.5","0.8%"
"76","Marlon Humphrey (BAL)","3","0","0","0","0","0","0","0","1","7.0","7.0","4.5%"
"77","Shaun Wade (NE)","3","0","0","0","0","0","0","0","1","7.0","7.0","0.2%"
"78","Sauce Gardner (NYJ)","4","1","0","0","0","0","0","0","1","6.8","6.8","18.1%"
"79","Xavier Woods (CAR)","4","1","0","0","0","0","0","0","1","6.8","6.8","9.2%"
"80","Harrison Smith (MIN)","4","1","0","0","0","0","0","0","1","6.8","6.8","17.5%"
"81","Amani Hooker (TEN)","4","1","0","0","0","0","0","0","1","6.8","6.8","14.2%"
"82","Geno Stone (CIN)","2","3","0","1","0","0","0","0","1","6.8","6.8","3.3%"
"83","Jaylon Jones (IND)","4","1","0","0","0","0","0","0","1","6.8","6.8","0.4%"
"84","Elijah Riley (NYG)","2","1","0","0","0","0","0","0","1","6.3","6.3","0.0%"
"85","Deonte Banks (NYG)","3","0","0","1","0","0","0","0","1","6.0","6.0","12.7%"
"86","Keisean Nixon (GB)","2","2","0","1","0","0","0","0","1","6.0","6.0","23.8%"
"87","Jakorian Bennett (LV)","4","0","0","0","0","0","0","0","1","6.0","6.0","0.7%"
"88","Jerry Jacobs (LAR)","2","0","0","2","0","0","0","0","1","6.0","6.0","12.5%"
"89","Andrew Wingard (JAC)","2","4","0","0","0","0","0","0","1","6.0","6.0","1.4%"
"90","Jamel Dean (TB)","1","4","0","1","0","0","0","0","1","6.0","6.0","12.0%"
"91","Marco Wilson (NE)","3","0","0","1","0","0","0","0","1","6.0","6.0","0.2%"
"92","A.J. Terrell (ATL)","2","0","0","2","0","0","0","0","1","6.0","6.0","3.8%"
"93","Tre Herndon (NYG)","3","1","0","0","0","0","0","0","1","5.3","5.3","0.1%"
"94","Darrell Baker Jr. (IND)","3","1","0","0","0","0","0","0","1","5.3","5.3","0.2%"
"95","Brian Branch (DET)","3","1","0","0","0","0","0","0","1","5.3","5.3","37.8%"
"96","Dane Jackson (CAR)","3","1","0","0","0","0","0","0","1","5.3","5.3","3.1%"
"97","Julian Love (SEA)","3","1","0","0","0","0","0","0","1","5.3","5.3","32.4%"
"98","Marshon Lattimore (NO)","3","1","0","0","0","0","0","0","1","5.3","5.3","5.7%"
"99","Marcus Epps (LV)","3","1","0","0","0","0","0","0","1","5.3","5.3","3.9%"
"100","Ja'Sir Taylor (LAC)","3","1","0","0","0","0","0","0","1","5.3","5.3","0.6%"
"101","Delarrin Turner-Yell (DEN)","2","3","0","0","0","0","0","0","1","5.3","5.3","0.4%"
"102","Kyle Dugger (NE)","3","1","0","0","0","0","0","0","1","5.3","5.3","22.7%"
"103","Andre Cisco (JAC)","2","2","0","0","0","0","0","0","1","4.5","4.5","3.1%"
"104","Camryn Bynum (MIN)","1","2","0","1","0","0","0","0","1","4.5","4.5","54.8%"
"105","Tre'von Moehrig (LV)","3","0","0","0","0","0","0","0","1","4.5","4.5","4.9%"
"106","Tyrique Stevenson (CHI)","1","2","0","1","0","0","0","0","1","4.5","4.5","12.0%"
"107","Tyler Hall (PHI)","3","0","0","0","0","0","0","0","1","4.5","4.5","0.0%"
"108","DJ Turner II (CIN)","1","2","0","1","0","0","0","0","1","4.5","4.5","2.3%"
"109","Israel Mukuamu (DAL)","2","0","0","1","0","0","0","0","1","4.5","4.5","0.1%"
