"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Tank Dell (HOU)","6","11","114","19.0","29","2","2","2","2","0","0","1","23.6","23.6","60.3%"
"2","Noah Brown (HOU)","6","6","153","25.5","75","3","1","0","0","0","0","1","21.3","21.3","23.4%"
"3","Amari Cooper (CLE)","5","5","139","27.8","59","2","1","0","0","0","0","1","19.9","19.9","91.6%"
"4","CeeDee Lamb (DAL)","11","16","191","17.4","29","5","0","0","0","0","1","1","17.1","17.1","100.0%"
"5","Stefon Diggs (HOU)","6","7","86","14.3","34","1","1","0","0","0","0","1","16.6","16.6","99.7%"
"6","Diontae Johnson (CAR)","7","9","90","12.9","32","1","1","0","0","0","0","1","15.0","15.0","83.2%"
"7","Jahan Dotson (WAS)","4","8","69","17.3","33","2","1","0","0","0","0","1","12.9","12.9","31.0%"
"8","A.J. Brown (PHI)","7","9","66","9.4","20","1","1","0","0","0","0","1","12.6","12.6","99.9%"
"9","Jakobi Meyers (LV)","2","5","38","19.0","24","1","0","1","17","1","0","1","11.5","11.5","73.3%"
"10","Nico Collins (HOU)","3","5","54","18.0","23","1","1","0","0","0","0","1","11.4","11.4","95.6%"
"11","DeVonta Smith (PHI)","3","3","51","17.0","29","1","1","0","0","0","0","1","11.1","11.1","98.0%"
"12","Tee Higgins (CIN)","8","9","110","13.8","21","1","0","0","0","0","0","1","11.0","11.0","94.1%"
"13","Jalen Tolbert (DAL)","3","5","49","16.3","32","1","1","0","0","0","0","1","10.9","10.9","2.0%"
"14","Chris Olave (NO)","6","8","46","7.7","14","0","1","0","0","0","0","1","10.6","10.6","98.8%"
"15","Odell Beckham Jr. (MIA)","5","7","56","11.2","15","0","1","0","0","0","1","1","9.6","9.6","32.9%"
"16","Wan'Dale Robinson (NYG)","4","5","35","8.8","12","0","1","0","0","0","0","1","9.5","9.5","8.5%"
"17","Cedrick Wilson Jr. (NO)","1","5","31","31.0","31","1","1","0","0","0","0","1","9.1","9.1","1.1%"
"18","Mike Evans (TB)","4","5","87","21.8","53","1","0","0","0","0","0","1","8.7","8.7","98.1%"
"19","Darnell Mooney (ATL)","5","6","82","16.4","38","1","0","0","0","0","0","1","8.2","8.2","37.7%"
"20","Keenan Allen (CHI)","8","9","77","9.6","23","1","0","0","0","0","0","1","7.7","7.7","91.0%"
"21","Rashee Rice (KC)","2","2","17","8.5","11","0","1","0","0","0","0","1","7.7","7.7","88.9%"
"22","Brandon Powell (MIN)","2","3","15","7.5","9","0","1","0","0","0","0","1","7.5","7.5","0.7%"
"23","Terry McLaurin (WAS)","5","8","73","14.6","36","2","0","0","0","0","0","1","7.3","7.3","90.3%"
"24","DJ Chark Jr. (LAC)","2","3","9","4.5","5","0","1","0","0","0","0","1","6.9","6.9","4.7%"
"25","Kyle Philips (TEN)","4","5","68","17.0","24","2","0","0","0","0","0","1","6.8","6.8","0.1%"
"26","DeAndre Hopkins (TEN)","4","11","60","15.0","29","1","0","1","5","0","0","1","6.5","6.5","91.9%"
"27","KaVontae Turpin (DAL)","1","1","5","5.0","5","0","1","1","0","0","0","1","6.5","6.5","0.7%"
"28","Michael Pittman Jr. (IND)","8","8","64","8.0","16","0","0","0","0","0","0","1","6.4","6.4","97.1%"
"29","Jaxon Smith-Njigba (SEA)","6","7","63","10.5","35","1","0","0","0","0","0","1","6.3","6.3","76.0%"
"30","Garrett Wilson (NYJ)","7","13","80","11.4","31","1","0","0","0","0","1","1","6.0","6.0","97.8%"
"31","Derius Davis (LAC)","1","1","0","0.0","0","0","0","0","0","0","0","1","6.0","6.0","0.3%"
