"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"1","Danielle Hunter (HOU)","5","3","3","0","0","0","0","0","1","29.3","29.3","52.1%"
"2","Jonathon Cooper (DEN)","3","5","2","0","0","1","0","0","1","22.8","22.8","15.3%"
"3","Joey Bosa (LAC)","3","1","2","0","0","0","0","0","1","18.3","18.3","15.8%"
"4","Daron Payne (WAS)","5","0","1","1","0","0","0","0","1","18.0","18.0","15.0%"
"5","Harrison Phillips (MIN)","7","6","0.5","0","0","0","0","0","1","17.0","17.0","22.4%"
"6","Kwity Paye (IND)","3","2","1","0","0","0","1","0","1","16.5","16.5","14.2%"
"7","Randy Gregory (TB)","3","2","1","1","0","0","0","0","1","16.5","16.5","1.5%"
"8","Larry Ogunjobi (PIT)","3","1","1","0","0","0","1","0","1","15.8","15.8","2.1%"
"9","DeForest Buckner (IND)","4","0","1","0","0","0","0","0","1","15.0","15.0","46.4%"
"10","Tuli Tuipulotu (LAC)","3","4","1","0","0","0","0","0","1","14.0","14.0","3.9%"
"11","Christian Wilkins (LV)","4","2","1","0","0","0","0","0","1","14.0","14.0","47.1%"
"12","Carl Granderson (NO)","2","0","1","0","0","1","0","0","1","13.5","13.5","27.1%"
"13","Jadeveon Clowney (CAR)","3","1","1","1","0","0","0","0","1","13.3","13.3","22.3%"
"14","Quinnen Williams (NYJ)","5","1","0","0","0","0","0","0","1","13.3","13.3","26.3%"
"15","Montez Sweat (CHI)","2","2","1.5","0","0","0","0","0","1","13.0","13.0","34.3%"
"16","Chase Young (NO)","2","1","1.5","0","0","0","0","0","1","12.3","12.3","10.1%"
"17","Vita Vea (TB)","2","1","1.5","0","0","0","0","0","1","12.3","12.3","5.2%"
"18","Chris Jones (KC)","1","1","1.5","1","0","0","0","0","1","12.3","12.3","24.9%"
"19","George Karlaftis III (KC)","1","3","1.5","0","0","0","0","0","1","12.3","12.3","12.6%"
"20","Nik Bonitto (DEN)","2","0","1","0","0","0","0","0","1","12.0","12.0","1.9%"
"21","Jeffery Simmons (TEN)","2","3","1","0","0","0","0","0","1","11.8","11.8","26.9%"
"22","Denico Autry (HOU)","3","0","1","0","0","0","0","0","1","11.0","11.0","9.5%"
"23","DeMarvin Leal (PIT)","2","1","1","0","0","0","0","0","1","10.3","10.3","0.1%"
"24","Byron Young (LAR)","3","2","1","0","0","0","0","0","1","10.0","10.0","32.6%"
"25","Maxx Crosby (LV)","6","1","0","0","0","0","0","0","1","9.8","9.8","69.3%"
"26","Solomon Thomas (NYJ)","2","0","1","0","0","0","0","0","1","9.5","9.5","0.8%"
"27","Osa Odighizuwa (DAL)","2","0","1","0","0","0","0","0","1","9.5","9.5","5.4%"
"28","Josh Sweat (PHI)","1","0","1","0","0","1","0","0","1","9.5","9.5","13.9%"
"29","Nathan Shepherd (NO)","1","1","1","0","0","0","0","0","1","8.8","8.8","1.7%"
"30","K'Lavon Chaisson (CAR)","1","1","1","0","0","0","0","0","1","8.8","8.8","0.9%"
"31","Dre'Mont Jones (SEA)","1","1","1","0","0","0","0","0","1","8.8","8.8","4.7%"
"32","Jordan Davis (PHI)","1","1","1","0","0","0","0","0","1","8.8","8.8","4.6%"
"33","Raekwon Davis (IND)","3","2","0","0","0","0","0","0","1","8.5","8.5","0.3%"
"34","Felix Anudike-Uzomah (KC)","1","1","0.5","0","0","1","0","0","1","8.3","8.3","1.4%"
"35","Derrick Brown (CAR)","4","3","0","0","0","0","0","0","1","8.3","8.3","39.1%"
"36","Justin Houston (FA)","1","1","0.5","1","0","0","0","0","1","8.3","8.3","0.0%"
"37","Morgan Fox (LAC)","1","0","1","0","0","0","0","0","1","8.0","8.0","2.1%"
"38","James Smith-Williams (ATL)","1","0","1","0","0","0","0","0","1","8.0","8.0","0.1%"
"39","Taven Bryan (IND)","1","0","1","0","0","0","0","0","1","8.0","8.0","0.1%"
"40","Greg Rousseau (BUF)","2","1","0","1","0","0","0","0","1","7.8","7.8","14.7%"
"41","Dexter Lawrence II (NYG)","3","1","0","0","0","0","0","0","1","7.8","7.8","12.1%"
"42","Michael Hoecht (LAR)","4","2","0","0","0","0","0","0","1","7.5","7.5","13.0%"
"43","Shelby Harris (CLE)","1","3","0.5","1","0","0","0","0","1","7.3","7.3","0.9%"
"44","Kenny Clark (GB)","1","5","0.5","0","0","0","0","0","1","7.3","7.3","8.2%"
"45","Darrell Taylor (SEA)","3","0","0","0","0","0","0","0","1","7.0","7.0","1.0%"
"46","DeMarcus Lawrence (DAL)","2","0","0","1","0","0","0","0","1","7.0","7.0","11.8%"
"47","Montravius Adams (PIT)","1","2","0","0","0","1","0","0","1","7.0","7.0","0.4%"
"48","Justin Jones (ARI)","2","1","0","0","0","0","0","0","1","6.3","6.3","2.3%"
"49","Ed Oliver (BUF)","2","1","0","0","0","0","0","0","1","6.3","6.3","21.2%"
"50","Jarran Reed (SEA)","1","1","0","0","0","0","1","0","1","6.3","6.3","5.2%"
"51","Gervon Dexter Sr. (CHI)","4","0","0","0","0","0","0","0","1","6.0","6.0","1.5%"
"52","Jermaine Johnson II (NYJ)","4","0","0","0","0","0","0","0","1","6.0","6.0","8.7%"
"53","Maurice Hurst II Jr. (CLE)","0","3","0.5","1","0","0","0","0","1","5.8","5.8","0.1%"
"54","Teair Tart (MIA)","2","0","0","0","0","0","0","0","1","5.5","5.5","0.1%"
"55","Jalen Carter (PHI)","2","0","0","0","0","0","0","0","1","5.5","5.5","13.3%"
"56","A'Shawn Robinson (CAR)","1","2","0","0","0","0","0","0","1","5.5","5.5","3.8%"
"57","Andrew Billings (CHI)","2","0","0","0","0","0","0","0","1","5.5","5.5","1.5%"
"58","Mario Edwards Jr. (HOU)","2","0","0","0","0","0","0","0","1","5.5","5.5","0.0%"
"59","Grover Stewart (IND)","2","3","0","0","0","0","0","0","1","5.3","5.3","3.0%"
"60","Jonah Williams (MIN)","2","3","0","0","0","0","0","0","1","5.3","5.3","0.3%"
"61","Travis Jones (BAL)","3","1","0","0","0","0","0","0","1","5.3","5.3","1.4%"
"62","Matt Henningsen (DEN)","1","1","0","2","0","0","0","0","1","5.3","5.3","0.7%"
"63","Khalen Saunders (NO)","3","1","0","0","0","0","0","0","1","5.3","5.3","1.2%"
"64","Arik Armstead (JAC)","3","1","0","0","0","0","0","0","1","5.3","5.3","3.0%"
"65","Zach Carter (FA)","1","1","0","0","0","0","0","0","1","4.8","4.8","0.4%"
"66","Travon Walker (JAC)","1","1","0","0","0","0","0","0","1","4.8","4.8","11.2%"
