"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"1","A.J. Epenesa (BUF)","2","2","2","3","0","1","1","0","1","27.5","27.5","2.6%"
"2","Ed Oliver (BUF)","5","4","1","0","0","1","0","0","1","26.0","26.0","21.2%"
"3","Zach Sieler (MIA)","6","1","2","0","0","0","0","0","1","25.3","25.3","25.1%"
"4","Trey Hendrickson (CIN)","2","2","2.5","1","0","1","0","0","1","22.5","22.5","34.8%"
"5","Maxx Crosby (LV)","4","1","1","0","0","0","0","0","1","20.8","20.8","69.3%"
"6","Aidan Hutchinson (DET)","3","0","1","1","1","0","0","0","1","20.0","20.0","54.7%"
"7","Jalen Carter (PHI)","3","1","2","0","0","0","0","0","1","18.3","18.3","13.3%"
"8","Montez Sweat (CHI)","4","2","1.5","1","0","0","0","0","1","17.5","17.5","34.3%"
"9","Zach Allen (DEN)","4","1","1","0","0","1","0","0","1","17.3","17.3","10.7%"
"10","Carl Granderson (NO)","3","1","1","0","0","0","0","0","1","16.8","16.8","27.1%"
"11","Dante Stills (ARI)","4","2","1","0","0","0","0","0","1","16.5","16.5","0.4%"
"12","Haason Reddick (NYJ)","2","0","2","0","0","0","0","0","1","16.0","16.0","16.2%"
"13","Nik Bonitto (DEN)","2","0","2","0","0","0","0","0","1","16.0","16.0","1.9%"
"14","Jermaine Johnson II (NYJ)","2","1","1","0","0","1","0","0","1","14.3","14.3","8.7%"
"15","DeMarcus Walker (CHI)","2","2","1","0","0","0","0","0","1","13.5","13.5","1.5%"
"16","Jonathan Allen (WAS)","2","5","1","0","0","0","0","0","1","13.3","13.3","14.6%"
"17","Kevin Strong (FA)","4","1","1","0","0","0","0","0","1","13.3","13.3","0.0%"
"18","Kayvon Thibodeaux (NYG)","1","1","1","0","0","0","1","0","1","12.8","12.8","23.0%"
"19","Kevin Givens (SF)","1","1","1","0","0","0","1","0","1","12.8","12.8","0.3%"
"20","Kingsley Enagbare (GB)","2","1","1","0","0","0","0","0","1","12.8","12.8","0.4%"
"21","Brent Urban (BAL)","4","0","1","0","0","0","0","0","1","12.5","12.5","0.3%"
"22","Brian Burns (NYG)","3","1","1","0","0","0","0","0","1","11.8","11.8","41.7%"
"23","Kenny Clark (GB)","2","3","1","0","0","0","0","0","1","11.8","11.8","8.2%"
"24","Zach VanValkenburg (LAR)","2","1","1","0","0","0","0","0","1","10.3","10.3","3.0%"
"25","Marcus Davenport (DET)","2","1","1","0","0","0","0","0","1","10.3","10.3","1.9%"
"26","Yannick Ngakoue (FA)","2","1","1","0","0","0","0","0","1","10.3","10.3","1.7%"
"27","Chris Jones (KC)","1","1","1","1","0","0","0","0","1","10.3","10.3","24.9%"
"28","Mike Danna (KC)","2","1","1","0","0","0","0","0","1","10.3","10.3","4.8%"
"29","Will Anderson Jr. (HOU)","4","2","0","0","0","0","0","0","1","10.0","10.0","19.3%"
"30","Elijah Garcia (DEN)","1","0","1","0","0","1","0","0","1","9.5","9.5","0.0%"
"31","Bryce Huff (PHI)","2","0","1","0","0","0","0","0","1","9.5","9.5","3.9%"
"32","Khalil Davis (HOU)","3","1","0","0","0","1","0","0","1","9.3","9.3","1.2%"
"33","Nick Bosa (SF)","2","2","0.5","0","0","0","0","0","1","9.0","9.0","62.7%"
"34","Danielle Hunter (HOU)","1","1","1","0","0","0","0","0","1","8.8","8.8","52.1%"
"35","Sam Hubbard (CIN)","3","0","0","0","0","0","1","0","1","8.5","8.5","21.2%"
"36","Daron Payne (WAS)","1","4","0","0","0","1","0","0","1","8.5","8.5","15.0%"
"37","Josh Sweat (PHI)","3","0","0","0","0","1","0","0","1","8.5","8.5","13.9%"
"38","Deatrich Wise Jr. (NE)","4","3","0","0","0","0","0","0","1","8.3","8.3","2.7%"
"39","Emmanuel Ogbah (MIA)","1","1","1.5","0","0","0","0","0","1","8.3","8.3","1.2%"
"40","Rasheem Green (FA)","1","0","1","0","0","0","0","0","1","8.0","8.0","6.0%"
"41","Justin Madubuike (BAL)","3","2","0.5","0","0","0","0","0","1","8.0","8.0","24.1%"
"42","Victor Dimukeje (ARI)","3","1","0","0","0","0","0","0","1","7.8","7.8","0.5%"
"43","Jerry Hughes (HOU)","3","1","0","0","0","0","0","0","1","7.8","7.8","0.6%"
"44","Jonathan Greenard (MIN)","2","1","0","1","0","0","0","0","1","7.8","7.8","28.5%"
"45","Alim McNeill (DET)","2","1","0","0","0","1","0","0","1","7.8","7.8","2.3%"
"46","Cameron Jordan (NO)","0","2","0.5","0","0","0","1","0","1","7.5","7.5","5.7%"
"47","Dylan Horton (HOU)","2","0","0","0","0","0","1","0","1","7.0","7.0","0.4%"
"48","Calais Campbell (MIA)","3","0","0","0","0","0","0","0","1","7.0","7.0","3.7%"
"49","Johnathan Hankins (SEA)","2","1","0","2","0","0","0","0","1","6.8","6.8","0.0%"
"50","Jonathan Bullard (MIN)","1","7","0","0","0","0","0","0","1","6.8","6.8","2.8%"
"51","Michael Hoecht (LAR)","3","3","0","0","0","0","0","0","1","6.8","6.8","13.0%"
"52","Kobie Turner (LAR)","4","1","0","0","0","0","0","0","1","6.8","6.8","8.5%"
"53","Raekwon Davis (IND)","2","1","0","0","0","0","0","0","1","6.3","6.3","0.3%"
