"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Breece Hall (NYJ)","20","95","4.8","36","1","2","12","16","96","8.0","0","0","1","31.1","31.1","98.9%"
"2","Derrick Henry (BAL)","19","88","4.6","12","0","1","1","1","11","11.0","0","0","1","20.4","20.4","99.4%"
"3","Jahmyr Gibbs (DET)","15","80","5.3","18","0","2","4","7","20","5.0","0","1","1","20.0","20.0","99.3%"
"4","Christian McCaffrey (SF)","14","103","7.4","39","1","1","6","10","28","4.7","0","0","1","19.1","19.1","100.0%"
"5","Chris Rodriguez Jr. (WAS)","10","58","5.8","16","0","2","1","1","7","7.0","0","0","1","18.5","18.5","1.2%"
"6","Khalil Herbert (CHI)","20","112","5.6","15","0","1","1","2","9","9.0","0","0","1","18.1","18.1","29.1%"
"7","James Conner (ARI)","12","45","3.8","16","0","0","5","5","67","13.4","1","0","1","17.2","17.2","91.6%"
"8","Saquon Barkley (PHI)","23","80","3.5","12","0","1","3","6","4","1.3","0","0","1","16.4","16.4","100.0%"
"9","Kyren Williams (LAR)","22","104","4.7","10","0","1","0","0","0","0","0","0","1","16.4","16.4","96.3%"
"10","D'Andre Swift (CHI)","20","92","4.6","17","0","1","0","0","0","0","0","0","1","15.2","15.2","94.0%"
"11","Tyler Allgeier (ATL)","9","69","7.7","31","1","1","1","1","19","19.0","0","0","1","14.8","14.8","51.9%"
"12","Zamir White (LV)","22","145","6.6","43","1","0","0","1","0","0","0","0","1","14.5","14.5","74.5%"
"13","Najee Harris (PIT)","19","78","4.1","13","0","1","0","0","0","0","0","0","1","13.8","13.8","91.3%"
"14","Rachaad White (TB)","20","39","2.0","11","0","1","6","7","38","6.3","0","0","1","13.7","13.7","97.5%"
"15","Aaron Jones (MIN)","21","127","6.0","39","1","0","1","3","8","8.0","0","0","1","13.5","13.5","93.9%"
"16","Gus Edwards (LAC)","9","31","3.4","13","0","1","1","1","39","39.0","0","0","1","13.0","13.0","80.5%"
"17","David Montgomery (DET)","17","55","3.2","11","0","1","2","2","14","7.0","0","0","1","12.9","12.9","93.4%"
"18","Bijan Robinson (ATL)","12","72","6.0","32","2","0","7","10","50","7.1","0","0","1","12.2","12.2","99.9%"
