"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Brandon Aubrey (DAL)","4","4","100.0","38","0","0","4","0","0","3","3","1","15.0","15.0","96.9%"
"2","Matt Gay (IND)","4","4","100.0","46","0","3","0","1","0","1","1","1","14.0","14.0","35.5%"
"3","Evan McPherson (CIN)","2","3","66.7","54","0","0","0","1","1","4","4","1","13.0","13.0","83.1%"
"4","Anders Carlson (GB)","2","2","100.0","48","0","0","0","2","0","3","3","1","11.0","11.0","2.0%"
"5","Lucas Havrisik (FA)","2","3","66.7","44","0","1","0","1","0","4","4","1","11.0","11.0","2.1%"
"6","Jason Sanders (MIA)","1","1","100.0","49","0","0","0","1","0","6","6","1","10.0","10.0","46.2%"
"7","Matt Ammendola (FA)","3","3","100.0","38","0","1","2","0","0","1","1","1","10.0","10.0","2.0%"
"8","Riley Patterson (JAC)","2","2","100.0","32","0","1","1","0","0","3","3","1","9.0","9.0","13.1%"
"9","Nick Folk (TEN)","2","2","100.0","46","0","1","0","1","0","2","3","1","9.0","9.0","9.4%"
"10","Younghoe Koo (ATL)","2","2","100.0","42","0","1","0","1","0","1","1","1","8.0","8.0","65.7%"
"11","Matt Prater (ARI)","1","1","100.0","51","0","0","0","0","1","3","3","1","8.0","8.0","1.7%"
"12","Dustin Hopkins (CLE)","2","2","100.0","40","0","1","0","1","0","1","2","1","8.0","8.0","30.3%"
"13","Brandon McManus (FA)","1","2","50.0","40","0","0","0","1","0","4","4","1","8.0","8.0","18.2%"
"14","Jake Elliott (PHI)","2","2","100.0","39","0","1","1","0","0","1","1","1","7.0","7.0","93.7%"
"15","Harrison Butker (KC)","2","2","100.0","34","0","0","2","0","0","1","1","1","7.0","7.0","95.5%"
"16","Greg Zuerlein (NYJ)","2","2","100.0","46","0","1","0","1","0","0","0","1","7.0","7.0","41.9%"
"17","Cameron Dicker (LAC)","2","2","100.0","38","0","0","2","0","0","0","0","1","6.0","6.0","45.5%"
"18","Jake Moody (SF)","0","0","0","0","0","0","0","0","0","6","6","1","6.0","6.0","69.4%"
"19","Wil Lutz (DEN)","1","1","100.0","34","0","0","1","0","0","2","2","1","5.0","5.0","10.3%"
"20","Jason Myers (SEA)","0","1","0.0","0","0","0","0","0","0","5","5","1","5.0","5.0","31.7%"
"21","Eddy Pineiro (CAR)","1","1","100.0","23","0","1","0","0","0","1","1","1","4.0","4.0","1.4%"
