"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Las Vegas Raiders (LV)","4","1","1","1","2","0","0","1","21.0","21.0","21.8%"
"2","Tampa Bay Buccaneers (TB)","4","2","2","2","0","0","0","1","16.0","16.0","20.7%"
"3","Baltimore Ravens (BAL)","4","5","0","0","0","0","0","1","15.0","15.0","87.6%"
"4","New England Patriots (NE)","5","0","2","3","1","0","0","1","15.0","15.0","13.3%"
"5","Pittsburgh Steelers (PIT)","3","3","0","1","0","0","0","1","13.0","13.0","76.5%"
"6","Atlanta Falcons (ATL)","6","1","0","1","0","0","0","1","12.0","12.0","16.5%"
"7","Detroit Lions (DET)","4","4","0","2","0","0","0","1","12.0","12.0","44.0%"
"8","New York Giants (NYG)","1","1","1","1","1","0","0","1","10.0","10.0","3.1%"
"9","New York Jets (NYJ)","1","2","1","0","0","0","0","1","8.0","8.0","82.8%"
"10","Los Angeles Chargers (LAC)","1","1","2","2","0","0","0","1","7.0","7.0","16.6%"
"11","Houston Texans (HOU)","1","2","0","0","0","0","1","1","7.0","7.0","29.8%"
"12","Miami Dolphins (MIA)","4","0","1","0","0","0","0","1","7.0","7.0","69.0%"
"13","Cleveland Browns (CLE)","3","2","0","1","0","0","0","1","7.0","7.0","94.3%"
"14","Seattle Seahawks (SEA)","6","0","0","1","0","0","0","1","7.0","7.0","27.1%"
"15","Kansas City Chiefs (KC)","2","0","0","0","0","0","0","1","6.0","6.0","76.9%"
"16","Denver Broncos (DEN)","2","0","1","1","0","0","0","1","5.0","5.0","34.5%"
"17","Buffalo Bills (BUF)","5","0","0","0","0","0","0","1","5.0","5.0","62.6%"
"18","Los Angeles Rams (LAR)","2","1","0","0","0","0","0","1","4.0","4.0","21.1%"
"19","Minnesota Vikings (MIN)","1","0","1","2","0","0","0","1","4.0","4.0","11.6%"
"20","Tennessee Titans (TEN)","3","0","0","1","0","0","0","1","4.0","4.0","3.5%"
"21","Philadelphia Eagles (PHI)","1","1","0","0","0","0","0","1","4.0","4.0","50.8%"
"22","San Francisco 49ers (SF)","2","0","0","0","0","1","0","1","3.0","3.0","98.1%"
"23","Arizona Cardinals (ARI)","1","1","0","0","0","0","0","1","3.0","3.0","0.8%"
"24","Washington Commanders (WAS)","0","1","1","0","0","0","0","1","3.0","3.0","8.1%"
"25","Chicago Bears (CHI)","2","0","0","0","0","0","0","1","3.0","3.0","31.0%"
"26","Jacksonville Jaguars (JAC)","2","0","0","0","0","0","0","1","1.0","1.0","47.1%"
"27","Green Bay Packers (GB)","2","0","0","1","0","0","0","1","1.0","1.0","26.0%"
"28","Dallas Cowboys (DAL)","1","0","0","0","0","0","0","1","1.0","1.0","93.2%"
"29","New Orleans Saints (NO)","1","0","0","0","0","0","0","1","0.0","0.0","63.8%"
"30","Indianapolis Colts (IND)","1","0","0","0","0","0","0","1","0.0","0.0","24.5%"
"31","Cincinnati Bengals (CIN)","1","0","0","1","0","0","0","1","0.0","0.0","48.7%"
"32","Carolina Panthers (CAR)","1","0","0","1","0","0","0","1","0.0","0.0","2.9%"
""
""
