"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","T.J. Hockenson (MIN)","7","8","66","9.4","24","1","2","0","0","0","0","1","18.6","18.6","81.1%"
"2","Hunter Henry (NE)","6","7","52","8.7","13","0","1","0","0","0","0","1","11.2","11.2","15.1%"
"3","Mark Andrews (BAL)","5","8","45","9.0","20","1","1","0","0","0","0","1","10.5","10.5","73.3%"
"4","Travis Kelce (KC)","4","9","26","6.5","9","0","1","0","0","0","0","1","8.6","8.6","99.9%"
"5","Logan Thomas (SF)","2","3","22","11.0","18","0","1","0","0","0","0","1","8.2","8.2","19.2%"
"6","Taysom Hill (NO)","1","2","-1","-1.0","0","0","0","9","75","0","0","1","7.7","7.7","35.8%"
"7","Kylen Granson (IND)","3","4","16","5.3","11","0","1","0","0","0","0","1","7.6","7.6","0.6%"
"8","Darren Waller (FA)","6","8","76","12.7","25","1","0","0","0","0","0","1","7.6","7.6","45.4%"
"9","Jake Ferguson (DAL)","3","4","11","3.7","6","0","1","0","0","0","0","1","7.1","7.1","89.5%"
"10","Dawson Knox (BUF)","3","5","10","3.3","7","0","1","0","0","0","0","1","7.0","7.0","4.7%"
"11","Sam LaPorta (DET)","5","6","63","12.6","23","1","0","0","0","0","0","1","6.3","6.3","98.9%"
"12","Luke Schoonmaker (DAL)","1","1","1","1.0","1","0","1","0","0","0","0","1","6.1","6.1","0.3%"
"13","Evan Engram (JAC)","6","8","57","9.5","17","0","0","0","0","0","0","1","5.7","5.7","96.4%"
"14","Noah Fant (SEA)","4","4","56","14.0","31","1","0","0","0","0","0","1","5.6","5.6","2.2%"
"15","Zach Ertz (WAS)","6","8","56","9.3","17","0","0","0","0","0","0","1","5.6","5.6","3.4%"
"16","Tyler Conklin (NYJ)","5","6","50","10.0","17","0","0","0","0","0","0","1","5.0","5.0","16.7%"
"17","Will Mallory (IND)","2","2","49","24.5","43","1","0","0","0","0","0","1","4.9","4.9","0.0%"
"18","Jonnu Smith (MIA)","4","6","47","11.8","17","0","0","0","0","0","0","1","4.7","4.7","8.0%"
"19","Gerald Everett (CHI)","3","3","47","15.7","29","1","0","0","0","0","0","1","4.7","4.7","23.4%"
"20","John Bates (WAS)","3","5","46","15.3","35","1","0","0","0","0","0","1","4.6","4.6","0.0%"
