"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Harrison Butker (KC)","6","6","100.0","54","0","2","0","3","1","1","1","1","24.0","24.0","95.5%"
"2","Ka'imi Fairbairn (HOU)","4","4","100.0","51","0","2","1","0","1","2","2","1","16.0","16.0","48.8%"
"3","Cairo Santos (CHI)","3","4","75.0","42","0","1","0","2","0","4","4","1","15.0","15.0","23.4%"
"4","Brandon McManus (FA)","4","4","100.0","35","0","2","2","0","0","2","2","1","14.0","14.0","18.2%"
"5","Cameron Dicker (LAC)","3","4","75.0","52","0","0","1","0","2","0","0","1","13.0","13.0","45.5%"
"6","Jason Myers (SEA)","3","3","100.0","43","0","1","0","2","0","2","2","1","13.0","13.0","31.7%"
"7","Matt Gay (IND)","3","3","100.0","45","0","0","2","1","0","2","2","1","12.0","12.0","35.5%"
"8","Blake Grupe (NO)","3","3","100.0","45","0","1","1","1","0","2","2","1","12.0","12.0","3.8%"
"9","Chris Boswell (PIT)","3","3","100.0","39","0","2","1","0","0","3","3","1","12.0","12.0","17.1%"
"10","Wil Lutz (DEN)","3","4","75.0","43","0","1","1","1","0","1","1","1","11.0","11.0","10.3%"
"11","Brandon Aubrey (DAL)","2","2","100.0","51","0","0","0","1","1","2","2","1","11.0","11.0","96.9%"
"12","Greg Zuerlein (NYJ)","2","3","66.7","46","0","0","0","2","0","2","2","1","10.0","10.0","41.9%"
"13","Daniel Carlson (LV)","2","2","100.0","40","0","0","1","1","0","2","2","1","9.0","9.0","24.2%"
"14","Jake Moody (SF)","2","2","100.0","38","0","1","1","0","0","3","3","1","9.0","9.0","69.4%"
"15","Matt Prater (ARI)","2","2","100.0","34","0","1","1","0","0","3","3","1","9.0","9.0","1.7%"
"16","Anders Carlson (GB)","2","2","100.0","37","0","0","2","0","0","3","4","1","9.0","9.0","2.0%"
"17","Tyler Bass (BUF)","2","2","100.0","35","0","1","1","0","0","3","3","1","9.0","9.0","47.3%"
"18","Michael Badgley (DET)","2","2","100.0","41","0","0","1","1","0","1","1","1","8.0","8.0","10.1%"
"19","Jake Elliott (PHI)","1","1","100.0","43","0","0","0","1","0","4","4","1","8.0","8.0","93.7%"
"20","Justin Tucker (BAL)","0","0","0","0","0","0","0","0","0","8","8","1","8.0","8.0","98.8%"
"21","Jason Sanders (MIA)","2","2","100.0","38","0","1","1","0","0","1","1","1","7.0","7.0","46.2%"
"22","Riley Patterson (JAC)","1","1","100.0","33","0","0","1","0","0","4","5","1","7.0","7.0","13.1%"
"23","Mason Crosby (FA)","2","3","66.7","32","0","0","2","0","0","1","2","1","7.0","7.0","0.1%"
"24","Greg Joseph (GB)","1","1","100.0","54","0","0","0","0","1","1","1","1","6.0","6.0","3.7%"
"25","Evan McPherson (CIN)","1","1","100.0","34","0","0","1","0","0","2","2","1","5.0","5.0","83.1%"
"26","Nick Folk (TEN)","1","1","100.0","53","0","0","0","0","1","0","0","1","5.0","5.0","9.4%"
"27","Younghoe Koo (ATL)","1","3","33.3","38","0","0","1","0","0","2","2","1","5.0","5.0","65.7%"
"28","Joey Slye (NE)","1","1","100.0","47","0","0","0","1","0","1","1","1","5.0","5.0","0.6%"
"29","Chad Ryland (NE)","0","1","0.0","0","0","0","0","0","0","3","3","1","3.0","3.0","0.4%"
"30","Lucas Havrisik (FA)","0","0","0","0","0","0","0","0","0","2","4","1","2.0","2.0","2.1%"
"31","Chase McLaughlin (TB)","0","0","0","0","0","0","0","0","0","1","1","1","1.0","1.0","6.7%"
"32","Ramiz Ahmed (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"33","Eddy Pineiro (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"34","Austin Seibert (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"35","Matthew Wright (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"36","Tanner Brown (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"37","James Turner (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"38","Jude McAtamney (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"39","Spencer Shrader (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"40","Jake Bates (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.4%"
"41","Harrison Mevis (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"42","Jack Browning (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"43","Brayden Narveson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"44","Joshua Karty (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"45","Cam Little (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"46","Charlie Smyth (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"47","Will Reichard (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9%"
"48","John Parker Romo (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"49","Cade York (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"50","Steven Weatherford (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"51","Piotr Czech (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"52","Zac Derr (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"53","Ricky Schmit (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
