"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"241","Jeremiah Jean-Baptiste (LAC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"242","Jacoby Windmon (PIT)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"243","Amari Gainer (LV)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"244","Tre'Mon Morris-Brash (LAC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"245","Isaiah Stalbird (NO)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"246","Dallas Gant (MIN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"247","Julius Wood (DAL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"248","Michael Barrett (CAR)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"249","Devin Richardson (SEA)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"250","Kenny Dyson Jr. (CAR)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"251","Joe Andreessen (BUF)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"252","Jotham Russell (NE)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"253","Chris Collins (LAC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"254","Shane Lee (LAC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"255","Byron Vaughns (DAL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"256","Levelle Bailey (DEN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"257","DaRon Gilbert (DET)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"258","Omar Speights (LAR)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"259","Ralen Goforth (GB)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"260","Max Tooley (HOU)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"261","Tarique Barnes (HOU)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"262","Craig Young (IND)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"263","Andrew Parker Jr. (JAC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"264","Trey Kiser (JAC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"265","Elias Neal (LAR)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"266","Easton Gibbs (SEA)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"267","Bo Bauer (WAS)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"268","Swayze Bozeman (KC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"269","Paul Moala (CHI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"270","Edefuan Ulofoshio (BUF)","0","0","0","0","0","0","0","0","0","0","0","0.5%"
"271","Claudin Cherelus (CAR)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"272","Cam Jones (KC)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"273","Eku Leota (CAR)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"274","Trevor Nowaske (ARI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"275","Mitchell Agude (DET)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"276","Ezekiel Vandenburgh (MIA)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"277","Malik Hamm (BAL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"278","Dyontae Johnson (NYG)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"279","Donavan Mutin (ATL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"280","Markees Watts (TB)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"281","Patrick O'Connell (SEA)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"282","Keshawn Banks (GB)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"283","Liam Anderson (IND)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"284","Kenneth Odumegwu (GB)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"285","Shaka Heyward (CIN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"286","Christian Young (GB)","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"287","Micah Baskerville (CHI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"288","Charlie Thomas III (CLE)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"289","Ben VanSumeren (PHI)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"290","Curtis Jacobs (KC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"291","Cedric Gray (TEN)","0","0","0","0","0","0","0","0","0","0","0","6.7%"
"292","Tommy Eichenberg (LV)","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"293","Trevin Wallace (CAR)","0","0","0","0","0","0","0","0","0","0","0","6.9%"
"294","Payton Wilson (PIT)","0","0","0","0","0","0","0","0","0","0","0","11.7%"
"295","Chris Braswell (TB)","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"296","Ty'Ron Hopper (GB)","0","0","0","0","0","0","0","0","0","0","0","3.7%"
"297","Jaylan Ford (NO)","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"298","Marist Liufau (DAL)","0","0","0","0","0","0","0","0","0","0","0","3.5%"
"299","Javon Solomon (BUF)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"300","Tyrus Wheat (DAL)","1","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"301","Thomas Incoom (DEN)","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"302","Otis Reese IV (TEN)","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"303","Drake Thomas (SEA)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"304","Tyler Murray (PIT)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"305","Isaiah Land (IND)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"306","Edgerrin Cooper (GB)","0","0","0","0","0","0","0","0","0","0","0","17.4%"
"307","Caleb Johnson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"308","Dallas Turner (MIN)","0","0","0","0","0","0","0","0","0","0","0","15.4%"
"309","Junior Colson (LAC)","0","0","0","0","0","0","0","0","0","0","0","16.4%"
"310","Odafe Oweh (BAL)","0","0","0","0","0","0","0","0","0","0","0","5.6%"
"311","Chazz Surratt (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"312","Ade Ogundeji (ARI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"313","Baron Browning (DEN)","0","0","0","0","0","0","0","0","0","0","0","5.3%"
"314","Azeez Ojulari (NYG)","0","0","0","0","0","0","0","0","0","0","0","1.9%"
"315","Jaelan Phillips (MIA)","0","1","0","0","0","0","0","0","1","0.0","0.0","9.3%"
"316","Victor Dimukeje (ARI)","1","1","1","0","0","0","0","0","1","0.0","0.0","0.5%"
"317","Jabril Cox (MIN)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"318","Brian Asamoah II (MIN)","0","0","0","0","0","0","0","0","1","0.0","0.0","2.0%"
"319","Josh Ross (BAL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"320","Tyreke Smith (ARI)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"321","Nik Bonitto (DEN)","2","1","0","0","0","0","0","0","1","0.0","0.0","1.9%"
"322","Channing Tindall (MIA)","0","0","0","0","0","0","0","0","0","0","0","0.5%"
"323","Byron Young (LV)","1","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"324","Cameron Thomas (FA)","0","2","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"325","D'Marco Jackson (NO)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"326","Amare Barno (CAR)","1","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"327","Malcolm Rodriguez (DET)","0","0","0","0","0","0","0","0","0","0","0","2.7%"
"328","Darrian Beavers (NYG)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"329","Chad Muma (JAC)","0","0","0","0","0","0","0","0","0","0","0","1.7%"
"330","Boye Mafe (SEA)","1","1","1","0","0","0","0","0","1","0.0","0.0","8.2%"
"331","Quay Walker (GB)","0","0","0","0","0","0","0","0","0","0","0","37.1%"
"332","David Ojabo (BAL)","0","0","0","0","0","0","0","0","0","0","0","3.1%"
"333","Arnold Ebiketie (ATL)","1","1","1.5","0","0","0","0","0","1","0.0","0.0","1.5%"
"334","Travon Walker (JAC)","1","3","0.5","0","0","0","0","0","1","0.0","0.0","11.2%"
"335","JoJo Domann (TEN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"336","Ochaun Mathis (LAR)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"337","Olakunle Fatukasi (LAR)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"338","SirVocea Dennis (TB)","0","0","0","0","0","0","0","0","0","0","0","4.0%"
"339","Baylon Spector (BUF)","0","0","0","0","0","0","0","0","0","0","0","0.5%"
"340","Jake Hansen (HOU)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"341","Jeff Gunter (CIN)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"342","Amari Burney (LV)","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"343","Cameron Goode (MIA)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"344","Darien Butler (LV)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"345","DeAngelo Malone (ATL)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
