"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Deebo Samuel Sr. (SF)","4","4","116","29.0","48","2","2","3","22","1","0","1","31.8","31.8","98.7%"
"2","DK Metcalf (SEA)","6","8","134","22.3","73","2","3","0","0","0","0","1","31.4","31.4","98.5%"
"3","Tyreek Hill (MIA)","5","7","157","31.4","78","3","2","2","-4","0","0","1","27.3","27.3","100.0%"
"4","Nico Collins (HOU)","9","12","191","21.2","59","3","1","0","0","0","0","1","25.1","25.1","95.6%"
"5","Mike Evans (TB)","7","12","162","23.1","75","2","1","0","0","0","0","1","22.2","22.2","98.1%"
"6","Christian Watson (GB)","7","9","71","10.1","19","0","2","2","15","0","0","1","20.6","20.6","74.8%"
"7","CeeDee Lamb (DAL)","12","17","116","9.7","23","1","1","2","30","0","0","1","20.6","20.6","100.0%"
"8","Ja'Marr Chase (CIN)","11","12","149","13.5","76","1","1","0","0","0","0","1","20.6","20.6","99.4%"
"9","Puka Nacua (LAR)","4","7","105","26.3","70","2","1","2","34","0","0","1","19.9","19.9","96.9%"
"10","Michael Pittman Jr. (IND)","11","16","105","9.5","14","0","1","0","0","0","0","1","16.5","16.5","97.1%"
"11","Alec Pierce (IND)","3","6","100","33.3","55","2","1","0","0","0","0","1","16.0","16.0","2.3%"
"12","DeVonta Smith (PHI)","9","11","96","10.7","21","1","1","0","0","0","0","1","15.6","15.6","98.0%"
"13","DeAndre Hopkins (TEN)","5","12","75","15.0","27","2","1","1","4","0","0","1","13.9","13.9","91.9%"
"14","Courtland Sutton (DEN)","2","7","77","38.5","45","2","1","0","0","0","0","1","13.7","13.7","83.0%"
"15","Brandin Cooks (DAL)","4","4","45","11.3","19","0","1","0","0","0","0","1","12.5","12.5","43.6%"
"16","Parker Washington (JAC)","6","6","61","10.2","18","0","1","0","0","0","0","1","12.1","12.1","2.6%"
"17","Chris Olave (NO)","5","8","119","23.8","33","4","0","0","0","0","0","1","11.9","11.9","98.8%"
"18","Demarcus Robinson (LAR)","4","5","55","13.8","30","1","1","0","0","0","0","1","11.5","11.5","15.3%"
"19","A.J. Brown (PHI)","8","13","114","14.3","38","1","0","0","0","0","0","1","11.4","11.4","99.9%"
"20","Amon-Ra St. Brown (DET)","2","6","49","24.5","25","2","1","0","0","0","0","1","10.9","10.9","100.0%"
"21","Brandon Aiyuk (SF)","5","7","46","9.2","13","0","1","0","0","0","0","1","10.6","10.6","98.2%"
"22","Jauan Jennings (SF)","3","4","44","14.7","18","0","1","0","0","0","0","1","10.4","10.4","0.6%"
"23","Cooper Kupp (LAR)","6","8","39","6.5","13","0","1","0","0","0","0","1","9.9","9.9","98.0%"
"24","Diontae Johnson (CAR)","4","5","33","8.3","26","1","1","0","0","0","0","1","9.3","9.3","83.2%"
"25","Jameson Williams (DET)","1","1","11","11.0","11","0","0","1","19","1","0","1","9.0","9.0","45.8%"
"26","George Pickens (PIT)","4","5","86","21.5","38","2","0","0","0","0","0","1","8.6","8.6","87.2%"
"27","Elijah Moore (CLE)","4","12","83","20.8","42","2","0","0","0","0","0","1","8.3","8.3","23.1%"
"28","Chris Godwin (TB)","0","3","0","0","0","0","0","1","19","1","0","1","7.9","7.9","90.3%"
"29","Zay Jones (ARI)","5","8","78","15.6","24","2","0","0","0","0","0","1","7.8","7.8","15.4%"
"30","Xavier Gipson (NYJ)","5","6","77","15.4","36","2","0","1","1","0","0","1","7.8","7.8","0.7%"
"31","Romeo Doubs (GB)","4","5","72","18.0","33","2","0","0","0","0","0","1","7.2","7.2","44.3%"
"32","Jonathan Mingo (CAR)","6","10","69","11.5","31","1","0","0","0","0","0","1","6.9","6.9","7.0%"
"33","Curtis Samuel (BUF)","4","5","65","16.3","33","2","0","0","0","0","0","1","6.5","6.5","51.0%"
"34","Rashee Rice (KC)","8","9","64","8.0","13","0","0","0","0","0","0","1","6.4","6.4","88.9%"
"35","DeVante Parker (FA)","4","9","64","16.0","27","2","0","0","0","0","0","1","6.4","6.4","1.7%"
"36","Jaxon Smith-Njigba (SEA)","7","11","62","8.9","18","0","0","0","0","0","0","1","6.2","6.2","76.0%"
"37","Keenan Allen (CHI)","5","9","58","11.6","16","0","0","0","0","0","0","1","5.8","5.8","91.0%"
"38","DJ Chark Jr. (LAC)","3","4","56","18.7","30","2","0","0","0","0","0","1","5.6","5.6","4.7%"
"39","Jaylen Waddle (MIA)","5","8","52","10.4","16","0","0","0","0","0","0","1","5.2","5.2","96.3%"
"40","Quentin Johnston (LAC)","5","7","52","10.4","27","1","0","0","0","0","0","1","5.2","5.2","17.0%"
"41","Jerry Jeudy (CLE)","3","4","51","17.0","41","1","0","0","0","0","0","1","5.1","5.1","63.3%"
"42","Garrett Wilson (NYJ)","3","7","50","16.7","31","1","0","0","0","0","0","1","5.0","5.0","97.8%"
"43","Tyler Lockett (SEA)","5","8","47","9.4","17","0","0","0","0","0","0","1","4.7","4.7","88.4%"
"44","Dontayvion Wicks (GB)","3","4","43","14.3","27","1","0","0","0","0","0","1","4.3","4.3","7.1%"
"45","Tyquan Thornton (NE)","0","1","0","0","0","0","0","1","39","0","0","1","3.9","3.9","0.1%"
"46","Tee Higgins (CIN)","3","3","36","12.0","14","0","0","0","0","0","0","1","3.6","3.6","94.1%"
"47","Amari Cooper (CLE)","3","5","34","11.3","22","1","0","0","0","0","0","1","3.4","3.4","91.6%"
"48","Calvin Ridley (TEN)","4","8","26","6.5","21","1","0","3","7","0","0","1","3.3","3.3","95.0%"
"49","Tyler Boyd (TEN)","5","7","37","7.4","10","0","0","1","5","0","0","1","3.2","3.2","28.1%"
"50","A.T. Perry (NO)","1","3","30","30.0","30","1","0","0","0","0","0","1","3.0","3.0","0.7%"
"51","Nick Westbrook-Ikhine (TEN)","1","3","28","28.0","28","1","0","0","0","0","0","1","2.8","2.8","0.2%"
"52","Quez Watkins (PIT)","3","4","28","9.3","15","0","0","0","0","0","0","1","2.8","2.8","0.1%"
"53","Christian Kirk (JAC)","1","1","26","26.0","26","1","0","0","0","0","0","1","2.6","2.6","70.8%"
"54","Trenton Irwin (CIN)","1","1","25","25.0","25","1","0","0","0","0","0","1","2.5","2.5","0.6%"
"55","Trey Palmer (TB)","2","5","12","6.0","6","0","0","1","13","0","0","1","2.5","2.5","1.5%"
"56","Adam Thielen (CAR)","3","6","25","8.3","12","0","0","0","0","0","0","1","2.5","2.5","71.9%"
"57","Marquez Valdes-Scantling (BUF)","2","5","25","12.5","16","0","0","0","0","0","0","1","2.5","2.5","1.2%"
"58","Alex Erickson (FA)","1","1","23","23.0","23","1","0","0","0","0","0","1","2.3","2.3","0.0%"
"59","Jahan Dotson (WAS)","2","5","23","11.5","12","0","0","0","0","0","0","1","2.3","2.3","31.0%"
"60","Cedric Tillman (CLE)","2","6","20","10.0","13","0","0","0","0","0","0","1","2.0","2.0","0.8%"
"61","Greg Dortch (ARI)","1","3","19","19.0","19","0","0","0","0","0","0","1","1.9","1.9","4.3%"
"62","Allen Robinson II (NYG)","3","3","19","6.3","8","0","0","0","0","0","0","1","1.9","1.9","0.6%"
"63","Jalen Tolbert (DAL)","1","1","17","17.0","17","0","0","0","0","0","0","1","1.7","1.7","2.0%"
"64","River Cracraft (MIA)","2","2","16","8.0","13","0","0","0","0","0","0","1","1.6","1.6","0.1%"
"65","Jayden Reed (GB)","4","5","16","4.0","9","0","0","0","0","0","0","1","1.6","1.6","77.3%"
"66","Malik Heath (GB)","1","2","15","15.0","15","0","0","0","0","0","0","1","1.5","1.5","0.1%"
"67","Josh Downs (IND)","3","5","14","4.7","9","0","0","0","0","0","0","1","1.4","1.4","26.8%"
"68","Marvin Mims Jr. (DEN)","1","2","5","5.0","5","0","0","1","8","0","0","1","1.3","1.3","7.2%"
"69","Lil'Jordan Humphrey (DEN)","1","1","12","12.0","12","0","0","0","0","0","0","1","1.2","1.2","0.1%"
"70","Chris Moore (ARI)","1","1","12","12.0","12","0","0","0","0","0","0","1","1.2","1.2","0.1%"
"71","Richie James Jr. (FA)","1","2","12","12.0","12","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"72","Josh Reynolds (DEN)","1","3","12","12.0","12","0","0","0","0","0","0","1","1.2","1.2","7.3%"
"73","Ben Skowronek (HOU)","2","3","12","6.0","6","0","0","0","0","0","0","1","1.2","1.2","0.1%"
