"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Miami Dolphins (MIA)","7","2","0","1","1","0","0","1","21.0","21.0","69.0%"
"2","Dallas Cowboys (DAL)","4","1","0","0","1","0","0","1","16.0","16.0","93.2%"
"3","Denver Broncos (DEN)","4","0","3","2","0","1","0","1","16.0","16.0","34.5%"
"4","Baltimore Ravens (BAL)","3","1","3","3","0","0","0","1","15.0","15.0","87.6%"
"5","Green Bay Packers (GB)","3","0","3","3","1","0","0","1","15.0","15.0","26.0%"
"6","San Francisco 49ers (SF)","6","1","1","0","0","0","0","1","14.0","14.0","98.1%"
"7","Chicago Bears (CHI)","2","4","0","2","0","0","0","1","14.0","14.0","31.0%"
"8","New York Jets (NYJ)","2","2","1","0","1","0","0","1","13.0","13.0","82.8%"
"9","New England Patriots (NE)","6","0","1","1","0","0","0","1","12.0","12.0","13.3%"
"10","Atlanta Falcons (ATL)","1","1","1","2","1","0","0","1","12.0","12.0","16.5%"
"11","New York Giants (NYG)","2","3","0","1","0","0","0","1","12.0","12.0","3.1%"
"12","Minnesota Vikings (MIN)","3","0","2","3","0","0","0","1","11.0","11.0","11.6%"
"13","Indianapolis Colts (IND)","6","1","1","1","0","0","0","1","11.0","11.0","24.5%"
"14","Tennessee Titans (TEN)","4","0","1","1","0","0","0","1","10.0","10.0","3.5%"
"15","Pittsburgh Steelers (PIT)","4","1","0","1","0","0","0","1","10.0","10.0","76.5%"
"16","Seattle Seahawks (SEA)","1","1","0","0","1","0","0","1","8.0","8.0","27.1%"
"17","Cincinnati Bengals (CIN)","2","0","1","1","0","0","0","1","5.0","5.0","48.7%"
"18","Los Angeles Rams (LAR)","4","0","0","0","0","0","0","1","5.0","5.0","21.1%"
"19","New Orleans Saints (NO)","0","2","0","0","0","0","0","1","5.0","5.0","63.8%"
"20","Philadelphia Eagles (PHI)","1","1","0","0","0","0","0","1","4.0","4.0","50.8%"
"21","Tampa Bay Buccaneers (TB)","2","1","0","0","0","0","0","1","4.0","4.0","20.7%"
"22","Jacksonville Jaguars (JAC)","4","0","0","0","0","0","0","1","4.0","4.0","47.1%"
"23","Los Angeles Chargers (LAC)","2","0","0","1","0","0","0","1","3.0","3.0","16.6%"
"24","Houston Texans (HOU)","0","1","0","0","0","0","0","1","2.0","2.0","29.8%"
"25","Cleveland Browns (CLE)","1","0","1","1","0","0","0","1","2.0","2.0","94.3%"
"26","Carolina Panthers (CAR)","1","0","0","0","0","0","0","1","2.0","2.0","2.9%"
"27","Buffalo Bills (BUF)","2","1","1","0","0","0","0","1","2.0","2.0","62.6%"
"28","Kansas City Chiefs (KC)","1","0","0","0","0","0","0","1","2.0","2.0","76.9%"
"29","Las Vegas Raiders (LV)","1","0","0","0","0","0","0","1","0.0","0.0","21.8%"
"30","Detroit Lions (DET)","0","0","0","0","0","0","0","1","0.0","0.0","44.0%"
"31","Arizona Cardinals (ARI)","0","1","0","0","0","0","0","1","-2.0","-2.0","0.8%"
"32","Washington Commanders (WAS)","0","0","0","1","0","0","0","1","-4.0","-4.0","8.1%"
""
""
