"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"1","Maxx Crosby (LV)","6","2","3","0","0","0","0","0","1","30.0","30.0","69.3%"
"2","Byron Young (LAR)","8","2","2","0","0","1","0","0","1","28.0","28.0","32.6%"
"3","Joey Bosa (LAC)","3","3","2.5","0","0","1","1","0","1","27.3","27.3","15.8%"
"4","Boye Mafe (SEA)","5","1","1","0","0","1","1","0","1","20.3","20.3","8.2%"
"5","Dalvin Tomlinson (CLE)","2","2","2.5","0","0","0","0","0","1","19.5","19.5","1.9%"
"6","Kobie Turner (LAR)","7","3","1","0","0","0","0","0","1","19.3","19.3","8.5%"
"7","David Onyemata (ATL)","5","5","1","0","0","1","0","0","1","19.3","19.3","4.9%"
"8","Tuli Tuipulotu (LAC)","3","2","2","0","0","0","0","0","1","19.0","19.0","3.9%"
"9","Shelby Harris (CLE)","3","0","1","1","0","1","0","0","1","19.0","19.0","0.9%"
"10","DeForest Buckner (IND)","4","0","1","2","0","0","0","0","1","18.0","18.0","46.4%"
"11","Calijah Kancey (TB)","4","0","1","0","0","0","0","0","1","17.5","17.5","6.7%"
"12","Justin Madubuike (BAL)","4","0","1","0","0","0","0","0","1","15.0","15.0","24.1%"
"13","Deatrich Wise Jr. (NE)","3","5","1","0","0","0","0","0","1","14.8","14.8","2.7%"
"14","Cameron Jordan (NO)","3","4","1","0","0","0","0","0","1","14.0","14.0","5.7%"
"15","Myles Garrett (CLE)","1","0","1","1","0","0","1","0","1","13.5","13.5","63.2%"
"16","John Franklin-Myers (DEN)","1","1","1","3","0","0","0","0","1","13.3","13.3","0.6%"
"17","Leki Fotu (NYJ)","3","2","0.5","0","0","0","0","0","1","13.0","13.0","0.3%"
"18","Danielle Hunter (HOU)","5","4","0","0","0","0","0","0","1","13.0","13.0","52.1%"
"19","Arnold Ebiketie (ATL)","3","0","1","0","0","1","0","0","1","12.5","12.5","1.5%"
"20","Khalil Davis (HOU)","2","2","1","1","0","0","0","0","1","12.5","12.5","1.2%"
"21","Calais Campbell (MIA)","4","0","1","0","0","0","0","0","1","12.5","12.5","3.7%"
"22","Davon Godchaux (NE)","3","5","0","0","0","0","1","0","1","12.3","12.3","3.5%"
"23","Zach Sieler (MIA)","4","3","0","0","0","0","1","0","1","12.3","12.3","25.1%"
"24","Kentavius Street (ATL)","2","3","0","0","0","0","1","0","1","11.8","11.8","0.0%"
"25","Sam Williams (DAL)","2","1","1","0","0","1","0","0","1","11.8","11.8","1.4%"
"26","Bryce Huff (PHI)","1","2","1.5","0","0","0","0","0","1","11.5","11.5","3.9%"
"27","Aaron Donald (FA)","2","2","1","0","0","0","0","0","1","11.0","11.0","11.0%"
"28","Haason Reddick (NYJ)","2","0","1","1","0","0","0","0","1","11.0","11.0","16.2%"
"29","Josh Sweat (PHI)","2","2","1","0","0","0","0","0","1","11.0","11.0","13.9%"
"30","Malcolm Koonce (LV)","3","0","1","0","0","0","0","0","1","11.0","11.0","3.5%"
"31","Jeffery Simmons (TEN)","4","3","0","0","0","0","0","0","1","10.8","10.8","26.9%"
"32","Carl Granderson (NO)","5","1","0","0","0","0","0","0","1","10.8","10.8","27.1%"
"33","Brandon Graham (PHI)","1","1","1.5","0","0","0","0","0","1","10.8","10.8","1.8%"
"34","Cameron Heyward (PIT)","4","2","0","0","0","0","0","0","1","10.0","10.0","22.6%"
