"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"56","Garrett Wilson (NYJ)","5","9","48","9.6","29","1","0","0","0","0","0","1","4.8","4.8","97.8%"
"57","DeAndre Hopkins (TEN)","3","7","48","16.0","26","1","0","0","0","0","0","1","4.8","4.8","91.9%"
"58","Kendrick Bourne (NE)","4","5","46","11.5","18","0","0","0","0","0","0","1","4.6","4.6","4.2%"
"59","Dontayvion Wicks (GB)","4","6","45","11.3","18","0","0","0","0","0","0","1","4.5","4.5","7.1%"
"60","Alec Pierce (IND)","3","7","43","14.3","23","1","0","0","0","0","0","1","4.3","4.3","2.3%"
"61","Skyy Moore (KC)","4","6","42","10.5","21","1","0","0","0","0","0","1","4.2","4.2","6.4%"
"62","Terry McLaurin (WAS)","6","6","41","6.8","12","0","0","0","0","0","0","1","4.1","4.1","90.3%"
"63","Chris Moore (ARI)","2","3","41","20.5","33","1","0","0","0","0","0","1","4.1","4.1","0.1%"
"64","Calvin Ridley (TEN)","3","7","40","13.3","21","1","0","0","0","0","0","1","4.0","4.0","95.0%"
"65","Allen Lazard (NYJ)","3","5","39","13.0","21","1","0","0","0","0","0","1","3.9","3.9","4.7%"
"66","Nelson Agholor (BAL)","4","4","39","9.8","18","0","0","0","0","0","0","1","3.9","3.9","0.8%"
"67","Tyler Boyd (TEN)","5","9","39","7.8","12","0","0","0","0","0","0","1","3.9","3.9","28.1%"
"68","Marquez Valdes-Scantling (BUF)","1","2","37","37.0","37","1","0","0","0","0","0","1","3.7","3.7","1.2%"
"69","Terrace Marshall Jr. (CAR)","5","8","35","7.0","10","0","0","0","0","0","0","1","3.5","3.5","0.1%"
"70","Nico Collins (HOU)","2","3","34","17.0","29","1","0","0","0","0","0","1","3.4","3.4","95.6%"
"71","Robert Woods (HOU)","3","6","34","11.3","17","0","0","0","0","0","0","1","3.4","3.4","2.7%"
"72","Braxton Berrios (MIA)","2","2","33","16.5","22","1","0","0","0","0","0","1","3.3","3.3","1.2%"
"73","Darius Slayton (NYG)","3","6","32","10.7","17","0","0","0","0","0","0","1","3.2","3.2","2.6%"
"74","Jauan Jennings (SF)","2","3","31","15.5","24","1","0","0","0","0","0","1","3.1","3.1","0.6%"
"75","Drake London (ATL)","2","6","31","15.5","28","1","0","0","0","0","0","1","3.1","3.1","93.1%"
"76","Jamal Agnew (FA)","4","5","49","12.3","14","0","0","0","0","0","1","1","2.9","2.9","1.0%"
"77","Elijah Moore (CLE)","9","9","49","5.4","14","0","0","3","-1","0","1","1","2.8","2.8","23.1%"
"78","DeVonta Smith (PHI)","4","5","28","7.0","15","0","0","0","0","0","0","1","2.8","2.8","98.0%"
"79","Allen Robinson II (NYG)","4","4","24","6.0","8","0","0","0","0","0","0","1","2.4","2.4","0.6%"
"80","Parris Campbell (PHI)","6","6","24","4.0","7","0","0","0","0","0","0","1","2.4","2.4","0.7%"
"81","Mack Hollins (BUF)","1","4","23","23.0","23","1","0","0","0","0","0","1","2.3","2.3","0.2%"
"82","Jahan Dotson (WAS)","2","4","21","10.5","15","0","0","0","0","0","0","1","2.1","2.1","31.0%"
"83","Jonathan Mingo (CAR)","3","6","21","7.0","9","0","0","0","0","0","0","1","2.1","2.1","7.0%"
"84","Wan'Dale Robinson (NYG)","4","5","21","5.3","8","0","0","0","0","0","0","1","2.1","2.1","8.5%"
"85","Tee Higgins (CIN)","2","8","21","10.5","13","0","0","0","0","0","0","1","2.1","2.1","94.1%"
"86","Samori Toure (GB)","0","3","0","0","0","0","0","0","0","0","0","1","2.0","2.0","0.0%"
"87","DeMario Douglas (NE)","1","3","15","15.0","15","0","0","1","5","0","0","1","2.0","2.0","23.0%"
"88","DeVante Parker (FA)","2","3","19","9.5","16","0","0","0","0","0","0","1","1.9","1.9","1.7%"
"89","Trent Sherfield Sr. (MIN)","2","3","18","9.0","9","0","0","0","0","0","0","1","1.8","1.8","0.1%"
"90","Brandin Cooks (DAL)","2","7","17","8.5","12","0","0","0","0","0","0","1","1.7","1.7","43.6%"
"91","Hunter Renfrow (FA)","2","2","17","8.5","10","0","0","0","0","0","0","1","1.7","1.7","0.6%"
