"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Brian Robinson Jr. (WAS)","18","87","4.8","27","1","2","2","3","42","21.0","0","0","1","26.9","26.9","86.0%"
"2","Raheem Mostert (MIA)","18","121","6.7","43","1","2","1","1","6","6.0","0","0","1","24.7","24.7","91.4%"
"3","D'Andre Swift (CHI)","28","175","6.3","43","1","1","3","3","6","2.0","0","0","1","24.1","24.1","94.0%"
"4","Kyren Williams (LAR)","14","52","3.7","8","0","1","6","10","48","8.0","1","0","1","22.0","22.0","96.3%"
"5","Saquon Barkley (PHI)","17","63","3.7","16","0","1","6","7","29","4.8","1","0","1","21.2","21.2","100.0%"
"6","Jerome Ford (CLE)","16","106","6.6","69","1","0","3","4","25","8.3","1","0","1","21.1","21.1","81.5%"
"7","Christian McCaffrey (SF)","20","116","5.8","51","1","1","3","3","19","6.3","0","0","1","19.5","19.5","100.0%"
"8","Kenneth Walker III (SEA)","17","43","2.5","14","0","2","1","2","11","11.0","0","0","1","17.4","17.4","97.1%"
"9","Bijan Robinson (ATL)","19","124","6.5","19","0","0","4","5","48","12.0","0","0","1","17.2","17.2","99.9%"
"10","Zack Moss (CIN)","18","88","4.9","11","0","1","4","4","19","4.8","0","0","1","16.7","16.7","75.0%"
"11","James Conner (ARI)","23","106","4.6","22","2","1","0","1","0","0","0","0","1","16.6","16.6","91.6%"
"12","Rachaad White (TB)","17","73","4.3","13","0","1","5","5","30","6.0","0","0","1","16.3","16.3","97.5%"
"13","James Cook (BUF)","17","123","7.2","36","1","0","4","4","36","9.0","0","0","1","15.9","15.9","97.8%"
"14","Derrick Henry (BAL)","25","80","3.2","23","1","1","3","4","15","5.0","0","0","1","15.5","15.5","99.4%"
"15","Tony Jones Jr. (ARI)","12","34","2.8","6","0","2","0","2","0","0","0","0","1","15.4","15.4","0.0%"
"16","Tony Pollard (TEN)","25","72","2.9","23","1","0","7","8","37","5.3","0","0","1","12.9","12.9","93.1%"
"17","Gus Edwards (LAC)","10","62","6.2","20","1","1","0","0","0","0","0","0","1","12.2","12.2","80.5%"
"18","Rhamondre Stevenson (NE)","15","50","3.3","12","0","1","3","3","10","3.3","0","0","1","12.0","12.0","85.2%"
"19","David Montgomery (DET)","16","67","4.2","16","0","1","1","1","7","7.0","0","1","1","11.4","11.4","93.4%"
"20","Joe Mixon (HOU)","13","59","4.5","14","0","0","4","5","36","9.0","0","0","1","9.5","9.5","99.0%"
"21","Damien Harris (FA)","7","33","4.7","11","0","1","0","0","0","0","0","0","1","9.3","9.3","4.6%"
"22","Latavius Murray (FA)","6","22","3.7","8","0","1","2","2","9","4.5","0","0","1","9.1","9.1","7.6%"
"23","Jaylen Warren (PIT)","6","20","3.3","8","0","0","4","6","66","16.5","0","0","1","8.6","8.6","84.7%"
"24","Isiah Pacheco (KC)","12","70","5.8","31","1","0","1","2","0","0.0","0","0","1","7.0","7.0","97.8%"
"25","Jaleel McLaughlin (DEN)","1","5","5.0","5","0","1","0","0","0","0","0","0","1","6.5","6.5","11.8%"
"26","Nick Chubb (CLE)","10","64","6.4","20","1","0","0","0","0","0","0","0","1","6.4","6.4","55.6%"
"27","AJ Dillon (GB)","15","55","3.7","8","0","0","1","1","8","8.0","0","0","1","6.3","6.3","34.7%"
"28","Pierre Strong Jr. (CLE)","2","1","0.5","1","0","1","0","1","0","0","0","0","1","6.1","6.1","0.6%"
"29","Khalil Herbert (CHI)","7","35","5.0","8","0","0","1","3","23","23.0","0","0","1","5.8","5.8","29.1%"
"30","Javonte Williams (DEN)","12","44","3.7","15","0","0","2","3","14","7.0","0","0","1","5.8","5.8","89.2%"
"31","Jahmyr Gibbs (DET)","7","17","2.4","8","0","0","7","9","39","5.6","0","0","1","5.6","5.6","99.3%"
"32","Tyjae Spears (TEN)","8","49","6.1","14","0","0","2","2","6","3.0","0","0","1","5.5","5.5","64.5%"
"33","Antonio Gibson (NE)","2","9","4.5","7","0","0","3","3","44","14.7","0","0","1","5.3","5.3","54.0%"
"34","Justice Hill (BAL)","11","41","3.7","11","0","0","3","3","12","4.0","0","0","1","5.3","5.3","10.1%"
"35","Chuba Hubbard (CAR)","2","16","8.0","14","0","0","5","5","34","6.8","0","0","1","5.0","5.0","49.0%"
"36","Josh Jacobs (GB)","9","-2","-0.2","3","0","0","5","6","51","10.2","0","0","1","4.9","4.9","97.2%"
"37","Tyler Allgeier (ATL)","16","48","3.0","10","0","0","0","0","0","0","0","0","1","4.8","4.8","51.9%"
"38","Miles Sanders (CAR)","14","43","3.1","13","0","0","3","5","4","1.3","0","0","1","4.7","4.7","22.3%"
"39","Rico Dowdle (DAL)","7","26","3.7","9","0","0","1","1","17","17.0","0","0","1","4.3","4.3","11.4%"
"40","Najee Harris (PIT)","10","43","4.3","21","1","0","1","3","0","0.0","0","0","1","4.3","4.3","91.3%"
"41","Roschon Johnson (CHI)","4","32","8.0","29","1","0","2","2","10","5.0","0","0","1","4.2","4.2","13.8%"
"42","Travis Etienne Jr. (JAC)","12","40","3.3","9","0","0","2","3","2","1.0","0","0","1","4.2","4.2","99.7%"
"43","Salvon Ahmed (MIA)","3","13","4.3","10","0","0","3","3","28","9.3","0","0","1","4.1","4.1","0.6%"
"44","Boston Scott (LAR)","5","40","8.0","18","0","0","0","0","0","0","0","0","1","4.0","4.0","0.1%"
"45","Joshua Kelley (FA)","13","39","3.0","15","0","0","0","1","0","0","0","0","1","3.9","3.9","6.6%"
"46","Dameon Pierce (HOU)","15","31","2.1","10","0","0","2","3","4","2.0","0","0","1","3.5","3.5","27.7%"
"47","Deuce Vaughn (DAL)","3","16","5.3","13","0","0","3","3","16","5.3","0","0","1","3.2","3.2","1.2%"
"48","Zach Charbonnet (SEA)","4","16","4.0","9","0","0","2","2","14","7.0","0","0","1","3.0","3.0","64.0%"
"49","Jamaal Williams (NO)","9","29","3.2","7","0","0","0","0","0","0","0","0","1","2.9","2.9","10.3%"
"50","Devin Singletary (NYG)","4","14","3.5","5","0","0","1","1","10","10.0","0","0","1","2.4","2.4","83.9%"
"51","Samaje Perine (DEN)","1","4","4.0","4","0","0","3","4","20","6.7","0","0","1","2.4","2.4","12.7%"
"52","Jerick McKinnon (FA)","1","-2","-2.0","0","0","0","3","3","24","8.0","0","0","1","2.2","2.2","16.1%"
"53","Elijah Dotson (LAC)","4","6","1.5","2","0","0","2","2","13","6.5","0","0","1","1.9","1.9","0.0%"
"54","Alexander Mattison (LV)","8","28","3.5","7","0","0","3","6","11","3.7","0","1","1","1.9","1.9","41.5%"
"55","D'Ernest Johnson (JAC)","1","8","8.0","8","0","0","1","1","9","9.0","0","0","1","1.7","1.7","2.7%"
"56","Clyde Edwards-Helaire (KC)","1","0","0.0","0","0","0","2","2","17","8.5","0","0","1","1.7","1.7","23.9%"
"57","Rashaad Penny (CAR)","3","9","3.0","6","0","0","1","1","5","5.0","0","0","1","1.4","1.4","4.1%"
"58","Ezekiel Elliott (DAL)","5","13","2.6","7","0","0","0","0","0","0","0","0","1","1.3","1.3","81.3%"
"59","Chase Edmonds (TB)","2","12","6.0","14","0","0","0","0","0","0","0","0","1","1.2","1.2","0.8%"
"60","Michael Carter (ARI)","2","8","4.0","6","0","0","1","2","3","3.0","0","0","1","1.1","1.1","1.3%"
"61","Ty Chandler (MIN)","1","0","0.0","0","0","0","2","2","9","4.5","0","0","1","0.9","0.9","57.4%"
"62","De'Von Achane (MIA)","1","5","5.0","5","0","0","1","1","4","4.0","0","0","1","0.9","0.9","95.8%"
"63","Breece Hall (NYJ)","4","9","2.3","9","0","0","0","2","0","0","0","0","1","0.9","0.9","98.9%"
"64","Sean Tucker (TB)","8","7","0.9","7","0","0","0","0","0","0","0","0","1","0.7","0.7","0.2%"
"65","Keaontay Ingram (KC)","2","6","3.0","5","0","0","0","0","0","0","0","0","1","0.6","0.6","1.1%"
