"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jordan Addison (MIN)","7","10","123","17.6","60","2","2","0","0","0","0","1","24.3","24.3","88.3%"
"2","A.J. Brown (PHI)","10","15","137","13.7","42","2","1","0","0","0","0","1","19.7","19.7","99.9%"
"3","Josh Downs (IND)","5","6","125","25.0","59","3","1","0","0","0","0","1","18.5","18.5","26.8%"
"4","Puka Nacua (LAR)","8","12","154","19.3","36","5","0","0","0","0","0","1","15.4","15.4","96.9%"
"5","Tyreek Hill (MIA)","11","15","88","8.0","27","1","1","0","0","0","0","1","14.8","14.8","100.0%"
"6","Marquez Valdes-Scantling (BUF)","3","5","84","28.0","46","2","1","0","0","0","0","1","14.4","14.4","1.2%"
"7","Michael Pittman Jr. (IND)","2","5","83","41.5","75","1","1","0","0","0","0","1","14.3","14.3","97.1%"
"8","Mike Evans (TB)","6","8","82","13.7","40","1","1","0","0","0","0","1","14.2","14.2","98.1%"
"9","Courtland Sutton (DEN)","6","6","76","12.7","33","1","1","0","0","0","0","1","13.6","13.6","83.0%"
"10","Joshua Palmer (LAC)","5","7","133","26.6","60","3","0","0","0","0","0","1","13.3","13.3","24.5%"
"11","Christian Kirk (JAC)","6","6","90","15.0","44","1","1","0","0","0","1","1","13.0","13.0","70.8%"
"12","Jaxon Smith-Njigba (SEA)","4","7","63","15.8","28","1","1","0","0","0","0","1","12.3","12.3","76.0%"
"13","Jake Bobo (SEA)","4","5","61","15.3","31","1","1","0","0","0","0","1","12.1","12.1","0.3%"
"14","Rashee Rice (KC)","5","6","60","12.0","37","1","1","0","0","0","0","1","12.0","12.0","88.9%"
"15","Stefon Diggs (HOU)","6","12","58","9.7","25","1","1","0","0","0","0","1","11.8","11.8","99.7%"
"16","Jakobi Meyers (LV)","7","13","50","7.1","15","0","1","0","0","0","0","1","11.0","11.0","73.3%"
"17","George Pickens (PIT)","5","8","107","21.4","31","3","0","0","0","0","0","1","10.7","10.7","87.2%"
"18","Kendrick Bourne (NE)","6","7","63","10.5","33","1","1","0","0","0","1","1","10.3","10.3","4.2%"
"19","Michael Thomas (FA)","3","7","42","14.0","17","0","1","0","0","0","0","1","10.2","10.2","17.0%"
"20","Amon-Ra St. Brown (DET)","13","19","102","7.8","15","0","0","0","0","0","0","1","10.2","10.2","100.0%"
"21","Tutu Atwell (LAR)","1","2","31","31.0","31","1","1","0","0","0","0","1","9.1","9.1","9.3%"
"22","Terry McLaurin (WAS)","6","9","90","15.0","31","2","0","0","0","0","0","1","9.0","9.0","90.3%"
"23","Romeo Doubs (GB)","2","5","30","15.0","16","0","1","0","0","0","0","1","9.0","9.0","44.3%"
"24","Jayden Reed (GB)","3","4","21","7.0","12","0","1","0","0","0","0","1","8.1","8.1","77.3%"
"25","Diontae Johnson (CAR)","5","6","79","15.8","39","1","0","0","0","0","0","1","7.9","7.9","83.2%"
"26","Zay Flowers (BAL)","4","6","75","18.8","46","2","0","0","0","0","0","1","7.5","7.5","91.9%"
"27","Jalin Hyatt (NYG)","2","5","75","37.5","42","2","0","0","0","0","0","1","7.5","7.5","3.4%"
"28","DeMario Douglas (NE)","4","6","54","13.5","19","0","0","1","20","0","0","1","7.4","7.4","23.0%"
"29","Nelson Agholor (BAL)","1","1","12","12.0","12","0","1","0","0","0","0","1","7.2","7.2","0.8%"
"30","Brandon Powell (MIN)","4","5","64","16.0","27","1","0","1","5","0","0","1","6.9","6.9","0.7%"
"31","Chris Godwin (TB)","6","12","66","11.0","33","1","0","0","0","0","0","1","6.6","6.6","90.3%"
"32","Jerry Jeudy (CLE)","5","5","64","12.8","18","0","0","0","0","0","0","1","6.4","6.4","63.3%"
"33","Jaylen Waddle (MIA)","6","6","63","10.5","16","0","0","0","0","0","0","1","6.3","6.3","96.3%"
"34","Elijah Moore (CLE)","4","7","59","14.8","30","1","0","0","0","0","0","1","5.9","5.9","23.1%"
"35","Chris Olave (NO)","7","15","57","8.1","14","0","0","0","0","0","0","1","5.7","5.7","98.8%"
"36","Davante Adams (LV)","7","12","57","8.1","15","0","0","0","0","0","0","1","5.7","5.7","99.9%"
"37","Brandon Aiyuk (SF)","5","6","57","11.4","25","1","0","0","0","0","0","1","5.7","5.7","98.2%"
"38","Keenan Allen (CHI)","4","9","55","13.8","26","1","0","0","0","0","0","1","5.5","5.5","91.0%"
"39","Drake London (ATL)","6","7","54","9.0","15","0","0","0","0","0","0","1","5.4","5.4","93.1%"
"40","Jauan Jennings (SF)","5","9","54","10.8","18","0","0","0","0","0","0","1","5.4","5.4","0.6%"
"41","DJ Moore (CHI)","8","9","54","6.8","15","0","0","0","0","0","0","1","5.4","5.4","97.6%"
"42","Alec Pierce (IND)","3","3","53","17.7","32","1","0","0","0","0","0","1","5.3","5.3","2.3%"
"43","Odell Beckham Jr. (MIA)","5","7","49","9.8","20","1","0","0","0","0","0","1","4.9","4.9","32.9%"
"44","DeVonta Smith (PHI)","4","5","49","12.3","25","1","0","0","0","0","0","1","4.9","4.9","98.0%"
"45","Cooper Kupp (LAR)","2","7","29","14.5","24","1","0","0","0","0","0","1","4.9","4.9","98.0%"
"46","Hollywood Brown (KC)","3","7","49","16.3","21","1","0","0","0","0","0","1","4.9","4.9","79.0%"
"47","Cedrick Wilson Jr. (NO)","2","3","48","24.0","29","1","0","0","0","0","0","1","4.8","4.8","1.1%"
