"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Travis Etienne Jr. (JAC)","26","136","5.2","35","2","2","4","5","48","12.0","0","0","1","32.4","32.4","99.7%"
"2","Zack Moss (CIN)","23","165","7.2","56","1","2","2","2","30","15.0","0","0","1","31.5","31.5","75.0%"
"3","Breece Hall (NYJ)","22","177","8.0","72","1","1","3","3","17","5.7","0","0","1","25.4","25.4","98.9%"
"4","De'Von Achane (MIA)","11","151","13.7","76","2","1","1","1","14","14.0","0","1","1","20.5","20.5","95.8%"
"5","David Montgomery (DET)","19","109","5.7","42","1","1","2","6","20","10.0","0","0","1","18.9","18.9","93.4%"
"6","Alvin Kamara (NO)","22","80","3.6","10","0","1","3","3","17","5.7","0","0","1","15.7","15.7","98.2%"
"7","Jaleel McLaughlin (DEN)","9","68","7.6","38","2","0","3","4","21","7.0","1","0","1","14.9","14.9","11.8%"
"8","Josh Jacobs (GB)","20","69","3.5","24","1","1","5","5","20","4.0","0","0","1","14.9","14.9","97.2%"
"9","Raheem Mostert (MIA)","10","65","6.5","23","1","1","2","2","13","6.5","0","0","1","13.8","13.8","91.4%"
"10","AJ Dillon (GB)","20","76","3.8","11","0","1","0","1","0","0","0","0","1","13.6","13.6","34.7%"
"11","Jordan Mason (SF)","10","69","6.9","26","1","1","0","1","0","0","0","0","1","12.9","12.9","2.2%"
"12","Tyjae Spears (TEN)","7","34","4.9","19","0","1","4","5","35","8.8","0","0","1","12.9","12.9","64.5%"
"13","Isiah Pacheco (KC)","16","55","3.4","11","0","1","1","1","9","9.0","0","0","1","12.4","12.4","97.8%"
"14","Christian McCaffrey (SF)","19","51","2.7","8","0","1","2","3","27","13.5","0","1","1","11.8","11.8","100.0%"
"15","Emari Demercado (ARI)","10","45","4.5","11","0","1","1","3","12","12.0","0","0","1","11.7","11.7","2.1%"
"16","Craig Reynolds (DET)","7","52","7.4","19","0","1","0","0","0","0","0","0","1","11.2","11.2","0.7%"
"17","D'Andre Swift (CHI)","17","70","4.1","17","0","0","6","6","38","6.3","0","0","1","10.8","10.8","94.0%"
"18","Alexander Mattison (LV)","8","26","3.3","7","0","0","2","3","20","10.0","1","0","1","10.6","10.6","41.5%"
"19","Bijan Robinson (ATL)","14","46","3.3","13","0","0","2","2","12","6.0","1","1","1","9.8","9.8","99.9%"
"20","Joe Mixon (HOU)","25","81","3.2","10","0","0","4","4","13","3.3","0","0","1","9.4","9.4","99.0%"
"21","Kendre Miller (NO)","12","37","3.1","8","0","0","4","4","53","13.3","0","0","1","9.0","9.0","16.7%"
"22","Kyle Juszczyk (SF)","0","0","0","0","0","0","4","4","26","6.5","1","0","1","8.6","8.6","0.8%"
"23","Justice Hill (BAL)","7","32","4.6","14","0","1","4","4","13","3.3","0","1","1","8.5","8.5","10.1%"
"24","Dameon Pierce (HOU)","20","66","3.3","15","0","0","1","1","16","16.0","0","0","1","8.2","8.2","27.7%"
"25","Jaylen Warren (PIT)","9","40","4.4","16","0","0","3","3","39","13.0","0","0","1","7.9","7.9","84.7%"
"26","Khalil Herbert (CHI)","10","76","7.6","34","1","0","0","3","0","0","0","0","1","7.6","7.6","29.1%"
"27","Samaje Perine (DEN)","6","22","3.7","8","0","0","4","5","73","18.3","0","1","1","7.5","7.5","12.7%"
"28","Antonio Gibson (NE)","0","0","0","0","0","0","4","6","64","16.0","0","0","1","6.4","6.4","54.0%"
"29","Derrick Henry (BAL)","13","43","3.3","8","0","0","3","3","19","6.3","0","0","1","6.2","6.2","99.4%"
"30","Tyler Allgeier (ATL)","17","40","2.4","12","0","0","0","1","0","0","0","0","1","6.0","6.0","51.9%"
"31","Kyren Williams (LAR)","13","53","4.1","11","0","0","2","2","4","2.0","0","0","1","5.7","5.7","96.3%"
"32","Gus Edwards (LAC)","12","48","4.0","11","0","0","0","0","0","0","0","0","1","4.8","4.8","80.5%"
"33","James Conner (ARI)","6","46","7.7","35","1","0","0","0","0","0","0","0","1","4.6","4.6","91.6%"
"34","Tony Pollard (TEN)","8","29","3.6","10","0","0","4","5","35","8.8","0","1","1","4.4","4.4","93.1%"
"35","Brian Robinson Jr. (WAS)","6","10","1.7","5","0","0","4","4","33","8.3","0","0","1","4.3","4.3","86.0%"
"36","Najee Harris (PIT)","14","37","2.6","8","0","0","1","1","3","3.0","0","0","1","4.0","4.0","91.3%"
"37","Ezekiel Elliott (DAL)","8","21","2.6","8","0","0","4","4","17","4.3","0","0","1","3.8","3.8","81.3%"
"38","Chuba Hubbard (CAR)","9","35","3.9","6","0","0","1","2","0","0.0","0","0","1","3.5","3.5","49.0%"
"39","Jonathan Taylor (IND)","6","18","3.0","5","0","0","1","1","16","16.0","0","0","1","3.4","3.4","98.8%"
"40","Keith Smith (FA)","0","0","0","0","0","0","1","1","28","28.0","0","0","1","2.8","2.8","0.0%"
"41","Eric Gray (NYG)","12","25","2.1","8","0","0","1","1","1","1.0","0","0","1","2.6","2.6","0.6%"
"42","Khari Blasingame (CHI)","8","26","3.3","6","0","0","0","0","0","0","0","0","1","2.6","2.6","0.1%"
"43","Jerick McKinnon (FA)","1","7","7.0","7","0","0","2","3","18","9.0","0","0","1","2.5","2.5","16.1%"
"44","Rhamondre Stevenson (NE)","8","24","3.0","8","0","0","0","2","0","0","0","0","1","2.4","2.4","85.2%"
"45","Kenneth Gainwell (PHI)","7","17","2.4","4","0","0","1","2","7","7.0","0","0","1","2.4","2.4","14.8%"
"46","Matt Breida (FA)","9","21","2.3","8","0","0","1","1","3","3.0","0","0","1","2.4","2.4","1.1%"
"47","Dalvin Cook (FA)","6","23","3.8","9","0","0","0","0","0","0","0","0","1","2.3","2.3","9.3%"
"48","Michael Carter (ARI)","1","8","8.0","8","0","0","3","3","14","4.7","0","0","1","2.2","2.2","1.3%"
"49","James Cook (BUF)","5","-4","-0.8","5","0","0","3","4","25","8.3","0","0","1","2.1","2.1","97.8%"
"50","Tyrion Davis-Price (PHI)","6","21","3.5","15","0","0","0","0","0","0","0","0","1","2.1","2.1","0.1%"
"51","Michael Burton (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","2.0","2.0","0.0%"
"52","Roschon Johnson (CHI)","3","19","6.3","10","0","0","0","0","0","0","0","0","1","1.9","1.9","13.8%"
"53","Cam Akers (HOU)","5","15","3.0","6","0","0","2","2","3","1.5","0","0","1","1.8","1.8","9.2%"
"54","Ameer Abdullah (LV)","1","4","4.0","4","0","0","1","1","11","11.0","0","0","1","1.5","1.5","0.7%"
"55","Rico Dowdle (DAL)","5","15","3.0","8","0","0","0","1","0","0","0","0","1","1.5","1.5","11.4%"
"56","Ty Chandler (MIN)","1","15","15.0","15","0","0","0","0","0","0","0","0","1","1.5","1.5","57.4%"
"57","Damien Harris (FA)","3","13","4.3","6","0","0","0","0","0","0","0","0","1","1.3","1.3","4.6%"
"58","Miles Sanders (CAR)","7","32","4.6","9","0","0","0","1","0","0","0","1","1","1.2","1.2","22.3%"
"59","Zonovan Knight (DET)","0","0","0","0","0","0","1","1","8","8.0","0","0","1","0.8","0.8","0.1%"
"60","Tank Bigsby (JAC)","3","8","2.7","7","0","0","0","0","0","0","0","0","1","0.8","0.8","3.8%"
"61","Deuce Vaughn (DAL)","3","7","2.3","4","0","0","1","1","1","1.0","0","0","1","0.8","0.8","1.2%"
"62","Latavius Murray (FA)","2","6","3.0","4","0","0","1","1","1","1.0","0","0","1","0.7","0.7","7.6%"
"63","Patrick Taylor Jr. (SF)","2","2","1.0","5","0","0","2","5","5","2.5","0","0","1","0.7","0.7","2.0%"
"64","Cordarrelle Patterson (PIT)","0","0","0","0","0","0","1","1","7","7.0","0","0","1","0.7","0.7","1.4%"
"65","Trayveon Williams (CIN)","1","5","5.0","5","0","0","0","0","0","0","0","0","1","0.5","0.5","0.3%"
"66","Ty Montgomery II (FA)","1","0","0.0","0","0","0","1","4","5","5.0","0","0","1","0.5","0.5","0.0%"
"67","Clyde Edwards-Helaire (KC)","3","4","1.3","2","0","0","0","0","0","0","0","0","1","0.4","0.4","23.9%"
"68","Chase Brown (CIN)","0","0","0","0","0","0","1","1","2","2.0","0","0","1","0.2","0.2","40.5%"
"69","Ronnie Rivers (LAR)","1","1","1.0","1","0","0","0","0","0","0","0","0","1","0.1","0.1","0.6%"
"70","Trey Sermon (IND)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.9%"
"71","Darrynton Evans (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"72","La'Mical Perine (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"73","J.K. Dobbins (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45.9%"
"74","Derrick Gore (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"75","D'Ernest Johnson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","2.7%"
"76","J.J. Taylor (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"77","Salvon Ahmed (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"78","DeeJay Dallas (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"79","Tony Jones Jr. (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","James Robinson (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"81","Mike Weber (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"82","Travis Homer (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"83","Alec Ingold (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"84","Ty Johnson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5%"
"85","Andrew Beck (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"86","Jacob Johnson (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
