"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jordan Addison (MIN)","6","6","111","18.5","37","2","2","0","0","0","0","1","23.1","23.1","88.3%"
"2","Jaylen Waddle (MIA)","8","9","142","17.8","60","2","1","0","0","0","0","1","20.2","20.2","96.3%"
"3","Terry McLaurin (WAS)","6","12","141","23.5","48","3","1","0","0","0","0","1","20.1","20.1","90.3%"
"4","Tee Higgins (CIN)","4","8","61","15.3","21","1","2","0","0","0","0","1","18.1","18.1","94.1%"
"5","Deebo Samuel Sr. (SF)","4","7","48","12.0","19","0","2","1","11","0","0","1","17.9","17.9","98.7%"
"6","Tre Tucker (LV)","3","4","59","19.7","30","2","2","1","-2","0","0","1","17.7","17.7","0.6%"
"7","Joshua Palmer (LAC)","4","4","113","28.3","79","2","1","0","0","0","0","1","17.3","17.3","24.5%"
"8","Amon-Ra St. Brown (DET)","7","9","112","16.0","29","3","1","0","0","0","0","1","17.2","17.2","100.0%"
"9","Cooper Kupp (LAR)","8","8","111","13.9","62","1","1","0","0","0","0","1","17.1","17.1","98.0%"
"10","Amari Cooper (CLE)","4","8","109","27.3","51","2","1","0","0","0","0","1","16.9","16.9","91.6%"
"11","Davante Adams (LV)","8","12","101","12.6","24","2","1","0","0","0","0","1","16.1","16.1","99.9%"
"12","Curtis Samuel (BUF)","5","9","41","8.2","19","0","2","0","0","0","0","1","16.1","16.1","51.0%"
"13","Chris Godwin (TB)","10","12","155","15.5","25","4","0","0","0","0","0","1","15.5","15.5","90.3%"
"14","Rashee Rice (KC)","9","9","91","10.1","24","2","1","0","0","0","0","1","15.1","15.1","88.9%"
"15","Noah Brown (HOU)","8","11","82","10.3","22","2","1","0","0","0","0","1","14.2","14.2","23.4%"
"16","Jakobi Meyers (LV)","2","4","32","16.0","22","1","1","0","0","0","0","1","13.7","13.7","73.3%"
"17","Jamal Agnew (FA)","2","2","70","35.0","65","1","1","0","0","0","0","1","13.0","13.0","1.0%"
"18","David Moore (CAR)","2","2","68","34.0","52","1","1","0","0","0","0","1","12.8","12.8","0.1%"
"19","Demarcus Robinson (LAR)","2","3","44","22.0","23","2","1","1","23","0","0","1","12.7","12.7","15.3%"
"20","Diontae Johnson (CAR)","4","6","62","15.5","25","1","1","0","0","0","0","1","12.2","12.2","83.2%"
"21","Mike Evans (TB)","4","6","57","14.3","19","0","1","0","0","0","0","1","11.7","11.7","98.1%"
