"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Brandon Aubrey (DAL)","4","4","100.0","60","0","0","0","1","3","3","3","1","22.0","22.0","96.9%"
"2","Greg Zuerlein (NYJ)","3","3","100.0","55","0","0","0","1","2","3","3","1","17.0","17.0","41.9%"
"3","Lucas Havrisik (FA)","3","3","100.0","51","0","1","1","0","1","2","2","1","13.0","13.0","2.1%"
"4","Justin Tucker (BAL)","3","3","100.0","47","0","0","2","1","0","2","2","1","12.0","12.0","98.8%"
"5","Chase McLaughlin (TB)","2","2","100.0","55","0","0","1","0","1","3","3","1","11.0","11.0","6.7%"
"6","Cairo Santos (CHI)","3","3","100.0","46","0","2","0","1","0","1","2","1","11.0","11.0","23.4%"
"7","Anders Carlson (GB)","3","4","75.0","48","0","0","2","1","0","1","1","1","11.0","11.0","2.0%"
"8","Evan McPherson (CIN)","2","2","100.0","35","0","0","2","0","0","4","4","1","10.0","10.0","83.1%"
"9","Jake Elliott (PHI)","2","2","100.0","52","0","0","0","1","1","1","1","1","10.0","10.0","93.7%"
"10","Dustin Hopkins (CLE)","1","1","100.0","55","0","0","0","0","1","4","4","1","9.0","9.0","30.3%"
"11","Jason Sanders (MIA)","2","3","66.7","31","0","1","1","0","0","3","3","1","9.0","9.0","46.2%"
"12","Tyler Bass (BUF)","2","2","100.0","39","0","0","2","0","0","2","2","1","8.0","8.0","47.3%"
"13","Nick Folk (TEN)","2","2","100.0","28","0","2","0","0","0","2","2","1","8.0","8.0","9.4%"
"14","Eddy Pineiro (CAR)","2","3","66.7","47","0","1","0","1","0","0","0","1","7.0","7.0","1.4%"
"15","Wil Lutz (DEN)","1","1","100.0","23","0","1","0","0","0","3","3","1","6.0","6.0","10.3%"
"16","Randy Bullock (FA)","1","2","50.0","37","0","0","1","0","0","3","3","1","6.0","6.0","0.0%"
"17","Chris Boswell (PIT)","1","1","100.0","56","0","0","0","0","1","1","1","1","6.0","6.0","17.1%"
"18","Younghoe Koo (ATL)","1","3","33.3","20","0","1","0","0","0","2","2","1","5.0","5.0","65.7%"
"19","Jason Myers (SEA)","1","1","100.0","40","0","0","0","1","0","1","1","1","5.0","5.0","31.7%"
"20","Harrison Butker (KC)","1","1","100.0","27","0","1","0","0","0","2","2","1","5.0","5.0","95.5%"
"21","Jake Moody (SF)","0","0","0","0","0","0","0","0","0","4","4","1","4.0","4.0","69.4%"
"22","Blake Grupe (NO)","0","1","0.0","0","0","0","0","0","0","4","4","1","4.0","4.0","3.8%"
"23","Chad Ryland (NE)","0","0","0","0","0","0","0","0","0","3","3","1","3.0","3.0","0.4%"
"24","Brandon McManus (FA)","0","0","0","0","0","0","0","0","0","3","3","1","3.0","3.0","18.2%"
"25","Greg Joseph (GB)","1","2","50.0","36","0","0","1","0","0","0","0","1","3.0","3.0","3.7%"
"26","Cameron Dicker (LAC)","0","0","0","0","0","0","0","0","0","1","1","1","1.0","1.0","45.5%"
"27","Riley Patterson (JAC)","0","0","0","0","0","0","0","0","0","1","2","1","1.0","1.0","13.1%"
"28","Ramiz Ahmed (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"29","Matt Ammendola (FA)","0","0","0","0","0","0","0","0","0","0","1","1","0.0","0.0","2.0%"
"30","Matthew Wright (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"31","Daniel Carlson (LV)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","24.2%"
"32","Michael Badgley (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.1%"
"33","Austin Seibert (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"34","Joey Slye (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"35","Matt Gay (IND)","0","1","0.0","0","0","0","0","0","0","0","1","1","0.0","0.0","35.5%"
"36","Tanner Brown (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"37","John Parker Romo (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"38","Jude McAtamney (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"39","Spencer Shrader (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"40","James Turner (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"41","Harrison Mevis (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"42","Jack Browning (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"43","Brayden Narveson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"44","Joshua Karty (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"45","Cam Little (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"46","Charlie Smyth (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"47","Will Reichard (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9%"
"48","Jake Bates (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.4%"
"49","Cade York (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"50","Piotr Czech (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"51","Steven Weatherford (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"52","Ricky Schmit (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"53","Zac Derr (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"54","Parker Douglass (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"55","Jason Reda (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"56","Graham Gano (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"57","Garrett Rivas (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"58","Carlos Martinez (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"59","Andrew Wellock (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"60","Matt Prater (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7%"
"61","Mark Hickok (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"62","MacKenzie Hoambrecker (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","Ka'imi Fairbairn (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48.8%"
"64","Andrew Jacas (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"65","Garrett Lindholm (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"66","Connor Hughes (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"67","Kai Forbath (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.0%"
"68","Saverio Rocca (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
""
""
