"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","George Kittle (SF)","3","4","67","22.3","38","1","3","0","0","0","0","1","24.7","24.7","97.5%"
"2","Dallas Goedert (PHI)","8","9","117","14.6","49","1","1","0","0","0","0","1","17.7","17.7","89.3%"
"3","Sam LaPorta (DET)","3","4","47","15.7","31","1","2","0","0","0","0","1","16.7","16.7","98.9%"
"4","Travis Kelce (KC)","10","11","67","6.7","14","0","1","0","0","0","0","1","12.7","12.7","99.9%"
"5","Dalton Schultz (HOU)","7","10","65","9.3","18","0","1","0","0","0","0","1","12.5","12.5","75.6%"
"6","Logan Thomas (SF)","9","11","77","8.6","24","1","1","0","0","0","1","1","11.7","11.7","19.2%"
"7","Cole Kmet (CHI)","5","5","42","8.4","23","1","1","0","0","0","0","1","10.2","10.2","69.8%"
"8","Kyle Pitts (ATL)","7","11","87","12.4","20","1","0","0","0","0","0","1","8.7","8.7","88.3%"
"9","Darren Waller (FA)","8","11","86","10.8","21","1","0","0","0","0","0","1","8.6","8.6","45.4%"
"10","Adam Trautman (DEN)","4","5","26","6.5","12","0","1","0","0","0","0","1","8.6","8.6","0.2%"
"11","Zach Ertz (WAS)","2","4","10","5.0","6","0","1","0","0","0","0","1","7.0","7.0","3.4%"
"12","Tyler Conklin (NYJ)","4","5","67","16.8","37","1","0","0","0","0","0","1","6.7","6.7","16.7%"
"13","Foster Moreau (NO)","1","1","6","6.0","6","0","1","0","0","0","0","1","6.6","6.6","0.1%"
"14","Mark Andrews (BAL)","6","10","65","10.8","16","0","0","0","0","0","0","1","6.5","6.5","73.3%"
"15","Tommy Tremble (CAR)","1","1","1","1.0","1","0","1","0","0","0","0","1","6.1","6.1","0.3%"
"16","T.J. Hockenson (MIN)","5","8","51","10.2","19","0","0","0","0","0","0","1","5.1","5.1","81.1%"
"17","Jonnu Smith (MIA)","6","7","67","11.2","22","1","0","0","0","0","1","1","4.7","4.7","8.0%"
"18","Michael Mayer (LV)","2","3","39","19.5","20","1","0","0","0","0","0","1","3.9","3.9","4.4%"
"19","Luke Musgrave (GB)","6","7","34","5.7","8","0","0","0","0","0","0","1","3.4","3.4","8.1%"
"20","Chigoziem Okonkwo (TEN)","5","9","33","6.6","11","0","0","0","0","0","0","1","3.3","3.3","23.7%"
"21","Jake Ferguson (DAL)","3","3","28","9.3","20","1","0","0","0","0","0","1","2.8","2.8","89.5%"
"22","Evan Engram (JAC)","4","8","28","7.0","9","0","0","0","0","0","0","1","2.8","2.8","96.4%"
"23","Ian Thomas (CAR)","1","2","28","28.0","28","1","0","0","0","0","0","1","2.8","2.8","0.1%"
"24","Connor Heyward (PIT)","3","4","23","7.7","12","0","0","0","0","0","0","1","2.3","2.3","0.2%"
