"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"55","Jordan Travis (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"56","Dresser Winn (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"57","Chris Oladokun (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"58","Devin Leary (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"59","Jake Haener (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"60","Tanner McKee (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"61","Rocky Lombardi (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"62","John Rhys Plumlee (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","Casey Bauman (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"64","Zack Annexstad (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"65","John Paddock (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"66","Jack Plummer (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"67","Andrew Peasley (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"68","Jason Bean (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"69","Joe Milton III (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"70","Carter Bradley (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"71","Austin Reed (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"72","Max Duggan (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"73","Caleb Williams (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","81.5%"
"74","Kedon Slovis (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"75","Spencer Rattler (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"76","Michael Penix Jr. (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5%"
"77","Malik Cunningham (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"78","J.J. McCarthy (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.8%"
"79","Adrian Martinez (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","Drake Maye (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.1%"
"81","Sam Hartman (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"82","Hendon Hooker (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"83","Anthony Richardson (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","58.9%"
