"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","De'Von Achane (MIA)","18","203","11.3","67","3","2","4","4","30","7.5","2","0","1","47.3","47.3","95.8%"
"2","Raheem Mostert (MIA)","13","82","6.3","20","1","3","7","7","60","8.6","1","0","1","38.2","38.2","91.4%"
"3","Kenneth Walker III (SEA)","18","97","5.4","36","1","2","3","3","59","19.7","0","0","1","27.6","27.6","97.1%"
"4","Zack Moss (CIN)","30","122","4.1","24","2","0","2","3","23","11.5","1","0","1","20.5","20.5","75.0%"
"5","Christian McCaffrey (SF)","18","85","4.7","12","0","1","5","5","34","6.8","0","0","1","17.9","17.9","100.0%"
"6","James Conner (ARI)","14","98","7.0","26","2","1","2","2","18","9.0","0","0","1","17.6","17.6","91.6%"
"7","Jerome Ford (CLE)","10","18","1.8","9","0","1","2","3","33","16.5","1","0","1","17.1","17.1","81.5%"
"8","Jerick McKinnon (FA)","2","9","4.5","10","0","0","3","3","19","6.3","2","0","1","14.8","14.8","16.1%"
"9","Isiah Pacheco (KC)","15","62","4.1","18","0","1","2","3","16","8.0","0","0","1","13.8","13.8","97.8%"
"10","Travis Etienne Jr. (JAC)","19","88","4.6","16","0","0","4","5","50","12.5","0","0","1","13.8","13.8","99.7%"
"11","D'Andre Swift (CHI)","16","130","8.1","29","2","0","1","2","8","8.0","0","0","1","13.8","13.8","94.0%"
"12","Joe Mixon (HOU)","19","65","3.4","14","0","1","1","2","5","5.0","0","0","1","13.0","13.0","99.0%"
"13","Alexander Mattison (LV)","20","93","4.7","15","0","0","5","7","32","6.4","0","0","1","12.5","12.5","41.5%"
"14","Miles Sanders (CAR)","9","24","2.7","15","0","1","5","9","38","7.6","0","0","1","12.2","12.2","22.3%"
"15","Tony Pollard (TEN)","23","122","5.3","31","1","0","3","3","-1","-0.3","0","0","1","12.1","12.1","93.1%"
"16","Dameon Pierce (HOU)","14","31","2.2","10","0","1","3","3","28","9.3","0","0","1","11.9","11.9","27.7%"
"17","Clyde Edwards-Helaire (KC)","15","55","3.7","16","0","1","1","1","2","2.0","0","0","1","11.7","11.7","23.9%"
"18","James Cook (BUF)","15","98","6.5","34","1","0","2","3","14","7.0","0","0","1","11.2","11.2","97.8%"
"19","Rico Dowdle (DAL)","4","21","5.3","10","0","0","3","3","25","8.3","1","0","1","10.6","10.6","11.4%"
"20","Ezekiel Elliott (DAL)","16","80","5.0","14","0","0","1","1","7","7.0","0","0","1","8.7","8.7","81.3%"
"21","Jahmyr Gibbs (DET)","17","80","4.7","21","1","0","1","2","2","2.0","0","0","1","8.2","8.2","99.3%"
"22","Latavius Murray (FA)","5","15","3.0","7","0","1","1","1","6","6.0","0","0","1","8.1","8.1","7.6%"
"23","Josh Jacobs (GB)","17","62","3.6","10","0","0","3","5","18","6.0","0","0","1","8.0","8.0","97.2%"
"24","Matt Breida (FA)","4","17","4.3","8","0","1","3","3","1","0.3","0","0","1","7.8","7.8","1.1%"
"25","Tank Bigsby (JAC)","2","10","5.0","9","0","1","0","1","0","0","0","0","1","7.0","7.0","3.8%"
"26","Brian Robinson Jr. (WAS)","10","70","7.0","23","1","0","0","0","0","0","0","0","1","7.0","7.0","86.0%"
"27","Chris Brooks (MIA)","9","66","7.3","52","1","0","0","0","0","0","0","0","1","6.6","6.6","0.0%"
"28","Najee Harris (PIT)","19","65","3.4","17","0","0","0","1","0","0","0","0","1","6.5","6.5","91.3%"
"29","Kyren Williams (LAR)","10","38","3.8","9","0","0","2","7","27","13.5","0","0","1","6.5","6.5","96.3%"
"30","Javonte Williams (DEN)","11","42","3.8","16","0","0","2","3","23","11.5","0","0","1","6.5","6.5","89.2%"
"31","Rhamondre Stevenson (NE)","19","59","3.1","10","0","0","1","4","3","3.0","0","0","1","6.2","6.2","85.2%"
"32","Nick Bawden (NYJ)","1","1","1.0","1","0","1","0","0","0","0","0","0","1","6.1","6.1","0.0%"
"33","Bijan Robinson (ATL)","10","33","3.3","11","0","0","4","6","27","6.8","0","0","1","6.0","6.0","99.9%"
"34","Melvin Gordon III (FA)","10","32","3.2","15","0","0","2","2","23","11.5","0","0","1","5.5","5.5","0.0%"
"35","Jaylen Warren (PIT)","8","29","3.6","11","0","0","3","4","23","7.7","0","0","1","5.2","5.2","84.7%"
"36","Tony Jones Jr. (ARI)","8","31","3.9","19","0","0","4","4","21","5.3","0","0","1","5.2","5.2","0.0%"
"37","Gus Edwards (LAC)","11","51","4.6","14","0","0","0","0","0","0","0","0","1","5.1","5.1","80.5%"
"38","Roschon Johnson (CHI)","8","38","4.8","11","0","0","2","2","11","5.5","0","0","1","4.9","4.9","13.8%"
"39","Kenneth Gainwell (PHI)","14","43","3.1","8","0","0","1","2","5","5.0","0","0","1","4.8","4.8","14.8%"
"40","Devin Singletary (NYG)","9","41","4.6","14","0","0","2","2","4","2.0","0","0","1","4.5","4.5","83.9%"
"41","Zach Charbonnet (SEA)","9","46","5.1","12","0","0","1","2","-1","-1.0","0","0","1","4.5","4.5","64.0%"
"42","Elijah Mitchell (SF)","11","42","3.8","18","0","0","3","3","2","0.7","0","0","1","4.4","4.4","9.0%"
"43","Rachaad White (TB)","14","38","2.7","12","0","0","3","3","24","8.0","0","1","1","4.2","4.2","97.5%"
"44","Gary Brightwell (FA)","4","5","1.3","2","0","0","2","3","31","15.5","0","0","1","3.6","3.6","0.1%"
"45","Kareem Hunt (FA)","5","13","2.6","5","0","0","2","3","22","11.0","0","0","1","3.5","3.5","27.2%"
"46","Kendre Miller (NO)","9","34","3.8","10","0","0","1","1","0","0.0","0","0","1","3.4","3.4","16.7%"
"47","AJ Dillon (GB)","11","33","3.0","14","0","0","0","0","0","0","0","0","1","3.3","3.3","34.7%"
"48","Ty Chandler (MIN)","3","27","9.0","12","0","0","1","2","4","4.0","0","0","1","3.1","3.1","57.4%"
