"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Mike Evans (TB)","6","9","70","11.7","23","1","2","0","0","0","0","1","19.0","19.0","98.1%"
"2","Zay Flowers (BAL)","5","8","25","5.0","18","0","1","1","37","1","0","1","18.2","18.2","91.9%"
"3","Calvin Ridley (TEN)","5","6","89","17.8","45","1","1","0","0","0","0","1","16.9","16.9","95.0%"
"4","Rashee Rice (KC)","8","10","107","13.4","39","1","1","0","0","0","0","1","16.7","16.7","88.9%"
"5","DeVonta Smith (PHI)","7","8","106","15.1","33","1","1","0","0","0","0","1","16.6","16.6","98.0%"
"6","Gabe Davis (JAC)","6","12","105","17.5","25","2","1","0","0","0","0","1","16.5","16.5","53.0%"
"7","Nico Collins (HOU)","7","9","104","14.9","24","2","1","0","0","0","0","1","16.4","16.4","95.6%"
"8","Tyreek Hill (MIA)","9","12","102","11.3","35","1","1","1","2","0","0","1","16.4","16.4","100.0%"
"9","Deebo Samuel Sr. (SF)","7","9","79","11.3","24","2","0","4","15","1","0","1","15.4","15.4","98.7%"
"10","Christian Watson (GB)","5","7","94","18.8","53","1","1","0","0","0","0","1","15.4","15.4","74.8%"
"11","Jakobi Meyers (LV)","6","7","79","13.2","33","1","1","1","2","0","0","1","14.1","14.1","73.3%"
"12","Stefon Diggs (HOU)","6","11","74","12.3","22","1","1","0","0","0","0","1","13.4","13.4","99.7%"
"13","CeeDee Lamb (DAL)","4","9","53","13.3","16","0","1","1","0","0","0","1","13.3","13.3","100.0%"
"14","Brandin Cooks (DAL)","4","5","72","18.0","31","2","1","0","0","0","0","1","13.2","13.2","43.6%"
"15","Tank Dell (HOU)","5","8","50","10.0","17","0","1","1","12","0","0","1","12.2","12.2","60.3%"
"16","DJ Moore (CHI)","11","13","114","10.4","36","2","0","0","0","0","0","1","11.4","11.4","97.6%"
"17","Chris Olave (NO)","7","9","114","16.3","51","2","0","0","0","0","0","1","11.4","11.4","98.8%"
"18","Jaylen Waddle (MIA)","8","8","114","14.3","32","2","0","0","0","0","0","1","11.4","11.4","96.3%"
"19","Jayden Reed (GB)","4","8","34","8.5","14","0","1","2","16","0","0","1","11.0","11.0","77.3%"
