"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"1","Ifeatu Melifonwu (DET)","5","3","1","2","0","1","0","0","1","23.3","23.3","5.2%"
"2","Charvarius Ward (SF)","2","1","0","2","2","0","0","1","1","22.8","22.8","29.5%"
"3","Julian Love (SEA)","5","3","0","2","2","0","0","0","1","22.8","22.8","32.4%"
"4","Desmond King II (HOU)","6","5","1","0","0","0","0","0","1","21.8","21.8","12.0%"
"5","L'Jarius Sneed (TEN)","8","1","0","2","0","0","0","0","1","20.8","20.8","46.8%"
"6","Brandon Jones (DEN)","5","0","0","2","2","0","0","0","1","20.5","20.5","15.8%"
"7","Rayshawn Jenkins (SEA)","4","2","1","1","1","0","0","0","1","20.5","20.5","23.9%"
"8","Jack Jones (LV)","4","1","0","1","1","0","0","1","1","19.3","19.3","2.9%"
"9","Elijah Molden (TEN)","3","0","0","2","1","0","0","1","1","18.5","18.5","3.1%"
"10","Kendall Fuller (MIA)","5","6","0","0","0","0","1","0","1","18.5","18.5","6.0%"
"11","Jason Pinnock (NYG)","7","1","1","0","0","0","0","0","1","17.8","17.8","14.8%"
"12","Antoine Winfield Jr. (TB)","8","2","0","0","0","1","0","0","1","17.5","17.5","70.6%"
"13","Deommodore Lenoir (SF)","8","1","0","1","0","0","0","0","1","16.8","16.8","13.0%"
"14","Quan Martin (WAS)","7","3","1","0","0","0","0","0","1","16.8","16.8","2.1%"
"15","Andrew Wingard (JAC)","10","1","0","0","0","0","0","0","1","15.8","15.8","1.4%"
"16","Xavier Woods (CAR)","2","1","0","1","1","0","0","0","1","15.3","15.3","9.2%"
"17","Fabian Moreau (FA)","7","1","0","1","0","0","0","0","1","15.3","15.3","0.0%"
"18","Mike Hilton (CIN)","3","0","0","2","1","0","0","0","1","15.0","15.0","10.3%"
"19","Byron Murphy Jr. (MIN)","5","1","0","0","0","1","0","0","1","14.8","14.8","6.4%"
"20","Tyrique Stevenson (CHI)","4","1","0","2","1","0","0","0","1","14.8","14.8","12.0%"
"21","Roger McCreary (TEN)","7","0","0","1","0","0","0","0","1","14.5","14.5","20.1%"
"22","D'Anthony Bell (CLE)","3","1","0","1","1","0","0","0","1","14.3","14.3","0.0%"
