"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Greg Zuerlein (NYJ)","5","5","100.0","49","0","3","1","1","0","2","2","1","18.0","18.0","41.9%"
"2","Cairo Santos (CHI)","4","4","100.0","43","0","1","2","1","0","4","4","1","17.0","17.0","23.4%"
"3","Ka'imi Fairbairn (HOU)","4","4","100.0","43","0","1","1","2","0","1","1","1","15.0","15.0","48.8%"
"4","Blake Grupe (NO)","2","2","100.0","54","0","0","0","0","2","4","4","1","14.0","14.0","3.8%"
"5","Graham Gano (NYG)","3","4","75.0","51","0","0","1","1","1","1","1","1","13.0","13.0","1.3%"
"6","Nick Folk (TEN)","3","3","100.0","53","0","1","1","0","1","1","1","1","12.0","12.0","9.4%"
"7","Matt Gay (IND)","3","3","100.0","43","0","1","1","1","0","2","2","1","12.0","12.0","35.5%"
"8","Evan McPherson (CIN)","2","2","100.0","40","0","0","0","2","0","4","4","1","12.0","12.0","83.1%"
"9","Chris Boswell (PIT)","3","3","100.0","43","0","1","0","2","0","0","0","1","11.0","11.0","17.1%"
"10","Jake Elliott (PHI)","3","3","100.0","34","0","2","1","0","0","2","2","1","11.0","11.0","93.7%"
"11","Harrison Butker (KC)","2","2","100.0","40","0","0","1","1","0","3","3","1","10.0","10.0","95.5%"
"12","Greg Joseph (GB)","2","2","100.0","40","0","1","0","1","0","2","2","1","9.0","9.0","3.7%"
"13","Jason Sanders (MIA)","1","1","100.0","40","0","0","0","1","0","4","4","1","8.0","8.0","46.2%"
"14","Joey Slye (NE)","2","3","66.7","51","0","0","1","0","1","0","0","1","8.0","8.0","0.6%"
"15","Anders Carlson (GB)","2","2","100.0","37","0","1","1","0","0","1","1","1","7.0","7.0","2.0%"
"16","Wil Lutz (DEN)","2","2","100.0","23","0","2","0","0","0","1","1","1","7.0","7.0","10.3%"
"17","Younghoe Koo (ATL)","2","2","100.0","37","0","0","2","0","0","1","1","1","7.0","7.0","65.7%"
"18","Eddy Pineiro (CAR)","1","1","100.0","33","0","0","1","0","0","3","3","1","6.0","6.0","1.4%"
"19","Jake Moody (SF)","0","0","0","0","0","0","0","0","0","6","6","1","6.0","6.0","69.4%"
"20","Brandon McManus (FA)","1","1","100.0","44","0","0","0","1","0","2","2","1","6.0","6.0","18.2%"
"21","Riley Patterson (JAC)","0","0","0","0","0","0","0","0","0","6","6","1","6.0","6.0","13.1%"
"22","Brandon Aubrey (DAL)","1","1","100.0","50","0","0","0","0","1","1","1","1","6.0","6.0","96.9%"
"23","Daniel Carlson (LV)","1","3","33.3","26","0","1","0","0","0","2","2","1","5.0","5.0","24.2%"
"24","Justin Tucker (BAL)","1","1","100.0","23","0","1","0","0","0","1","1","1","4.0","4.0","98.8%"
"25","Brett Maher (FA)","0","0","0","0","0","0","0","0","0","2","2","1","2.0","2.0","0.6%"
"26","Tyler Bass (BUF)","0","0","0","0","0","0","0","0","0","2","2","1","2.0","2.0","47.3%"
"27","Matt Prater (ARI)","0","0","0","0","0","0","0","0","0","2","3","1","2.0","2.0","1.7%"
"28","Ramiz Ahmed (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"29","Matthew Wright (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"30","Michael Badgley (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.1%"
"31","Austin Seibert (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"32","Chase McLaughlin (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.7%"
"33","Tanner Brown (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"34","Chad Ryland (NE)","0","1","0.0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.4%"
"35","John Parker Romo (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"36","Jude McAtamney (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"37","Spencer Shrader (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"38","James Turner (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"39","Harrison Mevis (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"40","Jack Browning (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"41","Brayden Narveson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"42","Joshua Karty (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"43","Cam Little (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"44","Charlie Smyth (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"45","Will Reichard (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9%"
"46","Jake Bates (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.4%"
"47","Cade York (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"48","Cameron Dicker (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45.5%"
"49","Steven Weatherford (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
