"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jahmyr Gibbs (DET)","14","77","5.5","35","1","2","3","5","35","11.7","0","0","1","23.2","23.2","99.3%"
"2","Devin Singletary (NYG)","30","150","5.0","22","1","1","1","2","11","11.0","0","0","1","22.1","22.1","83.9%"
"3","Brian Robinson Jr. (WAS)","8","38","4.8","15","0","0","6","6","119","19.8","1","0","1","21.7","21.7","86.0%"
"4","Kenneth Walker III (SEA)","19","63","3.3","13","0","0","1","2","64","64.0","1","0","1","18.7","18.7","97.1%"
"5","David Montgomery (DET)","12","116","9.7","75","1","1","0","0","0","0","0","0","1","17.6","17.6","93.4%"
"6","Austin Ekeler (WAS)","19","67","3.5","17","0","1","4","7","48","12.0","0","0","1","17.5","17.5","92.9%"
"7","Javonte Williams (DEN)","21","79","3.8","11","0","0","4","4","31","7.8","1","0","1","17.0","17.0","89.2%"
"8","Jaylen Warren (PIT)","15","101","6.7","20","1","1","2","4","9","4.5","0","0","1","17.0","17.0","84.7%"
"9","Bijan Robinson (ATL)","22","95","4.3","17","0","1","1","2","11","11.0","0","0","1","16.6","16.6","99.9%"
"10","Rachaad White (TB)","20","51","2.6","11","0","0","2","3","47","23.5","1","0","1","15.8","15.8","97.5%"
"11","Najee Harris (PIT)","16","82","5.1","24","1","1","3","4","14","4.7","0","0","1","15.6","15.6","91.3%"
"12","D'Onta Foreman (CLE)","21","80","3.8","11","0","1","2","2","12","6.0","0","0","1","15.2","15.2","19.5%"
"13","Christian McCaffrey (SF)","16","95","5.9","19","0","0","6","10","47","7.8","0","0","1","14.2","14.2","100.0%"
"14","Rico Dowdle (DAL)","12","79","6.6","21","1","1","0","0","0","0","0","0","1","13.9","13.9","11.4%"
"15","Jonathan Taylor (IND)","23","69","3.0","10","0","1","1","1","6","6.0","0","0","1","13.5","13.5","98.8%"
"16","Latavius Murray (FA)","9","68","7.6","21","1","1","2","3","1","0.5","0","0","1","12.9","12.9","7.6%"
"17","Keaton Mitchell (BAL)","3","34","11.3","39","1","1","1","2","32","32.0","0","0","1","12.6","12.6","17.1%"
"18","Antonio Gibson (NE)","4","13","3.3","6","0","0","5","6","42","8.4","1","0","1","11.5","11.5","54.0%"
"19","Alvin Kamara (NO)","9","42","4.7","9","0","0","7","7","33","4.7","0","0","1","11.5","11.5","98.2%"
"20","Jerome Ford (CLE)","17","107","6.3","28","1","0","1","1","2","2.0","0","0","1","10.9","10.9","81.5%"
"21","Josh Jacobs (GB)","27","116","4.3","40","1","0","2","2","11","5.5","0","1","1","10.7","10.7","97.2%"
"22","Ty Chandler (MIN)","15","45","3.0","13","0","1","0","0","0","0","0","0","1","10.5","10.5","57.4%"
"23","Joe Mixon (HOU)","11","46","4.2","15","0","1","2","3","-1","-0.5","0","0","1","10.5","10.5","99.0%"
"24","Rhamondre Stevenson (NE)","20","88","4.4","10","0","0","3","5","14","4.7","0","0","1","10.2","10.2","85.2%"
"25","James Cook (BUF)","12","109","9.1","42","1","0","2","2","11","5.5","0","1","1","10.0","10.0","97.8%"
"26","Kareem Hunt (FA)","10","32","3.2","13","0","1","0","0","0","0","0","0","1","9.2","9.2","27.2%"
"27","Gus Edwards (LAC)","11","24","2.2","6","0","1","1","1","4","4.0","0","0","1","8.8","8.8","80.5%"
"28","Ezekiel Elliott (DAL)","13","54","4.2","9","0","0","2","2","34","17.0","0","0","1","8.8","8.8","81.3%"
"29","Kyle Juszczyk (SF)","0","0","0","0","0","0","2","3","26","13.0","1","0","1","8.6","8.6","0.8%"
"30","AJ Dillon (GB)","9","70","7.8","40","1","0","1","3","11","11.0","0","0","1","8.1","8.1","34.7%"
"31","Breece Hall (NYJ)","13","28","2.2","7","0","0","3","3","47","15.7","0","0","1","7.5","7.5","98.9%"
"32","James Conner (ARI)","16","73","4.6","11","0","0","0","0","0","0","0","0","1","7.3","7.3","91.6%"
"33","Zach Charbonnet (SEA)","6","44","7.3","12","0","0","4","5","18","4.5","0","0","1","6.2","6.2","64.0%"
"34","Saquon Barkley (PHI)","13","66","5.1","21","1","0","1","3","-5","-5.0","0","0","1","6.1","6.1","100.0%"
"35","Tyjae Spears (TEN)","5","18","3.6","15","0","0","4","5","42","10.5","0","0","1","6.0","6.0","64.5%"
"36","Tony Pollard (TEN)","15","55","3.7","15","0","0","0","0","0","0","0","0","1","5.5","5.5","93.1%"
"37","Aaron Jones (MIN)","13","35","2.7","9","0","0","4","6","19","4.8","0","0","1","5.4","5.4","93.9%"
"38","Travis Etienne Jr. (JAC)","9","35","3.9","16","0","0","2","4","9","4.5","0","0","1","4.4","4.4","99.7%"
"39","Samaje Perine (DEN)","1","8","8.0","8","0","0","3","3","35","11.7","0","0","1","4.3","4.3","12.7%"
"40","D'Ernest Johnson (JAC)","3","12","4.0","5","0","0","2","2","28","14.0","0","0","1","4.0","4.0","2.7%"
"41","Chuba Hubbard (CAR)","9","23","2.6","9","0","0","2","2","16","8.0","0","0","1","3.9","3.9","49.0%"
"42","Tyler Allgeier (ATL)","9","31","3.4","8","0","0","1","1","7","7.0","0","0","1","3.8","3.8","51.9%"
"43","Alexander Mattison (LV)","8","27","3.4","9","0","0","1","2","6","6.0","0","0","1","3.3","3.3","41.5%"
"44","Roschon Johnson (CHI)","5","18","3.6","6","0","0","4","6","14","3.5","0","0","1","3.2","3.2","13.8%"
"45","Dalvin Cook (FA)","4","26","6.5","10","0","0","0","1","0","0","0","0","1","2.6","2.6","9.3%"
"46","Elijah Mitchell (SF)","8","23","2.9","8","0","0","0","0","0","0","0","0","1","2.3","2.3","9.0%"
"47","Cordarrelle Patterson (PIT)","3","13","4.3","6","0","0","2","2","7","3.5","0","0","1","2.0","2.0","1.4%"
"48","Derrick Henry (BAL)","11","24","2.2","8","0","0","1","1","-4","-4.0","0","0","1","2.0","2.0","99.4%"
"49","Joshua Kelley (FA)","5","16","3.2","4","0","0","0","0","0","0","0","0","1","1.6","1.6","6.6%"
"50","Raheem Blackshear (CAR)","2","7","3.5","4","0","0","1","1","6","6.0","0","0","1","1.3","1.3","0.1%"
"51","Jashaun Corbin (NYG)","1","1","1.0","1","0","0","3","3","12","4.0","0","0","1","1.3","1.3","0.0%"
"52","Tony Jones Jr. (ARI)","1","13","13.0","13","0","0","0","0","0","0","0","0","1","1.3","1.3","0.0%"
"53","Jaleel McLaughlin (DEN)","6","8","1.3","5","0","0","2","2","4","2.0","0","0","1","1.2","1.2","11.8%"
"54","Jamaal Williams (NO)","4","7","1.8","3","0","0","1","1","3","3.0","0","0","1","1.0","1.0","10.3%"
"55","Miles Sanders (CAR)","2","-5","-2.5","1","0","0","2","2","15","7.5","0","0","1","1.0","1.0","22.3%"
"56","Kene Nwangwu (MIN)","2","9","4.5","8","0","0","0","0","0","0","0","0","1","0.9","0.9","0.2%"
"57","Deuce Vaughn (DAL)","1","-2","-2.0","0","0","0","1","1","11","11.0","0","0","1","0.9","0.9","1.2%"
"58","Chase Edmonds (TB)","4","9","2.3","9","0","0","1","1","-2","-2.0","0","0","1","0.7","0.7","0.8%"
"59","Justice Hill (BAL)","2","7","3.5","4","0","0","0","0","0","0","0","0","1","0.7","0.7","10.1%"
"60","Mike Boone (CAR)","0","0","0","0","0","0","2","3","6","3.0","0","0","1","0.6","0.6","0.0%"
"61","Zamir White (LV)","1","5","5.0","5","0","0","0","0","0","0","0","0","1","0.5","0.5","74.5%"
"62","Tank Bigsby (JAC)","3","5","1.7","3","0","0","0","1","0","0","0","0","1","0.5","0.5","3.8%"
"63","Darrynton Evans (BUF)","2","5","2.5","3","0","0","0","2","0","0","0","0","1","0.5","0.5","0.1%"
"64","Ameer Abdullah (LV)","0","0","0","0","0","0","1","1","4","4.0","0","0","1","0.4","0.4","0.7%"
"65","Alex Armah Jr. (FA)","0","0","0","0","0","0","1","1","3","3.0","0","0","1","0.3","0.3","0.0%"
"66","Matt Breida (FA)","1","3","3.0","3","0","0","0","0","0","0","0","0","1","0.3","0.3","1.1%"
"67","Ty Johnson (BUF)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.5%"
"68","Trayveon Williams (CIN)","0","0","0","0","0","0","1","1","2","2.0","0","0","1","0.2","0.2","0.3%"
"69","Zack Moss (CIN)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","75.0%"
"70","Keaontay Ingram (KC)","2","2","1.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","1.1%"
"71","Clyde Edwards-Helaire (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.9%"
"72","Trey Sermon (IND)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.9%"
"73","Anthony McFarland Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"74","La'Mical Perine (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"75","Cam Akers (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.2%"
"76","J.K. Dobbins (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45.9%"
"77","D'Andre Swift (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","94.0%"
"78","J.J. Taylor (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"79","Craig Reynolds (DET)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"80","Patrick Taylor Jr. (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"81","DeeJay Dallas (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
