"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Jason Myers (SEA)","5","5","100.0","45","0","0","1","4","0","2","2","1","21.0","21.0","31.7%"
"2","Matt Prater (ARI)","4","4","100.0","56","0","1","0","1","2","1","1","1","18.0","18.0","1.7%"
"3","Greg Zuerlein (NYJ)","4","4","100.0","53","0","0","1","2","1","0","0","1","16.0","16.0","41.9%"
"4","Wil Lutz (DEN)","4","4","100.0","49","0","0","1","3","0","0","1","1","15.0","15.0","10.3%"
"5","Daniel Carlson (LV)","3","3","100.0","54","0","0","0","2","1","1","1","1","14.0","14.0","24.2%"
"6","Dustin Hopkins (CLE)","4","4","100.0","40","0","2","1","1","0","1","2","1","14.0","14.0","30.3%"
"7","Chris Boswell (PIT)","3","3","100.0","49","0","0","1","2","0","2","2","1","13.0","13.0","17.1%"
"8","Matt Ammendola (FA)","3","3","100.0","45","0","1","1","1","0","3","3","1","13.0","13.0","2.0%"
"9","Cairo Santos (CHI)","3","3","100.0","54","0","0","2","0","1","1","1","1","12.0","12.0","23.4%"
"10","Riley Patterson (JAC)","2","2","100.0","41","0","0","1","1","0","5","5","1","12.0","12.0","13.1%"
"11","Evan McPherson (CIN)","2","2","100.0","50","0","0","1","0","1","3","3","1","11.0","11.0","83.1%"
"12","Joey Slye (NE)","2","2","100.0","49","0","0","0","2","0","2","3","1","10.0","10.0","0.6%"
"13","Jake Moody (SF)","2","2","100.0","39","0","0","2","0","0","4","4","1","10.0","10.0","69.4%"
"14","Greg Joseph (GB)","2","3","66.7","40","0","0","1","1","0","3","3","1","10.0","10.0","3.7%"
"15","Cameron Dicker (LAC)","1","1","100.0","48","0","0","0","1","0","5","5","1","9.0","9.0","45.5%"
"16","Chase McLaughlin (TB)","2","2","100.0","35","0","1","1","0","0","2","2","1","8.0","8.0","6.7%"
"17","Justin Tucker (BAL)","1","2","50.0","37","0","0","1","0","0","4","4","1","7.0","7.0","98.8%"
"18","Anders Carlson (GB)","2","2","100.0","31","0","1","1","0","0","1","2","1","7.0","7.0","2.0%"
"19","Brandon Aubrey (DAL)","0","0","0","0","0","0","0","0","0","7","7","1","7.0","7.0","96.9%"
"20","Eddy Pineiro (CAR)","2","3","66.7","39","0","0","2","0","0","1","1","1","7.0","7.0","1.4%"
"21","Randy Bullock (FA)","1","1","100.0","40","0","0","0","1","0","2","2","1","6.0","6.0","0.0%"
"22","Matt Gay (IND)","1","2","50.0","51","0","0","0","0","1","1","1","1","6.0","6.0","35.5%"
"23","Nick Folk (TEN)","2","3","66.7","38","0","1","1","0","0","0","0","1","6.0","6.0","9.4%"
"24","Chad Ryland (NE)","2","3","66.7","37","0","1","1","0","0","0","0","1","6.0","6.0","0.4%"
"25","Younghoe Koo (ATL)","1","1","100.0","36","0","0","1","0","0","2","2","1","5.0","5.0","65.7%"
