"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Brandon Aubrey (DAL)","5","5","100.0","55","0","2","2","0","1","1","1","1","18.0","18.0","96.9%"
"2","Jake Moody (SF)","3","3","100.0","57","0","2","0","0","1","3","3","1","14.0","14.0","69.4%"
"3","Brett Maher (FA)","3","3","100.0","48","0","0","1","2","0","2","2","1","13.0","13.0","0.6%"
"4","Eddy Pineiro (CAR)","3","3","100.0","54","0","0","1","0","2","0","0","1","13.0","13.0","1.4%"
"5","Younghoe Koo (ATL)","4","4","100.0","39","0","2","2","0","0","1","2","1","13.0","13.0","65.7%"
"6","Chris Boswell (PIT)","2","2","100.0","52","0","0","0","0","2","2","2","1","12.0","12.0","17.1%"
"7","Jake Elliott (PHI)","2","3","66.7","61","0","1","0","0","1","4","4","1","12.0","12.0","93.7%"
"8","Justin Tucker (BAL)","2","3","66.7","44","0","0","0","2","0","3","3","1","11.0","11.0","98.8%"
"9","Joey Slye (NE)","2","4","50.0","49","0","0","0","2","0","3","3","1","11.0","11.0","0.6%"
"10","Brandon McManus (FA)","3","3","100.0","49","0","1","1","1","0","0","0","1","10.0","10.0","18.2%"
"11","Nick Folk (TEN)","2","2","100.0","41","0","0","1","1","0","3","3","1","10.0","10.0","9.4%"
"12","Cameron Dicker (LAC)","3","3","100.0","33","0","1","2","0","0","1","1","1","10.0","10.0","45.5%"
"13","Dustin Hopkins (CLE)","2","3","66.7","55","0","0","0","1","1","0","0","1","9.0","9.0","30.3%"
"14","Wil Lutz (DEN)","2","2","100.0","32","0","0","2","0","0","3","3","1","9.0","9.0","10.3%"
"15","Chase McLaughlin (TB)","2","3","66.7","26","0","2","0","0","0","3","3","1","9.0","9.0","6.7%"
"16","Matt Prater (ARI)","2","3","66.7","44","0","0","1","1","0","2","2","1","9.0","9.0","1.7%"
"17","Tyler Bass (BUF)","1","1","100.0","29","0","1","0","0","0","5","5","1","8.0","8.0","47.3%"
