"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Amari Cooper (CLE)","11","15","265","24.1","75","5","2","0","0","0","0","1","40.5","40.5","91.6%"
"2","George Pickens (PIT)","4","6","195","48.8","86","3","2","0","0","0","0","1","31.5","31.5","87.2%"
"3","Puka Nacua (LAR)","9","11","164","18.2","41","3","1","2","16","0","0","1","24.0","24.0","96.9%"
"4","DJ Chark Jr. (LAC)","6","8","98","16.3","22","2","2","0","0","0","0","1","21.8","21.8","4.7%"
"5","Mike Evans (TB)","7","9","86","12.3","22","1","2","0","0","0","0","1","20.6","20.6","98.1%"
"6","Justin Jefferson (MIN)","6","10","141","23.5","29","5","1","0","0","0","0","1","20.1","20.1","100.0%"
"7","Tee Higgins (CIN)","5","8","140","28.0","80","2","1","0","0","0","0","1","20.0","20.0","94.1%"
"8","Calvin Ridley (TEN)","6","9","90","15.0","25","2","2","1","-12","0","0","1","19.8","19.8","95.0%"
"9","CeeDee Lamb (DAL)","6","10","118","19.7","49","2","1","2","14","0","0","1","19.2","19.2","100.0%"
"10","Gabe Davis (JAC)","4","6","130","32.5","57","3","1","0","0","0","0","1","19.0","19.0","53.0%"
"11","Amon-Ra St. Brown (DET)","12","14","106","8.8","25","1","1","0","0","0","0","1","16.6","16.6","100.0%"
"12","K.J. Osborn (NE)","5","7","95","19.0","47","1","1","0","0","0","0","1","15.5","15.5","15.3%"
"13","Darius Slayton (NYG)","3","3","90","30.0","69","1","1","0","0","0","0","1","15.0","15.0","2.6%"
"14","Chris Olave (NO)","9","13","123","13.7","28","1","0","0","0","0","0","1","14.3","14.3","98.8%"
"15","Demarcus Robinson (LAR)","6","6","82","13.7","32","1","1","0","0","0","0","1","14.2","14.2","15.3%"
"16","Romeo Doubs (GB)","4","5","79","19.8","36","2","1","0","0","0","0","1","13.9","13.9","44.3%"
"17","DeVonta Smith (PHI)","4","5","79","19.8","36","1","1","0","0","0","0","1","13.9","13.9","98.0%"
"18","Rashid Shaheed (NO)","5","9","70","14.0","45","1","1","1","4","0","0","1","13.4","13.4","50.9%"
"19","Zay Flowers (BAL)","9","13","72","8.0","13","0","1","0","0","0","0","1","13.2","13.2","91.9%"
"20","Brandon Johnson (DEN)","3","5","47","15.7","21","1","1","0","0","0","0","1","12.7","12.7","2.0%"
"21","DK Metcalf (SEA)","4","6","56","14.0","26","1","1","0","0","0","0","1","11.6","11.6","98.5%"
"22","Brandon Aiyuk (SF)","6","7","113","18.8","33","3","0","0","0","0","0","1","11.3","11.3","98.2%"
"23","Ihmir Smith-Marsette (CAR)","1","1","18","18.0","18","0","0","2","33","1","0","1","11.1","11.1","0.1%"
"24","Greg Dortch (ARI)","2","5","45","22.5","38","1","1","0","0","0","0","1","10.5","10.5","4.3%"
"25","Tyreek Hill (MIA)","9","14","99","11.0","20","1","0","0","0","0","0","1","9.9","9.9","100.0%"
"26","Nico Collins (HOU)","4","6","18","4.5","7","0","1","0","0","0","0","1","9.8","9.8","95.6%"
"27","Justin Watson (KC)","4","6","38","9.5","11","0","1","0","0","0","0","1","9.8","9.8","1.7%"
"28","A.T. Perry (NO)","1","1","35","35.0","35","1","1","0","0","0","0","1","9.5","9.5","0.7%"
