"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Justin Herbert (LAC)","40","47","85.1","405","8.6","3","0","1","2","11","0","0","1","29.3","29.3","61.3%"
"2","Tua Tagovailoa (MIA)","23","26","88.5","309","11.9","4","0","0","0","0","0","0","1","28.4","28.4","78.9%"
"3","Lamar Jackson (BAL)","22","31","71.0","202","6.5","0","0","4","14","101","2","1","1","28.2","28.2","99.3%"
"4","Kirk Cousins (ATL)","32","50","64.0","367","7.3","3","1","4","1","10","0","0","1","26.7","26.7","34.7%"
"5","Patrick Mahomes II (KC)","24","33","72.7","272","8.2","3","0","0","3","28","0","0","1","25.7","25.7","99.4%"
"6","Jordan Love (GB)","22","44","50.0","259","5.9","1","1","1","9","39","1","0","1","25.3","25.3","86.0%"
"7","Andy Dalton (CAR)","34","58","58.6","361","6.2","2","0","3","2","11","0","0","1","23.5","23.5","0.1%"
"8","Josh Allen (BUF)","20","32","62.5","218","6.8","1","1","0","3","46","1","0","1","22.3","22.3","99.9%"
"9","Jalen Hurts (PHI)","23","37","62.2","277","7.5","1","2","1","10","28","1","0","1","21.9","21.9","99.9%"
"10","Deshaun Watson (CLE)","27","33","81.8","289","8.8","2","0","3","4","16","0","0","1","21.2","21.2","26.4%"
"11","Jimmy Garoppolo (LAR)","28","44","63.6","324","7.4","2","3","4","2","7","0","0","1","20.7","20.7","1.7%"
"12","C.J. Stroud (HOU)","20","30","66.7","280","9.3","2","0","0","3","14","0","0","1","20.6","20.6","93.0%"
"13","Brock Purdy (SF)","25","37","67.6","310","8.4","2","0","2","4","-1","0","0","1","20.3","20.3","91.7%"
"14","Jared Goff (DET)","22","33","66.7","243","7.4","1","1","0","5","3","1","0","1","19.0","19.0","70.2%"
"15","Kenny Pickett (PHI)","16","28","57.1","235","8.4","2","0","1","3","11","0","0","1","18.5","18.5","6.8%"
"16","Joshua Dobbs (SF)","17","21","81.0","189","9.0","1","0","2","6","55","0","0","1","17.1","17.1","11.2%"
"17","Geno Smith (SEA)","23","36","63.9","296","8.2","1","1","2","4","-4","0","0","1","16.4","16.4","37.7%"
"18","Trevor Lawrence (JAC)","27","40","67.5","279","7.0","1","1","0","3","12","0","0","1","15.4","15.4","66.4%"
"19","Dak Prescott (DAL)","25","40","62.5","249","6.2","1","1","2","3","24","0","0","1","15.4","15.4","96.4%"
"20","Russell Wilson (PIT)","23","38","60.5","306","8.1","1","1","1","0","0","0","0","1","15.2","15.2","30.3%"
"21","Matthew Stafford (LAR)","18","33","54.5","269","8.2","1","2","6","1","7","0","0","1","13.5","13.5","55.8%"
"22","Mac Jones (JAC)","15","29","51.7","201","6.9","1","0","0","4","13","0","0","1","13.3","13.3","2.2%"
"23","Gardner Minshew II (LV)","27","44","61.4","227","5.2","1","0","5","0","0","0","0","1","13.1","13.1","16.7%"
"24","Justin Fields (PIT)","11","22","50.0","99","4.5","1","1","3","11","47","0","0","1","11.7","11.7","49.5%"
"25","Baker Mayfield (TB)","15","25","60.0","146","5.8","1","1","2","1","2","0","0","1","11.0","11.0","44.6%"
"26","Joe Burrow (CIN)","26","49","53.1","259","5.3","0","1","2","3","-2","0","0","1","9.2","9.2","63.1%"
"27","Derek Carr (NO)","13","18","72.2","103","5.7","1","0","3","0","0","0","0","1","8.1","8.1","25.0%"
"28","Mike White (MIA)","2","2","100.0","67","33.5","1","0","0","1","-1","0","0","1","6.6","6.6","0.2%"
"29","Zach Wilson (DEN)","18","36","50.0","157","4.4","0","0","3","1","1","0","0","1","6.4","6.4","2.2%"
"30","Desmond Ridder (ARI)","21","38","55.3","201","5.3","0","0","7","2","3","0","1","1","6.3","6.3","3.7%"
"31","Daniel Jones (NYG)","22","32","68.8","137","4.3","0","1","2","2","5","0","0","1","5.0","5.0","10.8%"
"32","Sam Howell (SEA)","19","29","65.5","170","5.9","0","4","9","1","18","0","0","1","4.6","4.6","28.9%"
"33","Ryan Tannehill (FA)","13","25","52.0","104","4.2","0","0","5","0","0","0","0","1","4.2","4.2","1.1%"
"34","Jameis Winston (CLE)","10","16","62.5","101","6.3","0","0","1","0","0","0","0","1","4.0","4.0","0.7%"
"35","C.J. Beathard (JAC)","2","2","100.0","9","4.5","0","0","0","0","0","0","0","1","0.4","0.4","1.0%"
"36","Tyrod Taylor (NYJ)","0","1","0.0","0","0.0","0","0","0","1","2","0","0","1","0.2","0.2","2.6%"
"37","Casey Bauman (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"38","John Rhys Plumlee (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"39","Davis Mills (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"40","Bryce Young (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.1%"
"41","Jayden Daniels (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80.7%"
"42","Bo Nix (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.8%"
"43","Zack Annexstad (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"44","Andrew Peasley (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"45","Kyle Trask (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"46","Sam Ehlinger (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"47","Jacob Eason (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"48","Tyler Huntley (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"49","Shane Buechele (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"50","Ian Book (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"51","Feleipe Franks (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"52","Sean Clifford (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"53","Trey Lance (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"54","John Paddock (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"55","Dorian Thompson-Robinson (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"56","Rocky Lombardi (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"57","Devin Leary (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"58","Jake Haener (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"59","Tanner McKee (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"60","Chris Oladokun (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"61","Aidan O'Connell (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.9%"
"62","Hendon Hooker (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"63","Sam Hartman (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"64","Anthony Richardson (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","58.9%"
"65","Joe Milton III (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"66","Tommy DeVito (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.1%"
"67","Michael Pratt (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"68","Clayton Tune (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"69","Tanner Mordecai (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"70","Nathan Rourke (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"71","Tyson Bagent (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"72","Dresser Winn (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"73","Jordan Travis (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"74","Spencer Rattler (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"75","Jason Bean (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"76","Drake Maye (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.1%"
"77","Jack Plummer (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"78","Caleb Williams (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","81.5%"
"79","Max Duggan (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","Adrian Martinez (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"81","Emory Jones (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"82","Michael Penix Jr. (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5%"
"83","Will Levis (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.3%"
"84","J.J. McCarthy (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.8%"
"85","Malik Cunningham (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"86","Stetson Bennett (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"87","Bailey Zappe (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"88","Jaren Hall (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.0%"
"89","Anthony Brown Jr. (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"90","Austin Reed (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"91","Skylar Thompson (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"92","Kedon Slovis (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"93","Carter Bradley (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"94","Malik Willis (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"95","Aaron Rodgers (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49.1%"
"96","Ben Chappell (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"97","Adam Froman (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"98","Erik Ainge (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"99","Hunter Cantwell (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"100","Case Keenum (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"101","Joe Flacco (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.3%"
"102","Josh Johnson (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"103","Logan Woodside (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"104","Taysom Hill (NO)","0","0","0","0","0","0","0","0","4","12","0","0","1","0.0","0.0","35.8%"
"105","Mason Rudolph (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"106","Mitchell Trubisky (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"107","Nathan Peterman (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"108","Cooper Rush (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"109","Nick Mullens (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.1%"
"110","P.J. Walker (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"111","Easton Stick (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"112","Jake Browning (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20.7%"
"113","Kyler Murray (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","78.8%"
"114","Jarrett Stidham (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.6%"
"115","Brett Rypien (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"116","Tim Boyle (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"117","John Wolford (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"118","Drew Lock (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7%"
"119","Will Grier (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"120","Marcus Mariota (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.1%"
"121","Taylor Heinicke (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.1%"
"122","Brett Smith (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"123","Jeff Driskel (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"124","Jacoby Brissett (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"125","Brandon Allen (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"126","Nate Sudfeld (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Carson Wentz (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"128","Sam Darnold (MIN)","0","0","0","0","0","0","0","0","1","-1","0","0","1","-0.1","-0.1","1.2%"
"129","Kyle Allen (PIT)","0","0","0","0","0","0","0","0","2","-2","0","0","1","-0.2","-0.2","0.0%"
"130","Blaine Gabbert (FA)","3","5","60.0","31","6.2","0","2","0","2","-1","0","0","1","-0.9","-0.9","0.0%"
""
""
