"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Raheem Mostert (MIA)","17","115","6.8","49","1","2","3","3","17","5.7","1","0","1","31.2","31.2","91.4%"
"2","Kyren Williams (LAR)","20","158","7.9","31","2","1","0","0","0","0","0","0","1","21.8","21.8","96.3%"
"3","Travis Etienne Jr. (JAC)","18","55","3.1","22","1","2","3","3","28","9.3","0","0","1","20.3","20.3","99.7%"
"4","Derrick Henry (BAL)","12","97","8.1","63","1","1","2","2","16","8.0","0","0","1","17.3","17.3","99.4%"
"5","Breece Hall (NYJ)","12","39","3.3","9","0","1","5","5","54","10.8","0","0","1","15.3","15.3","98.9%"
"6","Chuba Hubbard (CAR)","19","88","4.6","19","0","1","1","1","2","2.0","0","0","1","15.0","15.0","49.0%"
"7","Kenneth Walker III (SEA)","19","62","3.3","21","1","1","3","3","27","9.0","0","0","1","14.9","14.9","97.1%"
"8","Kareem Hunt (FA)","12","47","3.9","16","0","1","3","3","24","8.0","0","0","1","13.1","13.1","27.2%"
"9","Rhamondre Stevenson (NE)","10","46","4.6","15","0","1","5","6","24","4.8","0","0","1","13.0","13.0","85.2%"
"10","Zack Moss (CIN)","7","21","3.0","9","0","1","6","7","38","6.3","0","0","1","11.9","11.9","75.0%"
"11","Brian Robinson Jr. (WAS)","10","31","3.1","9","0","0","2","2","25","12.5","1","0","1","11.6","11.6","86.0%"
"12","Christian McCaffrey (SF)","11","43","3.9","27","1","0","3","3","9","3.0","1","0","1","11.2","11.2","100.0%"
"13","Tony Pollard (TEN)","15","30","2.0","7","0","0","6","7","80","13.3","0","0","1","11.0","11.0","93.1%"
"14","Ezekiel Elliott (DAL)","7","34","4.9","8","0","1","1","1","15","15.0","0","0","1","10.9","10.9","81.3%"
"15","Alvin Kamara (NO)","19","68","3.6","13","0","0","7","8","36","5.1","0","0","1","10.4","10.4","98.2%"
"16","Saquon Barkley (PHI)","24","93","3.9","34","1","0","4","5","5","1.3","0","0","1","9.8","9.8","100.0%"
"17","Isiah Pacheco (KC)","16","62","3.9","15","0","0","6","6","36","6.0","0","0","1","9.8","9.8","97.8%"
"18","D'Andre Swift (CHI)","10","18","1.8","9","0","0","8","10","40","5.0","1","1","1","9.8","9.8","94.0%"
"19","Salvon Ahmed (MIA)","6","23","3.8","9","0","1","3","5","11","3.7","0","0","1","9.4","9.4","0.6%"
"20","Josh Jacobs (GB)","25","77","3.1","18","0","0","2","5","16","8.0","0","0","1","9.3","9.3","97.2%"
"21","Jerome Ford (CLE)","17","84","4.9","22","1","0","2","2","7","3.5","0","0","1","9.1","9.1","81.5%"
"22","Jordan Mason (SF)","5","27","5.4","10","0","1","0","0","0","0","0","0","1","8.7","8.7","2.2%"
"23","Bijan Robinson (ATL)","13","37","2.8","9","0","0","5","8","43","8.6","0","0","1","8.0","8.0","99.9%"
"24","Antonio Gibson (NE)","3","15","5.0","9","0","0","1","1","1","1.0","1","0","1","7.6","7.6","54.0%"
"25","Javonte Williams (DEN)","10","52","5.2","18","0","0","0","0","0","0","0","0","1","7.2","7.2","89.2%"
"26","Alexander Mattison (LV)","18","44","2.4","8","0","0","4","7","28","7.0","0","0","1","7.2","7.2","41.5%"
"27","James Cook (BUF)","14","71","5.1","14","0","0","0","0","0","0","0","0","1","7.1","7.1","97.8%"
"28","D'Onta Foreman (CLE)","15","65","4.3","10","0","0","1","1","2","2.0","0","0","1","6.7","6.7","19.5%"
"29","Jonathan Taylor (IND)","8","19","2.4","5","0","0","5","6","46","9.2","0","0","1","6.5","6.5","98.8%"
"30","Tyjae Spears (TEN)","4","15","3.8","12","0","0","1","1","48","48.0","0","0","1","6.3","6.3","64.5%"
"31","Devin Singletary (NYG)","12","58","4.8","17","0","0","1","2","4","4.0","0","0","1","6.2","6.2","83.9%"
"32","Austin Ekeler (WAS)","14","27","1.9","6","0","0","4","6","35","8.8","0","0","1","6.2","6.2","92.9%"
"33","Joe Mixon (HOU)","12","38","3.2","5","0","0","3","4","24","8.0","0","0","1","6.2","6.2","99.0%"
"34","Gus Edwards (LAC)","16","41","2.6","8","0","0","1","1","12","12.0","0","0","1","5.3","5.3","80.5%"
"35","Keaontay Ingram (KC)","10","40","4.0","12","0","0","2","2","11","5.5","0","0","1","5.1","5.1","1.1%"
"36","Tyler Allgeier (ATL)","13","51","3.9","11","0","0","0","1","0","0","0","0","1","5.1","5.1","51.9%"
"37","Latavius Murray (FA)","12","45","3.8","12","0","0","0","0","0","0","0","0","1","4.5","4.5","7.6%"
