"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Calvin Ridley (TEN)","7","9","103","14.7","34","3","2","1","18","0","0","1","24.1","24.1","95.0%"
"2","Brandon Aiyuk (SF)","5","6","156","31.2","76","2","1","0","0","0","0","1","21.6","21.6","98.2%"
"3","Tank Dell (HOU)","8","10","149","18.6","40","3","1","0","0","0","0","1","20.9","20.9","60.3%"
"4","Tyreek Hill (MIA)","10","11","146","14.6","38","4","1","0","0","0","0","1","20.6","20.6","100.0%"
"5","Keenan Allen (CHI)","10","16","116","11.6","38","1","1","0","0","0","0","1","17.6","17.6","91.0%"
"6","Khalil Shakir (BUF)","3","4","115","38.3","81","2","1","0","0","0","0","1","17.5","17.5","13.3%"
"7","DJ Moore (CHI)","7","9","96","13.7","39","1","1","0","0","0","0","1","15.6","15.6","97.6%"
"8","DK Metcalf (SEA)","5","9","94","18.8","53","2","1","0","0","0","0","1","15.4","15.4","98.5%"
"9","Jayden Reed (GB)","4","6","46","11.5","19","0","0","3","46","1","0","1","15.2","15.2","77.3%"
"10","Darius Slayton (NYG)","4","5","82","20.5","40","2","1","0","0","0","0","1","14.2","14.2","2.6%"
"11","Davante Adams (LV)","7","13","82","11.7","46","2","1","0","0","0","0","1","14.2","14.2","99.9%"
"12","Puka Nacua (LAR)","5","7","70","14.0","32","1","1","1","7","0","0","1","13.7","13.7","96.9%"
"13","Amon-Ra St. Brown (DET)","8","11","77","9.6","16","0","1","0","0","0","0","1","13.7","13.7","100.0%"
"14","Courtland Sutton (DEN)","4","5","66","16.5","33","1","1","0","0","0","0","1","12.6","12.6","83.0%"
"15","DeAndre Hopkins (TEN)","4","5","59","14.8","43","1","1","0","0","0","0","1","11.9","11.9","91.9%"
"16","Odell Beckham Jr. (MIA)","4","7","116","29.0","51","3","0","0","0","0","0","1","11.6","11.6","32.9%"
"17","Rondale Moore (ATL)","1","1","48","48.0","48","1","1","2","6","0","0","1","11.4","11.4","5.2%"
"18","Romeo Doubs (GB)","5","6","53","10.6","24","1","1","0","0","0","0","1","11.3","11.3","44.3%"
"19","Justin Watson (KC)","5","11","53","10.6","17","0","1","0","0","0","0","1","11.3","11.3","1.7%"
"20","CeeDee Lamb (DAL)","6","9","38","6.3","10","0","1","1","7","0","0","1","10.5","10.5","100.0%"
"21","Jameson Williams (DET)","2","3","44","22.0","32","1","1","0","0","0","0","1","10.4","10.4","45.8%"
"22","Mike Evans (TB)","5","12","43","8.6","13","0","1","0","0","0","0","1","10.3","10.3","98.1%"
"23","DeVonta Smith (PHI)","6","8","99","16.5","41","2","0","0","0","0","0","1","9.9","9.9","98.0%"
"24","Nelson Agholor (BAL)","1","1","37","37.0","37","1","1","0","0","0","0","1","9.7","9.7","0.8%"
"25","Dontayvion Wicks (GB)","3","5","91","30.3","35","3","0","0","0","0","0","1","9.1","9.1","7.1%"
"26","Chris Moore (ARI)","1","1","49","49.0","49","1","0","1","38","0","0","1","8.7","8.7","0.1%"
"27","Jahan Dotson (WAS)","3","4","23","7.7","12","0","1","0","0","0","0","1","8.3","8.3","31.0%"
"28","Christian Watson (GB)","2","4","21","10.5","11","0","1","1","1","0","0","1","8.2","8.2","74.8%"
"29","Greg Dortch (ARI)","6","8","76","12.7","31","1","0","0","0","0","0","1","7.6","7.6","4.3%"
"30","Adam Thielen (CAR)","8","11","74","9.3","16","0","0","0","0","0","0","1","7.4","7.4","71.9%"
"31","Ja'Marr Chase (CIN)","2","7","12","6.0","10","0","1","0","0","0","0","1","7.2","7.2","99.4%"
"32","Rashod Bateman (BAL)","1","2","10","10.0","10","0","1","0","0","0","0","1","7.0","7.0","9.5%"
"33","Nico Collins (HOU)","7","11","65","9.3","23","1","0","0","0","0","0","1","6.5","6.5","95.6%"
"34","Deebo Samuel Sr. (SF)","3","4","63","21.0","40","1","0","1","-1","0","0","1","6.2","6.2","98.7%"
"35","Elijah Moore (CLE)","6","7","60","10.0","15","0","0","0","0","0","0","1","6.0","6.0","23.1%"
"36","Jerry Jeudy (CLE)","5","7","58","11.6","19","0","0","0","0","0","0","1","5.8","5.8","63.3%"
"37","Jaylen Waddle (MIA)","4","8","55","13.8","19","0","0","0","0","0","0","1","5.5","5.5","96.3%"
"38","Tyler Lockett (SEA)","5","7","51","10.2","13","0","0","0","0","0","0","1","5.1","5.1","88.4%"
"39","Zay Flowers (BAL)","3","4","43","14.3","33","1","0","1","7","0","0","1","5.0","5.0","91.9%"
"40","Jakobi Meyers (LV)","4","5","49","12.3","24","1","0","0","0","0","0","1","4.9","4.9","73.3%"
"41","Christian Kirk (JAC)","3","6","48","16.0","20","1","0","0","0","0","0","1","4.8","4.8","70.8%"
"42","Jordan Addison (MIN)","3","6","44","14.7","18","0","0","0","0","0","0","1","4.4","4.4","88.3%"
"43","Robert Woods (HOU)","5","8","44","8.8","17","0","0","0","0","0","0","1","4.4","4.4","2.7%"
"44","Terry McLaurin (WAS)","5","7","43","8.6","11","0","0","0","0","0","0","1","4.3","4.3","90.3%"
"45","Brandin Cooks (DAL)","3","4","42","14.0","22","1","0","0","0","0","0","1","4.2","4.2","43.6%"
"46","Rashee Rice (KC)","4","5","42","10.5","17","0","0","0","0","0","0","1","4.2","4.2","88.9%"
"47","Hunter Renfrow (FA)","5","5","42","8.4","31","1","0","0","0","0","0","1","4.2","4.2","0.6%"
"48","Rakim Jarrett (TB)","1","2","41","41.0","41","1","0","0","0","0","0","1","4.1","4.1","0.0%"
"49","Jaxon Smith-Njigba (SEA)","3","6","40","13.3","32","1","0","0","0","0","0","1","4.0","4.0","76.0%"
"50","Chris Godwin (TB)","6","7","39","6.5","11","0","0","0","0","0","0","1","3.9","3.9","90.3%"
"51","Robbie Chosen (FA)","2","2","39","19.5","30","1","0","0","0","0","0","1","3.9","3.9","0.0%"
"52","Wan'Dale Robinson (NYG)","3","4","35","11.7","21","1","0","1","2","0","0","1","3.7","3.7","8.5%"
"53","George Pickens (PIT)","4","6","38","9.5","14","0","0","1","-1","0","0","1","3.7","3.7","87.2%"
