"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"564","Chuck Clark (NYJ)","0","0","0","0","0","0","0","0","0","0","0","5.2%"
"565","Desmond King II (HOU)","0","0","0","0","0","0","0","0","0","0","0","12.0%"
"566","Marcus Maye (MIA)","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"567","Jamal Adams (TEN)","0","0","0","0","0","0","0","0","0","0","0","3.5%"
"568","Teez Tabor (FA)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"569","Marlon Humphrey (BAL)","0","0","0","0","0","0","0","0","0","0","0","4.5%"
"570","Gareon Conley (DAL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"571","Kevin King (ATL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"572","Eddie Jackson (BAL)","0","0","0","0","0","0","0","0","0","0","0","2.6%"
"573","John Johnson III (LAR)","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"574","Marcus Williams (BAL)","0","0","0","0","0","0","0","0","0","0","0","6.1%"
"575","Arthur Maulet (BAL)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.9%"
"576","Adrian Colbert (CHI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"577","Budda Baker (ARI)","0","0","0","0","0","0","0","0","0","0","0","35.9%"
"578","Amani Oruwariye (JAC)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"579","Johnathan Abram (NO)","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"580","Taylor Rapp (BUF)","0","0","0","0","0","0","0","0","1","0.0","0.0","6.0%"
"581","Kris Boyd (HOU)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"582","Trayvon Mullen Jr. (BAL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"583","Lukas Denis (ATL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"584","Trevon Diggs (DAL)","0","0","0","0","0","0","0","0","0","0","0","13.0%"
"585","J.T. Gray (NO)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.4%"
"586","Mike Ford Jr. (HOU)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"587","Ugo Amadi (NO)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"588","Ka'dar Hollman (BAL)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"589","Marquise Blair (SEA)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"590","Nik Needham (MIA)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"591","Nate Brooks (CIN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"592","Sheldrick Redwine (DAL)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"593","Emmanuel Moseley (DET)","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"594","Tarvarius Moore (CHI)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"595","Chris Board (BAL)","0","0","0","0","0","0","0","0","1","0.0","0.0","1.2%"
"596","Tony Brown II (CLE)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"597","M.J. Stewart Jr. (HOU)","0","0","0","0","0","0","0","0","1","0.0","0.0","4.0%"
"598","Cornell Armstrong (LV)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"599","Parry Nickerson (PHI)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"600","Dane Cruikshank (ATL)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"601","Tremon Smith (DEN)","0","0","0","0","0","0","0","0","1","0.0","0.0","4.8%"
