"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"317","Devere Levelston (SEA)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"318","Rodney Mathews (GB)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"319","Norell Pollard (WAS)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"320","Tre'Mon Morris-Brash (LAC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"321","Kyler Baugh (NO)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"322","Evan Anderson (SF)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"323","Owen Porter (MIN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"324","Tyler Manoa (MIN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"325","Bo Richter (MIN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"326","Taki Taimani (MIN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"327","Myles Murphy (ARI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"328","Branson Deen (BUF)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"329","Brian Dooley (TEN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"330","Tremel Walthor (BAL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"331","Isaiah Iton (TEN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"332","Joe Evans (BAL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"333","Daniel Grzesiak (TB)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"334","Tuli Letuligasenoa (LAR)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"335","Ron Stone Jr. (LV)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"336","Trajan Jeffcoat (NO)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"337","Rondell Bothroyd (BUF)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"338","David Ugwoegbu (BUF)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"339","Leonard Payne Jr. (MIA)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"340","Elijah Chatman (NYG)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"341","Shaun Peterson Jr. (TB)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"342","Dashaun Mallory (CHI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"343","Nathan Pickering (SEA)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"344","Gable Steveson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"345","Alex Gubner (KC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"346","Dondrea Tillman (DEN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"347","Ulumoo Ale (CAR)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"348","Fabien Lovett Sr. (KC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"349","Justin Blazek (CIN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"350","Mario Kendricks (MIA)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"351","Denzel Daxon (DAL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"352","David Olajiga (LAR)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"353","Laekin Vakalahi (PHI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"354","Buddha Jones (SEA)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"355","C.J. Ravenell (BAL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"356","Micheal Mason (LAC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"357","Savion Jackson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"358","Javon Solomon (BUF)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"359","McKinnley Jackson (CIN)","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"360","Maason Smith (JAC)","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"361","Mekhi Wingo (DET)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"362","Darius Robinson (ARI)","0","0","0","0","0","0","0","0","0","0","0","4.4%"
"363","Leonard Taylor III (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"364","Keith Randolph Jr. (CHI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"365","Brandon Dorlus (ATL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"366","Chris Braswell (TB)","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"367","Braden Fiske (LAR)","0","0","0","0","0","0","0","0","0","0","0","3.1%"
"368","T'Vondre Sweat (TEN)","0","0","0","0","0","0","0","0","0","0","0","2.6%"
"369","Jer'Zhan Newton (WAS)","0","0","0","0","0","0","0","0","0","0","0","2.7%"
"370","Michael Hall Jr. (CLE)","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"371","Chop Robinson (MIA)","0","0","0","0","0","0","0","0","0","0","0","11.0%"
"372","Byron Murphy II (SEA)","0","0","0","0","0","0","0","0","0","0","0","8.8%"
"373","Kilian Zierer (HOU)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"374","Durrell Johnson (DAL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"375","Dallas Turner (MIN)","0","0","0","0","0","0","0","0","0","0","0","15.4%"
"376","Tyrus Wheat (DAL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"377","Isaiah Land (IND)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"378","Laiatu Latu (IND)","0","0","0","0","0","0","0","0","0","0","0","16.5%"
"379","Kris Jenkins Jr. (CIN)","0","0","0","0","0","0","0","0","0","0","0","1.5%"
"380","Tomari Fox (LV)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"381","Khristian Boyd (NO)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"382","Gabe Hall (PHI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"383","Jordan Jefferson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"384","Marcus Harris (HOU)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"385","Justin Rogers (DAL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"386","Mike Hall Jr. (CLE)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"387","Zion Logue (ATL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"388","Logan Lee (PIT)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"389","Jowon Briggs (CLE)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"390","Jonah Laulu (IND)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"391","Javontae Jean-Baptiste (WAS)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"392","Jaylen Harrell (TEN)","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"393","Solomon Byrd (HOU)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"394","Levi Drake Rodriguez (MIN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"395","Noah Shannon (LV)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"396","TJ Franklin (LV)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"397","Julius Welschof (PIT)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"398","Lwal Uguak (TB)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"399","Ruke Orhorhoro (ATL)","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"400","DeWayne Carter (BUF)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"401","Jaquelin Roy (MIN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"402","Jonathan Marshall (PIT)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"403","Naquan Jones (ARI)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"404","Josiah Bronson Jr. (NE)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"405","Marlon Tuipulotu (PHI)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"406","Tarron Jackson (PHI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"407","Chauncey Golston (DAL)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"408","Chris Rumph II (LAC)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"409","Quinton Bohanna (TEN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"410","Payton Turner (NO)","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"411","Earnest Brown (TB)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"412","Jaelan Phillips (MIA)","0","0","0","0","0","0","0","0","0","0","0","9.3%"
"413","Joe Tryon-Shoyinka (TB)","1","2","0","0","0","0","0","0","1","0.0","0.0","1.9%"
"414","Baron Browning (DEN)","0","0","0","0","0","0","0","0","0","0","0","5.3%"
"415","Azeez Ojulari (NYG)","0","0","0","0","0","0","0","0","1","0.0","0.0","1.9%"
"416","Tommy Togiai (ATL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"417","Brenton Cox Jr. (GB)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"418","Charles Snowden (LV)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"419","Alim McNeill (DET)","0","0","0","0","0","0","0","0","0","0","0","2.3%"
"420","Bobby Brown III (LAR)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.8%"
"421","Elerson Smith (LV)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"422","Patrick Johnson (PHI)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"423","Sam Kamara (CLE)","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"424","Zaven Collins (ARI)","0","1","0","0","0","0","0","0","1","0.0","0.0","5.1%"
"425","Xavier Thomas (ARI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"426","DeMarvin Leal (PIT)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"427","Jack Heflin (NO)","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"428","Michael Dwumfour (CHI)","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"429","Christian Elliss (NE)","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"430","Malik Herring (KC)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"431","Jaylen Twyman (ARI)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"432","Marvin Wilson (ARI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
