"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Minnesota Vikings (MIN)","5","2","1","2","1","0","0","1","21.0","21.0","11.6%"
"2","Kansas City Chiefs (KC)","4","2","1","1","0","0","0","1","14.0","14.0","76.9%"
"3","Cincinnati Bengals (CIN)","4","2","0","0","0","0","0","1","12.0","12.0","48.7%"
"4","Jacksonville Jaguars (JAC)","3","3","1","1","0","0","0","1","12.0","12.0","47.1%"
"5","Baltimore Ravens (BAL)","6","1","1","0","0","0","0","1","11.0","11.0","87.6%"
"6","New York Jets (NYJ)","2","3","1","1","0","0","0","1","11.0","11.0","82.8%"
"7","Washington Commanders (WAS)","3","3","0","0","0","0","0","1","10.0","10.0","8.1%"
"8","Houston Texans (HOU)","2","1","1","0","0","0","0","1","10.0","10.0","29.8%"
"9","Chicago Bears (CHI)","2","0","1","2","0","0","0","1","10.0","10.0","31.0%"
"10","Los Angeles Rams (LAR)","2","1","1","1","0","0","0","1","10.0","10.0","21.1%"
"11","Detroit Lions (DET)","1","1","0","0","0","0","0","1","10.0","10.0","44.0%"
"12","Las Vegas Raiders (LV)","4","1","0","0","0","1","0","1","9.0","9.0","21.8%"
"13","Los Angeles Chargers (LAC)","5","0","1","0","0","0","0","1","8.0","8.0","16.6%"
"14","Buffalo Bills (BUF)","3","0","0","0","0","0","0","1","7.0","7.0","62.6%"
"15","San Francisco 49ers (SF)","2","2","0","1","0","0","0","1","7.0","7.0","98.1%"
"16","Seattle Seahawks (SEA)","3","1","0","0","0","0","0","1","6.0","6.0","27.1%"
"17","Cleveland Browns (CLE)","3","1","0","0","0","0","0","1","6.0","6.0","94.3%"
"18","Philadelphia Eagles (PHI)","5","0","0","0","0","0","0","1","6.0","6.0","50.8%"
"19","Tennessee Titans (TEN)","1","1","0","0","0","0","0","1","5.0","5.0","3.5%"
"20","Arizona Cardinals (ARI)","3","0","1","0","0","0","0","1","5.0","5.0","0.8%"
"21","New York Giants (NYG)","0","1","1","1","0","0","0","1","5.0","5.0","3.1%"
"22","New Orleans Saints (NO)","2","1","0","0","0","0","0","1","5.0","5.0","63.8%"
"23","Atlanta Falcons (ATL)","5","0","0","0","0","0","0","1","5.0","5.0","16.5%"
"24","Denver Broncos (DEN)","2","1","0","0","0","0","0","1","5.0","5.0","34.5%"
"25","Miami Dolphins (MIA)","4","0","0","1","0","0","0","1","5.0","5.0","69.0%"
"26","Dallas Cowboys (DAL)","1","1","0","0","0","0","0","1","4.0","4.0","93.2%"
"27","Tampa Bay Buccaneers (TB)","3","0","0","1","0","0","0","1","4.0","4.0","20.7%"
"28","Carolina Panthers (CAR)","0","1","0","0","1","0","0","1","4.0","4.0","2.9%"
"29","New England Patriots (NE)","0","1","0","0","0","0","0","1","2.0","2.0","13.3%"
"30","Indianapolis Colts (IND)","3","1","0","0","0","0","0","1","1.0","1.0","24.5%"
"31","Pittsburgh Steelers (PIT)","0","0","0","0","0","0","0","0","0","0","76.5%"
"32","Green Bay Packers (GB)","0","0","0","0","0","0","0","0","0","0","26.0%"
""
""
