"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","CeeDee Lamb (DAL)","13","17","227","17.5","92","3","1","1","5","0","1","1","27.2","27.2","100.0%"
"2","Davante Adams (LV)","13","21","126","9.7","24","1","2","0","0","0","0","1","24.6","24.6","99.9%"
"3","DJ Moore (CHI)","9","13","159","17.7","32","5","1","0","0","0","0","1","21.9","21.9","97.6%"
"4","Jayden Reed (GB)","6","8","89","14.8","33","2","2","0","0","0","0","1","20.9","20.9","77.3%"
"5","Brandon Aiyuk (SF)","7","8","114","16.3","38","2","1","0","0","0","0","1","17.4","17.4","98.2%"
"6","Darius Slayton (NYG)","4","6","106","26.5","80","1","1","0","0","0","0","1","16.6","16.6","2.6%"
"7","Zay Flowers (BAL)","3","3","106","35.3","75","2","1","0","0","0","0","1","16.6","16.6","91.9%"
"8","Bo Melton (GB)","6","9","105","17.5","37","2","1","0","0","0","0","1","16.5","16.5","0.3%"
"9","Amon-Ra St. Brown (DET)","6","8","90","15.0","23","2","1","1","11","0","0","1","16.1","16.1","100.0%"
"10","Julio Jones (FA)","2","2","34","17.0","22","1","2","0","0","0","0","1","15.4","15.4","0.6%"
"11","Chris Godwin (TB)","3","5","81","27.0","47","1","1","0","0","0","0","1","14.1","14.1","90.3%"
"12","Wan'Dale Robinson (NYG)","6","9","55","9.2","20","1","0","1","24","1","0","1","13.9","13.9","8.5%"
"13","Puka Nacua (LAR)","5","8","118","23.6","80","1","0","2","19","0","0","1","13.7","13.7","96.9%"
"14","Deebo Samuel Sr. (SF)","5","6","37","7.4","16","0","1","3","35","0","0","1","13.2","13.2","98.7%"
"15","George Pickens (PIT)","7","9","131","18.7","37","3","0","0","0","0","0","1","13.1","13.1","87.2%"
"16","Lil'Jordan Humphrey (DEN)","2","4","69","34.5","54","1","1","0","0","0","0","1","12.9","12.9","0.1%"
"17","Rashee Rice (KC)","5","6","127","25.4","67","2","0","0","0","0","0","1","12.7","12.7","88.9%"
"18","Trey Palmer (TB)","4","5","84","21.0","54","2","1","0","0","0","1","1","12.4","12.4","1.5%"
"19","Terry McLaurin (WAS)","4","7","61","15.3","42","1","1","0","0","0","0","1","12.1","12.1","90.3%"
"20","Elijah Moore (CLE)","5","6","61","12.2","24","2","1","0","0","0","0","1","12.1","12.1","23.1%"
"21","Brandin Cooks (DAL)","5","8","60","12.0","21","2","1","0","0","0","0","1","12.0","12.0","43.6%"
"22","Alec Pierce (IND)","1","1","58","58.0","58","1","1","0","0","0","0","1","11.8","11.8","2.3%"
"23","Michael Wilson (ARI)","4","6","35","8.8","13","0","1","0","0","0","0","1","11.5","11.5","6.3%"
"24","DK Metcalf (SEA)","5","8","106","21.2","33","3","0","0","0","0","0","1","10.6","10.6","98.5%"
"25","Jalen Reagor (NE)","1","3","39","39.0","39","1","0","0","0","0","0","1","9.9","9.9","0.1%"
"26","Alex Erickson (FA)","7","8","98","14.0","27","1","0","0","0","0","0","1","9.8","9.8","0.0%"
"27","Cooper Kupp (LAR)","4","6","27","6.8","8","0","1","0","0","0","0","1","8.7","8.7","98.0%"
"28","Cedrick Wilson Jr. (NO)","2","4","27","13.5","19","0","1","0","0","0","0","1","8.7","8.7","1.1%"
"29","Nico Collins (HOU)","7","8","80","11.4","21","1","0","1","7","0","0","1","8.7","8.7","95.6%"
"30","Greg Dortch (ARI)","7","7","82","11.7","36","1","0","0","0","0","0","1","8.2","8.2","4.3%"
"31","Tyreek Hill (MIA)","6","12","76","12.7","25","1","0","1","0","0","0","1","7.6","7.6","100.0%"
"32","Diontae Johnson (CAR)","4","4","76","19.0","42","1","0","0","0","0","0","1","7.6","7.6","83.2%"
"33","Jameson Williams (DET)","2","3","69","34.5","63","1","0","1","6","0","0","1","7.5","7.5","45.8%"
"34","Demarcus Robinson (LAR)","6","10","92","15.3","37","1","0","0","0","0","1","1","7.2","7.2","15.3%"
"35","DeAndre Hopkins (TEN)","7","7","72","10.3","18","0","0","0","0","0","0","1","7.2","7.2","91.9%"
"36","Jaxon Smith-Njigba (SEA)","1","2","12","12.0","12","0","1","0","0","0","0","1","7.2","7.2","76.0%"
"37","Mike Evans (TB)","3","4","70","23.3","35","2","0","0","0","0","0","1","7.0","7.0","98.1%"
"38","Gunner Olszewski (NYG)","0","0","0","0","0","0","0","0","0","0","0","1","6.0","6.0","0.0%"
"39","Justin Jefferson (MIN)","5","10","59","11.8","21","1","0","0","0","0","0","1","5.9","5.9","100.0%"
"40","Robert Woods (HOU)","4","4","58","14.5","18","0","0","0","0","0","0","1","5.8","5.8","2.7%"
"41","Drake London (ATL)","4","10","56","14.0","22","2","0","0","0","0","0","1","5.6","5.6","93.1%"
"42","Jakobi Meyers (LV)","6","10","56","9.3","14","0","0","0","0","0","0","1","5.6","5.6","73.3%"
"43","Rashod Bateman (BAL)","4","6","54","13.5","15","0","0","0","0","0","0","1","5.4","5.4","9.5%"
"44","Jerry Jeudy (CLE)","3","6","54","18.0","41","1","0","0","0","0","0","1","5.4","5.4","63.3%"
