"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","DJ Moore (CHI)","8","10","230","28.8","58","5","3","0","0","0","0","1","41.0","41.0","97.6%"
"2","Ja'Marr Chase (CIN)","15","19","192","12.8","63","1","3","0","0","0","0","1","37.2","37.2","99.4%"
"3","Tyreek Hill (MIA)","8","9","181","22.6","69","2","1","0","0","0","0","1","24.1","24.1","100.0%"
"4","George Pickens (PIT)","6","10","130","21.7","41","4","1","1","16","0","0","1","20.6","20.6","87.2%"
"5","Adam Thielen (CAR)","11","13","107","9.7","30","1","1","0","0","0","0","1","16.7","16.7","71.9%"
"6","Stefon Diggs (HOU)","8","11","121","15.1","48","1","1","0","0","0","1","1","16.1","16.1","99.7%"
"7","Gabe Davis (JAC)","6","8","100","16.7","29","2","1","0","0","0","0","1","16.0","16.0","53.0%"
"8","DeAndre Hopkins (TEN)","8","11","140","17.5","36","3","0","0","0","0","0","1","14.0","14.0","91.9%"
"9","Josh Reynolds (DEN)","4","5","76","19.0","27","3","1","0","0","0","0","1","13.6","13.6","7.3%"
"10","Calvin Ridley (TEN)","7","8","122","17.4","32","2","0","2","14","0","0","1","13.6","13.6","95.0%"
"11","Jakobi Meyers (LV)","7","10","75","10.7","18","0","1","1","0","0","0","1","13.5","13.5","73.3%"
"12","Puka Nacua (LAR)","7","11","71","10.1","22","1","1","0","0","0","0","1","13.1","13.1","96.9%"
"13","A.J. Brown (PHI)","6","8","127","21.2","38","3","0","0","0","0","0","1","12.7","12.7","99.9%"
"14","Curtis Samuel (BUF)","6","7","65","10.8","25","1","1","0","0","0","0","1","12.5","12.5","51.0%"
"15","Jordan Addison (MIN)","6","9","64","10.7","16","0","1","0","0","0","0","1","12.4","12.4","88.3%"
"16","Hollywood Brown (KC)","4","10","61","15.3","25","1","1","0","0","0","0","1","12.1","12.1","79.0%"
"17","Cooper Kupp (LAR)","8","12","118","14.8","39","1","0","0","0","0","0","1","11.8","11.8","98.0%"
"18","DJ Chark Jr. (LAC)","3","6","42","14.0","18","0","1","0","0","0","0","1","10.2","10.2","4.7%"
"19","Josh Downs (IND)","6","6","97","16.2","38","2","0","0","0","0","0","1","9.7","9.7","26.8%"
"20","Jaylen Waddle (MIA)","5","10","35","7.0","20","1","1","0","0","0","0","1","9.5","9.5","96.3%"
"21","Rashee Rice (KC)","4","5","33","8.3","13","0","1","0","0","0","0","1","9.3","9.3","88.9%"
"22","Drake London (ATL)","6","9","78","13.0","32","2","0","0","0","0","0","1","8.7","8.7","93.1%"
"23","Christian Watson (GB)","3","7","91","30.3","77","1","0","1","-5","0","0","1","8.6","8.6","74.8%"
"24","KaVontae Turpin (DAL)","1","1","26","26.0","26","1","1","0","0","0","0","1","8.6","8.6","0.7%"
"25","Deebo Samuel Sr. (SF)","3","3","55","18.3","42","1","0","5","30","0","0","1","8.5","8.5","98.7%"
"26","Christian Kirk (JAC)","6","8","78","13.0","30","2","0","1","6","0","0","1","8.4","8.4","70.8%"
"27","Zay Jones (ARI)","3","5","23","7.7","10","0","1","0","0","0","0","1","8.3","8.3","15.4%"
"28","Rondale Moore (ATL)","3","5","26","8.7","19","0","0","3","50","0","0","1","7.6","7.6","5.2%"
"29","Zay Flowers (BAL)","5","11","73","14.6","29","2","0","0","0","0","0","1","7.3","7.3","91.9%"
"30","Chris Olave (NO)","2","5","12","6.0","7","0","1","0","0","0","0","1","7.2","7.2","98.8%"
"31","Tutu Atwell (LAR)","2","5","9","4.5","6","0","1","0","0","0","0","1","6.9","6.9","9.3%"
"32","Michael Thomas (FA)","4","7","65","16.3","26","1","0","0","0","0","0","1","6.5","6.5","17.0%"
"33","Nelson Agholor (BAL)","4","5","64","16.0","30","1","0","0","0","0","0","1","6.4","6.4","0.8%"
"34","Deonte Harty (BAL)","2","2","62","31.0","43","1","0","0","0","0","0","1","6.2","6.2","0.1%"
"35","Trenton Irwin (CIN)","8","10","60","7.5","13","0","0","0","0","0","0","1","6.0","6.0","0.6%"
"36","Brandon Aiyuk (SF)","4","7","58","14.5","23","1","0","0","0","0","0","1","5.8","5.8","98.2%"
"37","Justin Watson (KC)","2","3","56","28.0","33","2","0","0","0","0","0","1","5.6","5.6","1.7%"
"38","Garrett Wilson (NYJ)","3","7","54","18.0","32","1","0","0","0","0","0","1","5.4","5.4","97.8%"
"39","Tank Dell (HOU)","3","4","57","19.0","29","2","0","2","-4","0","0","1","5.3","5.3","60.3%"
"40","Cedrick Wilson Jr. (NO)","4","4","52","13.0","23","1","0","0","0","0","0","1","5.2","5.2","1.1%"
"41","Michael Pittman Jr. (IND)","5","7","52","10.4","27","1","0","0","0","0","0","1","5.2","5.2","97.1%"
"42","Brandon Powell (MIN)","4","6","43","10.8","26","1","0","1","9","0","0","1","5.2","5.2","0.7%"
"43","Jerry Jeudy (CLE)","6","7","50","8.3","23","2","0","0","0","0","0","1","5.0","5.0","63.3%"
"44","Terry McLaurin (WAS)","4","5","49","12.3","32","1","0","0","0","0","0","1","4.9","4.9","90.3%"
"45","K.J. Osborn (NE)","5","9","49","9.8","27","1","0","0","0","0","0","1","4.9","4.9","15.3%"
"46","CeeDee Lamb (DAL)","4","5","49","12.3","29","1","0","0","0","0","0","1","4.9","4.9","100.0%"
"47","Jonathan Mingo (CAR)","5","7","48","9.6","13","0","0","0","0","0","0","1","4.8","4.8","7.0%"
"48","Kalif Raymond (DET)","3","3","45","15.0","23","1","0","0","0","0","0","1","4.5","4.5","1.3%"
"49","Davante Adams (LV)","4","4","45","11.3","21","1","0","0","0","0","0","1","4.5","4.5","99.9%"
"50","Kendrick Bourne (NE)","2","5","43","21.5","28","1","0","0","0","0","0","1","4.3","4.3","4.2%"
"51","Nico Collins (HOU)","3","4","39","13.0","25","1","0","0","0","0","0","1","3.9","3.9","95.6%"
"52","Tyler Boyd (TEN)","6","7","39","6.5","14","0","0","0","0","0","0","1","3.9","3.9","28.1%"
"53","Darius Slayton (NYG)","2","4","35","17.5","20","1","0","0","0","0","0","1","3.5","3.5","2.6%"
"54","Allen Lazard (NYJ)","3","4","33","11.0","12","0","0","0","0","0","0","1","3.3","3.3","4.7%"
"55","Robert Woods (HOU)","3","9","30","10.0","13","0","0","0","0","0","0","1","3.0","3.0","2.7%"
"56","Jahan Dotson (WAS)","3","5","30","10.0","14","0","0","0","0","0","0","1","3.0","3.0","31.0%"
"57","Allen Robinson II (NYG)","5","9","29","5.8","10","0","0","0","0","0","0","1","2.9","2.9","0.6%"
"58","Mack Hollins (BUF)","2","2","29","14.5","19","0","0","0","0","0","0","1","2.9","2.9","0.2%"
"59","Justyn Ross (KC)","2","4","28","14.0","20","1","0","0","0","0","0","1","2.8","2.8","0.1%"
"60","Justin Jefferson (MIN)","3","6","28","9.3","14","0","0","0","0","0","0","1","2.8","2.8","100.0%"
"61","Rashid Shaheed (NO)","2","2","28","14.0","25","1","0","0","0","0","0","1","2.8","2.8","50.9%"
"62","Kadarius Toney (KC)","5","6","26","5.2","9","0","0","1","1","0","0","1","2.7","2.7","5.9%"
"63","Laviska Shenault Jr. (SEA)","0","0","0","0","0","0","0","5","27","0","0","1","2.7","2.7","0.1%"
"64","DeMario Douglas (NE)","1","2","24","24.0","24","1","0","0","0","0","0","1","2.4","2.4","23.0%"
"65","Parris Campbell (PHI)","2","2","23","11.5","17","0","0","0","0","0","0","1","2.3","2.3","0.7%"
"66","Marvin Jones Jr. (FA)","2","2","22","11.0","16","0","0","0","0","0","0","1","2.2","2.2","0.1%"
"67","Jamison Crowder (WAS)","2","2","21","10.5","11","0","0","0","0","0","0","1","2.1","2.1","0.3%"
"68","John Metchie III (HOU)","2","2","20","10.0","14","0","0","0","0","0","0","1","2.0","2.0","0.8%"
"69","DeVante Parker (FA)","2","4","20","10.0","14","0","0","0","0","0","0","1","2.0","2.0","1.7%"
"70","Jauan Jennings (SF)","1","1","19","19.0","19","0","0","0","0","0","0","1","1.9","1.9","0.6%"
"71","Isaiah Hodgins (NYG)","2","2","19","9.5","15","0","0","0","0","0","0","1","1.9","1.9","0.6%"
"72","Wan'Dale Robinson (NYG)","5","6","18","3.6","7","0","0","1","1","0","0","1","1.9","1.9","8.5%"
"73","Michael Wilson (ARI)","1","2","18","18.0","18","0","0","0","0","0","0","1","1.8","1.8","6.3%"
"74","Tre Tucker (LV)","0","1","0","0","0","0","0","1","16","0","0","1","1.6","1.6","0.6%"
"75","Michael Gallup (FA)","2","5","15","7.5","8","0","0","0","0","0","0","1","1.5","1.5","6.3%"
"76","Braxton Berrios (MIA)","2","2","13","6.5","13","0","0","0","0","0","0","1","1.3","1.3","1.2%"
"77","Courtland Sutton (DEN)","1","3","13","13.0","13","0","0","0","0","0","0","1","1.3","1.3","83.0%"
"78","Sterling Shepard (TB)","1","2","13","13.0","13","0","0","0","0","0","0","1","1.3","1.3","0.1%"
"79","Odell Beckham Jr. (MIA)","2","4","13","6.5","7","0","0","0","0","0","0","1","1.3","1.3","32.9%"
"80","Brandin Cooks (DAL)","1","4","7","7.0","7","0","0","1","6","0","0","1","1.3","1.3","43.6%"
"81","Marquez Valdes-Scantling (BUF)","1","2","12","12.0","12","0","0","0","0","0","0","1","1.2","1.2","1.2%"
"82","Dyami Brown (WAS)","1","3","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","0.1%"
"83","Skyy Moore (KC)","2","2","11","5.5","7","0","0","0","0","0","0","1","1.1","1.1","6.4%"
"84","KhaDarel Hodge (ATL)","1","1","11","11.0","11","0","0","1","0","0","0","1","1.1","1.1","0.1%"
"85","Khalil Shakir (BUF)","1","1","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","13.3%"
"86","Alec Pierce (IND)","1","2","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","2.3%"
"87","Dontayvion Wicks (GB)","1","1","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","7.1%"
"88","Scotty Miller (PIT)","2","2","10","5.0","7","0","0","0","0","0","0","1","1.0","1.0","0.1%"
"89","Byron Pringle (FA)","1","2","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","0.0%"
"90","Andrei Iosivas (CIN)","1","2","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.4%"
"91","Brandon Johnson (DEN)","1","1","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","2.0%"
"92","Nick Westbrook-Ikhine (TEN)","1","3","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.2%"
"93","Rashod Bateman (BAL)","1","3","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","9.5%"
"94","Jayden Reed (GB)","1","2","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","77.3%"
"95","Hunter Renfrow (FA)","1","2","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","0.6%"
"96","JuJu Smith-Schuster (NE)","3","4","6","2.0","3","0","0","0","0","0","0","1","0.6","0.6","6.9%"
"97","DeVonta Smith (PHI)","1","5","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","98.0%"
"98","Isaiah McKenzie (NYG)","0","0","0","0","0","0","0","1","4","0","0","1","0.4","0.4","0.1%"
"99","Romeo Doubs (GB)","1","4","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","44.3%"
"100","Quez Watkins (PIT)","2","3","4","2.0","5","0","0","0","0","0","0","1","0.4","0.4","0.1%"
"101","Trent Sherfield Sr. (MIN)","1","1","3","3.0","3","0","0","0","0","0","0","1","0.3","0.3","0.1%"
"102","DeAndre Carter (CHI)","0","1","0","0","0","0","0","2","3","0","0","1","0.3","0.3","0.0%"
