"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","New Orleans Saints (NO)","4","0","2","3","1","0","0","1","21.0","21.0","63.8%"
"2","Minnesota Vikings (MIN)","4","1","2","1","0","0","0","1","20.0","20.0","11.6%"
"3","Chicago Bears (CHI)","4","2","1","1","0","0","0","1","14.0","14.0","31.0%"
"4","Denver Broncos (DEN)","6","1","1","2","0","0","0","1","14.0","14.0","34.5%"
"5","Cleveland Browns (CLE)","4","3","1","1","0","0","0","1","12.0","12.0","94.3%"
"6","Las Vegas Raiders (LV)","5","0","0","0","0","0","0","1","12.0","12.0","21.8%"
"7","New York Jets (NYJ)","5","0","0","0","0","0","0","1","12.0","12.0","82.8%"
"8","Miami Dolphins (MIA)","1","1","2","1","1","0","0","1","12.0","12.0","69.0%"
"9","Cincinnati Bengals (CIN)","3","1","1","0","0","0","0","1","11.0","11.0","48.7%"
"10","Dallas Cowboys (DAL)","1","0","3","3","0","0","0","1","11.0","11.0","93.2%"
"11","Philadelphia Eagles (PHI)","3","0","1","1","1","0","0","1","10.0","10.0","50.8%"
"12","San Francisco 49ers (SF)","4","2","0","0","0","0","0","1","9.0","9.0","98.1%"
"13","Tennessee Titans (TEN)","5","0","1","1","0","0","0","1","9.0","9.0","3.5%"
"14","New York Giants (NYG)","2","1","2","1","0","0","0","1","8.0","8.0","3.1%"
"15","Baltimore Ravens (BAL)","2","0","0","0","0","0","1","1","7.0","7.0","87.6%"
"16","Indianapolis Colts (IND)","0","1","0","0","1","0","0","1","7.0","7.0","24.5%"
"17","Tampa Bay Buccaneers (TB)","3","1","0","2","0","1","0","1","7.0","7.0","20.7%"
"18","Seattle Seahawks (SEA)","3","1","1","1","0","0","0","1","6.0","6.0","27.1%"
"19","Jacksonville Jaguars (JAC)","1","1","2","2","0","0","0","1","6.0","6.0","47.1%"
"20","Buffalo Bills (BUF)","1","1","1","1","0","0","0","1","6.0","6.0","62.6%"
"21","Kansas City Chiefs (KC)","3","1","0","0","0","0","0","1","6.0","6.0","76.9%"
"22","New England Patriots (NE)","2","1","0","0","0","0","0","1","5.0","5.0","13.3%"
"23","Houston Texans (HOU)","4","0","1","1","0","0","0","1","5.0","5.0","29.8%"
"24","Green Bay Packers (GB)","0","0","2","0","0","0","0","1","4.0","4.0","26.0%"
"25","Detroit Lions (DET)","3","0","0","0","0","0","0","1","4.0","4.0","44.0%"
"26","Pittsburgh Steelers (PIT)","2","1","0","0","0","0","0","1","4.0","4.0","76.5%"
"27","Los Angeles Chargers (LAC)","2","1","0","0","0","0","0","1","4.0","4.0","16.6%"
"28","Carolina Panthers (CAR)","1","1","0","0","0","0","0","1","3.0","3.0","2.9%"
"29","Los Angeles Rams (LAR)","2","1","0","0","0","1","0","1","2.0","2.0","21.1%"
"30","Arizona Cardinals (ARI)","0","0","0","0","0","0","0","0","0","0","0.8%"
"31","Atlanta Falcons (ATL)","1","0","0","1","0","0","0","1","0.0","0.0","16.5%"
"32","Washington Commanders (WAS)","0","0","0","0","0","0","0","0","0","0","8.1%"
""
""
