"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","DeAndre Hopkins (TEN)","4","6","128","32.0","61","2","3","0","0","0","0","1","30.8","30.8","91.9%"
"2","CeeDee Lamb (DAL)","12","14","158","13.2","26","4","2","1","12","0","0","1","29.0","29.0","100.0%"
"3","A.J. Brown (PHI)","8","8","130","16.3","25","3","2","0","0","0","0","1","25.0","25.0","99.9%"
"4","Rashid Shaheed (NO)","3","3","153","51.0","58","3","1","0","0","0","0","1","21.3","21.3","50.9%"
"5","Jaylen Waddle (MIA)","7","12","121","17.3","31","2","1","0","0","0","0","1","18.1","18.1","96.3%"
"6","Tyreek Hill (MIA)","8","13","112","14.0","42","2","1","0","0","0","0","1","17.2","17.2","100.0%"
"7","Jahan Dotson (WAS)","8","10","108","13.5","23","2","1","0","0","0","0","1","16.8","16.8","31.0%"
"8","DeVonta Smith (PHI)","7","7","99","14.1","38","1","1","0","0","0","0","1","15.9","15.9","98.0%"
"9","Jamison Crowder (WAS)","7","7","95","13.6","26","1","1","0","0","0","0","1","15.5","15.5","0.3%"
"10","Ja'Marr Chase (CIN)","10","12","100","10.0","20","1","1","2","-8","0","0","1","15.2","15.2","99.4%"
"11","Gabe Davis (JAC)","9","12","87","9.7","16","0","1","0","0","0","0","1","14.7","14.7","53.0%"
"12","Jordan Addison (MIN)","7","8","82","11.7","20","2","1","1","2","0","0","1","14.4","14.4","88.3%"
"13","Tyler Lockett (SEA)","8","9","81","10.1","17","0","1","0","0","0","0","1","14.1","14.1","88.4%"
"14","Chris Godwin (TB)","5","7","54","10.8","31","1","1","1","14","0","0","1","12.8","12.8","90.3%"
"15","Terry McLaurin (WAS)","5","12","63","12.6","26","1","1","0","0","0","0","1","12.3","12.3","90.3%"
"16","Brandin Cooks (DAL)","3","4","49","16.3","25","1","1","1","3","0","0","1","11.2","11.2","43.6%"
"17","Jerry Jeudy (CLE)","2","6","50","25.0","39","1","1","0","0","0","0","1","11.0","11.0","63.3%"
"18","Brandon Aiyuk (SF)","5","9","109","21.8","31","3","0","0","0","0","0","1","10.9","10.9","98.2%"
"19","Amon-Ra St. Brown (DET)","6","9","108","18.0","44","2","0","0","0","0","0","1","10.8","10.8","100.0%"
"20","Tyler Boyd (TEN)","3","3","40","13.3","22","1","1","1","6","0","0","1","10.6","10.6","28.1%"
