"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"1","Jalen Thompson (ARI)","8","0","1","1","1","0","0","0","1","25.0","25.0","16.3%"
"2","Trent McDuffie (KC)","4","0","2","1","0","1","0","0","1","24.5","24.5","31.4%"
"3","Rasul Douglas (BUF)","2","2","0","3","2","0","1","0","1","23.0","23.0","7.4%"
"4","Xavier McKinney (GB)","8","5","0","0","0","0","1","0","1","22.3","22.3","35.2%"
"5","Kevin Byard III (CHI)","8","0","0","2","1","0","0","0","1","20.0","20.0","27.6%"
"6","Antoine Winfield Jr. (TB)","9","7","0","0","0","0","0","0","1","18.8","18.8","70.6%"
"7","D.J. Reed Jr. (NYJ)","9","0","0","0","0","0","0","0","1","18.5","18.5","9.7%"
"8","Nate Hobbs (LV)","6","2","0","1","0","1","0","0","1","18.5","18.5","32.3%"
"9","Charvarius Ward (SF)","8","1","0","2","0","0","0","0","1","18.3","18.3","29.5%"
"10","DaRon Bland (DAL)","2","3","0","1","1","0","0","1","1","17.8","17.8","41.2%"
"11","Devon Witherspoon (SEA)","5","3","1","1","0","0","0","0","1","17.8","17.8","42.2%"
"12","Brian Branch (DET)","4","2","0","1","0","0","0","0","1","16.5","16.5","37.8%"
"13","Quandre Diggs (FA)","8","5","0","0","0","0","0","0","1","15.8","15.8","2.6%"
"14","Jordan Battle (CIN)","10","1","0","0","0","0","0","0","1","15.8","15.8","10.0%"
"15","Troy Hill (CAR)","3","5","0","3","0","0","0","0","1","15.3","15.3","1.8%"
"16","Antonio Hamilton Sr. (ATL)","3","1","0","3","1","0","0","0","1","14.8","14.8","0.5%"
"17","Derek Stingley Jr. (HOU)","3","3","0","2","1","0","0","0","1","14.8","14.8","10.6%"
"18","Isaiah Pola-Mao (LV)","4","3","0","1","1","0","0","0","1","14.8","14.8","0.1%"
"19","Xavien Howard (FA)","6","2","0","1","0","0","0","0","1","14.5","14.5","1.3%"
"20","Jalen Ramsey (MIA)","1","0","0","2","2","0","0","0","1","14.5","14.5","16.5%"
"21","Ji'Ayir Brown (SF)","2","2","0","3","1","0","0","0","1","14.0","14.0","6.0%"
"22","Derion Kendrick (LAR)","3","0","0","3","1","0","0","0","1","14.0","14.0","0.5%"
"23","Alohi Gilman (LAC)","6","3","0","0","0","0","0","0","1","13.8","13.8","10.5%"
"24","Cameron Sutton (PIT)","4","1","0","0","0","1","0","0","1","13.3","13.3","0.1%"
"25","Mike Hilton (CIN)","4","1","1","0","0","0","0","0","1","13.3","13.3","10.3%"
"26","Justin Reid (KC)","7","0","0","0","0","0","0","0","1","13.0","13.0","32.5%"
"27","Ja'Quan McMillian (DEN)","1","1","0","1","1","0","1","0","1","12.8","12.8","1.0%"
"28","Tre'von Moehrig (LV)","7","3","0","0","0","0","0","0","1","12.8","12.8","4.9%"
"29","Dax Hill (CIN)","6","1","0","0","0","0","0","0","1","12.3","12.3","15.2%"
"30","Keisean Nixon (GB)","6","1","0","0","0","0","0","0","1","12.3","12.3","23.8%"
"31","Markquese Bell (DAL)","6","4","0","0","0","0","0","0","1","12.0","12.0","9.5%"
"32","Marcus Williams (BAL)","5","2","0","2","0","0","0","0","1","12.0","12.0","6.1%"
"33","Riq Woolen (SEA)","2","1","0","2","1","0","0","0","1","11.8","11.8","4.0%"
"34","Terrell Edmunds (JAC)","3","1","1","0","0","0","0","0","1","11.8","11.8","1.0%"
"35","L'Jarius Sneed (TEN)","2","1","0","2","1","0","0","0","1","11.8","11.8","46.8%"
"36","Mekhi Blackmon (MIN)","5","2","0","0","0","0","0","0","1","11.5","11.5","0.9%"
"37","Grant Delpit (CLE)","6","0","0","0","0","0","0","0","1","11.5","11.5","20.5%"
"38","Bradley Roby (FA)","5","0","0","0","0","1","0","0","1","11.5","11.5","0.0%"
"39","Quentin Lake (LAR)","7","1","0","0","0","0","0","0","1","11.3","11.3","3.5%"
"40","Kareem Jackson (FA)","6","3","0","0","0","0","0","0","1","11.3","11.3","0.6%"
"41","Trenton Thompson (FA)","5","1","0","2","0","0","0","0","1","11.3","11.3","0.1%"
