"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","D'Onta Foreman (CLE)","16","89","5.6","14","0","2","3","5","31","10.3","1","0","1","30.0","30.0","19.5%"
"2","Gus Edwards (LAC)","14","64","4.6","20","1","1","1","1","80","80.0","0","0","1","20.4","20.4","80.5%"
"3","Travis Etienne Jr. (JAC)","14","53","3.8","17","0","2","3","5","24","8.0","0","0","1","19.7","19.7","99.7%"
"4","Christian McCaffrey (SF)","15","45","3.0","9","0","1","3","3","51","17.0","1","1","1","19.6","19.6","100.0%"
"5","Jahmyr Gibbs (DET)","11","68","6.2","21","1","1","9","10","58","6.4","0","0","1","18.6","18.6","99.3%"
"6","Jonathan Taylor (IND)","18","75","4.2","24","1","1","3","4","45","15.0","0","0","1","18.0","18.0","98.8%"
"7","Alvin Kamara (NO)","17","62","3.6","17","0","0","12","14","91","7.6","0","0","1","17.3","17.3","98.2%"
"8","James Cook (BUF)","13","56","4.3","20","1","0","3","3","46","15.3","1","0","1","16.2","16.2","97.8%"
"9","Saquon Barkley (PHI)","21","77","3.7","12","0","0","3","4","41","13.7","1","1","1","15.8","15.8","100.0%"
"10","Jerome Ford (CLE)","11","74","6.7","69","1","1","2","4","20","10.0","0","0","1","15.4","15.4","81.5%"
"11","Kareem Hunt (FA)","10","31","3.1","11","0","2","0","1","0","0","0","0","1","15.1","15.1","27.2%"
"12","Joshua Kelley (FA)","7","75","10.7","49","1","1","0","0","0","0","0","0","1","13.5","13.5","6.6%"
"13","Najee Harris (PIT)","14","53","3.8","10","0","1","3","3","15","5.0","0","0","1","12.8","12.8","91.3%"
"14","Darrell Henderson Jr. (FA)","18","61","3.4","16","0","1","1","2","5","5.0","0","0","1","12.6","12.6","5.0%"
"15","Isiah Pacheco (KC)","13","32","2.5","6","0","0","4","4","28","7.0","1","0","1","12.0","12.0","97.8%"
"16","Tyler Allgeier (ATL)","21","59","2.8","12","0","0","3","3","53","17.7","0","0","1","11.2","11.2","51.9%"
"17","Kenneth Walker III (SEA)","26","105","4.0","25","1","0","2","3","6","3.0","0","0","1","11.1","11.1","97.1%"
"18","Rachaad White (TB)","13","34","2.6","13","0","0","6","6","65","10.8","0","0","1","9.9","9.9","97.5%"
"19","Javonte Williams (DEN)","15","82","5.5","21","1","0","3","4","14","4.7","0","0","1","9.6","9.6","89.2%"
"20","AJ Dillon (GB)","15","61","4.1","15","0","0","2","2","34","17.0","0","0","1","9.5","9.5","34.7%"
"21","Ezekiel Elliott (DAL)","11","31","2.8","10","0","1","0","1","0","0","0","0","1","9.1","9.1","81.3%"
"22","Jaylen Warren (PIT)","6","32","5.3","13","0","1","1","2","-1","-1.0","0","0","1","9.1","9.1","84.7%"
"23","Rhamondre Stevenson (NE)","9","34","3.8","14","0","0","6","6","51","8.5","0","0","1","8.5","8.5","85.2%"
"24","Brian Robinson Jr. (WAS)","8","23","2.9","6","0","1","0","1","0","0","0","0","1","8.3","8.3","86.0%"
"25","Kenneth Gainwell (PHI)","8","16","2.0","5","0","1","0","0","0","0","0","0","1","7.6","7.6","14.8%"
"26","Emari Demercado (ARI)","13","58","4.5","18","0","0","4","5","17","4.3","0","0","1","7.5","7.5","2.1%"
"27","D'Andre Swift (CHI)","15","62","4.1","22","1","0","3","3","13","4.3","0","0","1","7.5","7.5","94.0%"
"28","Royce Freeman (DAL)","12","66","5.5","15","0","0","0","0","0","0","0","0","1","6.6","6.6","3.2%"
"29","Zack Moss (CIN)","18","57","3.2","21","1","0","1","2","5","5.0","0","0","1","6.2","6.2","75.0%"
"30","Cam Akers (HOU)","10","31","3.1","13","0","0","2","3","30","15.0","0","0","1","6.1","6.1","9.2%"
"31","Aaron Jones (MIN)","8","35","4.4","11","0","0","3","5","22","7.3","0","0","1","5.7","5.7","93.9%"
