"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Tyreek Hill (MIA)","6","10","163","27.2","47","4","1","0","0","0","0","1","22.3","22.3","100.0%"
"2","Cooper Kupp (LAR)","7","9","148","21.1","49","3","1","0","0","0","0","1","20.8","20.8","98.0%"
"3","Amon-Ra St. Brown (DET)","12","15","124","10.3","27","2","1","0","0","0","0","1","18.4","18.4","100.0%"
"4","Adam Thielen (CAR)","11","13","115","10.5","27","1","1","0","0","0","0","1","17.5","17.5","71.9%"
"5","Rashid Shaheed (NO)","2","6","85","42.5","51","2","1","2","18","0","0","1","16.3","16.3","50.9%"
"6","Keenan Allen (CHI)","7","11","85","12.1","23","2","1","0","0","0","0","1","14.5","14.5","91.0%"
"7","A.J. Brown (PHI)","7","9","131","18.7","49","2","0","0","0","0","0","1","13.1","13.1","99.9%"
"8","Drake London (ATL)","9","12","125","13.9","32","2","0","0","0","0","0","1","12.5","12.5","93.1%"
"9","Jakobi Meyers (LV)","5","7","61","12.2","16","0","1","0","0","0","0","1","12.1","12.1","73.3%"
"10","CeeDee Lamb (DAL)","7","7","117","16.7","23","2","0","0","0","0","0","1","11.7","11.7","100.0%"
"11","Jameson Williams (DET)","2","3","53","26.5","45","1","1","0","0","0","0","1","11.3","11.3","45.8%"
"12","Zay Flowers (BAL)","6","8","50","8.3","14","0","1","1","1","0","0","1","11.1","11.1","91.9%"
"13","Jaylen Waddle (MIA)","7","9","51","7.3","17","0","1","0","0","0","0","1","11.1","11.1","96.3%"
"14","Brandin Cooks (DAL)","4","4","36","9.0","17","0","1","1","14","0","0","1","11.0","11.0","43.6%"
"15","Christian Kirk (JAC)","3","6","49","16.3","29","1","1","0","0","0","0","1","10.9","10.9","70.8%"
"16","Michael Pittman Jr. (IND)","9","14","109","12.1","40","1","0","0","0","0","0","1","10.9","10.9","97.1%"
"17","Amari Cooper (CLE)","4","8","108","27.0","58","2","0","0","0","0","0","1","10.8","10.8","91.6%"
"18","Courtland Sutton (DEN)","4","6","46","11.5","21","1","1","0","0","0","0","1","10.6","10.6","83.0%"
"19","Curtis Samuel (BUF)","4","4","42","10.5","16","0","1","1","0","0","0","1","10.2","10.2","51.0%"
"20","Stefon Diggs (HOU)","10","16","100","10.0","28","1","0","0","0","0","0","1","10.0","10.0","99.7%"
"21","Tyler Boyd (TEN)","7","7","38","5.4","9","0","1","0","0","0","0","1","9.8","9.8","28.1%"
"22","Chris Olave (NO)","7","10","96","13.7","24","1","0","0","0","0","0","1","9.6","9.6","98.8%"
"23","Tyler Lockett (SEA)","6","8","94","15.7","36","2","0","0","0","0","0","1","9.4","9.4","88.4%"
"24","Kendrick Bourne (NE)","10","11","89","8.9","36","1","0","1","4","0","0","1","9.3","9.3","4.2%"
"25","Garrett Wilson (NYJ)","8","12","90","11.3","33","1","0","0","0","0","0","1","9.0","9.0","97.8%"
"26","Jordan Addison (MIN)","3","5","28","9.3","15","0","1","0","0","0","0","1","8.8","8.8","88.3%"
"27","Josh Downs (IND)","5","8","21","4.2","9","0","1","0","0","0","0","1","8.1","8.1","26.8%"
"28","Terry McLaurin (WAS)","6","11","81","13.5","22","1","0","0","0","0","0","1","8.1","8.1","90.3%"
"29","Nico Collins (HOU)","4","6","80","20.0","28","2","0","0","0","0","0","1","8.0","8.0","95.6%"
"30","Ja'Marr Chase (CIN)","6","13","80","13.3","31","2","0","0","0","0","0","1","8.0","8.0","99.4%"
"31","Chris Godwin (TB)","6","7","77","12.8","23","1","0","0","0","0","0","1","7.7","7.7","90.3%"
"32","Brandon Aiyuk (SF)","4","10","76","19.0","33","2","0","0","0","0","0","1","7.6","7.6","98.2%"
"33","Rashee Rice (KC)","4","4","72","18.0","28","2","0","0","0","0","0","1","7.2","7.2","88.9%"
"34","DK Metcalf (SEA)","4","9","69","17.3","30","1","0","0","0","0","0","1","6.9","6.9","98.5%"
"35","Darius Slayton (NYG)","4","6","69","17.3","31","2","0","0","0","0","0","1","6.9","6.9","2.6%"
"36","Robert Woods (HOU)","1","3","6","6.0","6","0","1","0","0","0","0","1","6.6","6.6","2.7%"
"37","Kadarius Toney (KC)","3","6","9","3.0","5","0","1","2","-5","0","0","1","6.4","6.4","5.9%"
"38","Andrei Iosivas (CIN)","1","1","3","3.0","3","0","1","0","0","0","0","1","6.3","6.3","0.4%"
"39","Deonte Harty (BAL)","1","1","3","3.0","3","0","1","0","0","0","0","1","6.3","6.3","0.1%"
"40","Michael Wilson (ARI)","3","4","62","20.7","26","1","0","0","0","0","0","1","6.2","6.2","6.3%"
"41","Wan'Dale Robinson (NYG)","8","8","62","7.8","13","0","0","0","0","0","0","1","6.2","6.2","8.5%"
"42","Tre Tucker (LV)","2","2","57","28.5","48","1","0","1","4","0","0","1","6.1","6.1","0.6%"
"43","Joshua Palmer (LAC)","4","7","60","15.0","26","1","0","0","0","0","0","1","6.0","6.0","24.5%"
"44","DJ Moore (CHI)","5","8","51","10.2","24","1","0","0","0","0","0","1","5.1","5.1","97.6%"
"45","Josh Reynolds (DEN)","3","3","50","16.7","21","2","0","0","0","0","0","1","5.0","5.0","7.3%"
"46","Mike Evans (TB)","4","10","49","12.3","18","0","0","0","0","0","0","1","4.9","4.9","98.1%"
"47","K.J. Osborn (NE)","4","5","48","12.0","21","1","0","0","0","0","0","1","4.8","4.8","15.3%"
"48","Darnell Mooney (ATL)","2","3","48","24.0","39","1","0","0","0","0","0","1","4.8","4.8","37.7%"
"49","Jaxon Smith-Njigba (SEA)","4","5","48","12.0","18","0","0","0","0","0","0","1","4.8","4.8","76.0%"
"50","Trey Palmer (TB)","2","7","47","23.5","26","2","0","0","0","0","0","1","4.7","4.7","1.5%"
"51","Michael Thomas (FA)","5","8","45","9.0","16","0","0","0","0","0","0","1","4.5","4.5","17.0%"
"52","DeVonta Smith (PHI)","5","11","44","8.8","22","1","0","0","0","0","0","1","4.4","4.4","98.0%"
"53","Jake Bobo (SEA)","2","2","43","21.5","23","2","0","0","0","0","0","1","4.3","4.3","0.3%"
"54","Mack Hollins (BUF)","3","4","41","13.7","18","0","0","0","0","0","0","1","4.1","4.1","0.2%"
"55","Nelson Agholor (BAL)","2","3","40","20.0","21","1","0","0","0","0","0","1","4.0","4.0","0.8%"
"56","Noah Brown (HOU)","2","5","37","18.5","34","1","0","0","0","0","0","1","3.7","3.7","23.4%"
"57","Odell Beckham Jr. (MIA)","2","4","34","17.0","32","1","0","0","0","0","0","1","3.4","3.4","32.9%"
"58","Hollywood Brown (KC)","4","11","34","8.5","22","1","0","0","0","0","0","1","3.4","3.4","79.0%"
"59","Tutu Atwell (LAR)","1","1","30","30.0","30","1","0","0","0","0","0","1","3.0","3.0","9.3%"
"60","Davante Adams (LV)","2","5","29","14.5","21","1","0","0","0","0","0","1","2.9","2.9","99.9%"
"61","Ray-Ray McCloud III (ATL)","1","2","4","4.0","4","0","0","2","23","0","0","1","2.7","2.7","0.6%"
"62","Elijah Moore (CLE)","4","7","19","4.8","9","0","0","1","8","0","0","1","2.7","2.7","23.1%"
"63","Puka Nacua (LAR)","4","7","26","6.5","9","0","0","0","0","0","0","1","2.6","2.6","96.9%"
"64","DJ Chark Jr. (LAC)","3","6","26","8.7","24","1","0","0","0","0","0","1","2.6","2.6","4.7%"
"65","Kalif Raymond (DET)","3","3","23","7.7","12","0","0","1","3","0","0","1","2.6","2.6","1.3%"
"66","Jauan Jennings (SF)","2","4","26","13.0","17","0","0","0","0","0","0","1","2.6","2.6","0.6%"
"67","Calvin Ridley (TEN)","4","8","30","7.5","10","0","0","1","-4","0","0","1","2.6","2.6","95.0%"
"68","Rondale Moore (ATL)","4","7","30","7.5","9","0","0","3","-4","0","0","1","2.6","2.6","5.2%"
"69","Nick Westbrook-Ikhine (TEN)","3","4","25","8.3","10","0","0","0","0","0","0","1","2.5","2.5","0.2%"
"70","Alec Pierce (IND)","3","6","25","8.3","14","0","0","0","0","0","0","1","2.5","2.5","2.3%"
