"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Los Angeles Chargers (LAC)","5","0","1","2","0","0","0","1","17.0","17.0","16.6%"
"2","Indianapolis Colts (IND)","6","0","2","3","0","0","1","1","17.0","17.0","24.5%"
"3","Atlanta Falcons (ATL)","4","1","2","4","0","0","0","1","14.0","14.0","16.5%"
"4","Miami Dolphins (MIA)","3","1","0","1","1","0","0","1","12.0","12.0","69.0%"
"5","Houston Texans (HOU)","3","3","0","0","0","0","0","1","10.0","10.0","29.8%"
"6","Tennessee Titans (TEN)","3","0","2","1","0","0","0","1","9.0","9.0","3.5%"
"7","New York Jets (NYJ)","3","0","0","1","0","1","0","1","9.0","9.0","82.8%"
"8","Tampa Bay Buccaneers (TB)","4","1","0","1","0","0","0","1","7.0","7.0","20.7%"
"9","Los Angeles Rams (LAR)","2","1","0","0","0","1","0","1","7.0","7.0","21.1%"
"10","New England Patriots (NE)","0","0","0","0","0","0","0","1","7.0","7.0","13.3%"
"11","Arizona Cardinals (ARI)","0","0","1","0","0","0","0","1","6.0","6.0","0.8%"
"12","Green Bay Packers (GB)","3","1","0","0","0","0","0","1","6.0","6.0","26.0%"
"13","Detroit Lions (DET)","2","1","1","0","0","0","0","1","5.0","5.0","44.0%"
"14","Denver Broncos (DEN)","5","0","0","1","0","0","0","1","5.0","5.0","34.5%"
"15","San Francisco 49ers (SF)","3","0","0","0","0","0","0","1","4.0","4.0","98.1%"
"16","Carolina Panthers (CAR)","1","1","0","0","0","0","0","1","3.0","3.0","2.9%"
"17","Cincinnati Bengals (CIN)","4","0","0","1","0","0","0","1","3.0","3.0","48.7%"
"18","Jacksonville Jaguars (JAC)","2","1","0","0","0","0","0","1","3.0","3.0","47.1%"
"19","Kansas City Chiefs (KC)","2","0","0","0","0","0","0","1","2.0","2.0","76.9%"
"20","Pittsburgh Steelers (PIT)","2","0","0","1","0","0","0","1","2.0","2.0","76.5%"
"21","Minnesota Vikings (MIN)","0","0","0","0","0","0","0","0","0","0","11.6%"
"22","New Orleans Saints (NO)","1","0","0","0","0","0","0","1","0.0","0.0","63.8%"
"23","New York Giants (NYG)","0","0","0","0","0","0","0","0","0","0","3.1%"
"24","Las Vegas Raiders (LV)","0","0","0","0","0","0","0","0","0","0","21.8%"
"25","Chicago Bears (CHI)","0","0","0","0","0","0","0","0","0","0","31.0%"
"26","Seattle Seahawks (SEA)","4","0","0","0","0","0","0","1","0.0","0.0","27.1%"
"27","Buffalo Bills (BUF)","0","0","0","0","0","0","0","0","0","0","62.6%"
"28","Baltimore Ravens (BAL)","0","0","0","0","0","0","0","0","0","0","87.6%"
"29","Dallas Cowboys (DAL)","1","1","0","0","0","0","0","1","-1.0","-1.0","93.2%"
"30","Philadelphia Eagles (PHI)","2","0","0","0","0","0","0","1","-2.0","-2.0","50.8%"
"31","Cleveland Browns (CLE)","0","0","0","0","0","0","0","1","-4.0","-4.0","94.3%"
"32","Washington Commanders (WAS)","0","0","0","0","0","0","0","1","-4.0","-4.0","8.1%"
""
""
