"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Seattle Seahawks (SEA)","11","2","1","2","1","0","0","1","30.0","30.0","27.1%"
"2","Dallas Cowboys (DAL)","2","2","1","1","2","0","0","1","27.0","27.0","93.2%"
"3","Jacksonville Jaguars (JAC)","4","2","1","1","1","0","0","1","20.0","20.0","47.1%"
"4","Baltimore Ravens (BAL)","4","3","0","0","0","0","0","1","17.0","17.0","87.6%"
"5","Minnesota Vikings (MIN)","5","0","1","2","1","0","0","1","17.0","17.0","11.6%"
"6","Los Angeles Chargers (LAC)","7","1","2","2","0","0","0","1","14.0","14.0","16.6%"
"7","Tampa Bay Buccaneers (TB)","3","1","2","2","0","0","0","1","13.0","13.0","20.7%"
"8","Carolina Panthers (CAR)","2","2","0","0","1","0","0","1","13.0","13.0","2.9%"
"9","Denver Broncos (DEN)","4","1","1","1","1","0","0","1","13.0","13.0","34.5%"
"10","Tennessee Titans (TEN)","3","0","1","1","0","0","0","1","12.0","12.0","3.5%"
"11","Houston Texans (HOU)","3","1","0","2","0","0","0","1","12.0","12.0","29.8%"
"12","Detroit Lions (DET)","5","2","0","1","0","0","0","1","10.0","10.0","44.0%"
"13","Buffalo Bills (BUF)","4","1","1","2","0","0","0","1","9.0","9.0","62.6%"
"14","Washington Commanders (WAS)","3","0","0","1","0","0","0","1","8.0","8.0","8.1%"
"15","New York Jets (NYJ)","1","2","0","0","0","1","0","1","7.0","7.0","82.8%"
"16","Philadelphia Eagles (PHI)","5","0","0","1","0","0","0","1","5.0","5.0","50.8%"
"17","Cincinnati Bengals (CIN)","3","1","0","1","0","0","0","1","5.0","5.0","48.7%"
"18","Kansas City Chiefs (KC)","2","0","1","1","0","0","0","1","5.0","5.0","76.9%"
"19","Cleveland Browns (CLE)","3","0","1","0","0","0","0","1","4.0","4.0","94.3%"
"20","Las Vegas Raiders (LV)","2","1","0","0","0","0","0","1","4.0","4.0","21.8%"
"21","Los Angeles Rams (LAR)","2","0","1","1","0","0","0","1","4.0","4.0","21.1%"
"22","Indianapolis Colts (IND)","2","1","0","1","0","0","0","1","3.0","3.0","24.5%"
"23","Green Bay Packers (GB)","2","1","0","0","0","0","0","1","3.0","3.0","26.0%"
"24","Atlanta Falcons (ATL)","2","0","0","1","0","0","0","1","3.0","3.0","16.5%"
"25","New England Patriots (NE)","3","0","0","2","0","0","0","1","3.0","3.0","13.3%"
"26","New Orleans Saints (NO)","1","1","0","0","0","0","0","1","3.0","3.0","63.8%"
"27","New York Giants (NYG)","2","0","0","0","0","0","0","1","3.0","3.0","3.1%"
"28","San Francisco 49ers (SF)","1","0","0","0","0","0","0","1","2.0","2.0","98.1%"
"29","Chicago Bears (CHI)","1","0","0","0","0","0","0","1","1.0","1.0","31.0%"
"30","Pittsburgh Steelers (PIT)","0","0","0","1","0","0","0","1","-1.0","-1.0","76.5%"
"31","Miami Dolphins (MIA)","2","0","0","0","0","0","0","1","-2.0","-2.0","69.0%"
"32","Arizona Cardinals (ARI)","1","0","0","0","0","0","0","1","-3.0","-3.0","0.8%"
""
""
