"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"1","Terrel Bernard (BUF)","8","2","2","0","0","0","0","0","1","29.0","29.0","49.2%"
"2","Sione Takitaki (NE)","11","5","0","1","0","0","0","0","1","21.8","21.8","3.6%"
"3","Devin Bush Jr. (CLE)","5","13","0","0","0","0","0","0","1","19.8","19.8","4.0%"
"4","Nicholas Morrow (BUF)","9","5","0","0","0","0","0","0","1","19.8","19.8","3.9%"
"5","Jeremiah Owusu-Koramoah (CLE)","7","4","0","0","0","0","0","0","1","18.5","18.5","26.8%"
"6","Cody Barton (DEN)","9","3","0","0","0","0","0","0","1","18.3","18.3","11.3%"
"7","Khalil Mack (LAC)","5","2","1","0","0","0","0","0","1","18.0","18.0","52.3%"
"8","Nick Bolton (KC)","9","4","0","1","0","0","0","0","1","18.0","18.0","53.0%"
"9","Kaden Elliss (ATL)","6","3","1","0","0","0","0","0","1","17.8","17.8","14.3%"
"10","Ernest Jones IV (LAR)","7","6","0","0","0","0","0","0","1","17.5","17.5","59.8%"
"11","Harold Landry III (TEN)","3","2","1","0","0","0","0","0","1","17.5","17.5","23.2%"
"12","C.J. Mosley (NYJ)","4","4","0","0","0","1","1","0","1","17.0","17.0","64.2%"
"13","Bobby Okereke (NYG)","2","7","1.5","0","0","0","0","0","1","16.8","16.8","79.5%"
"14","Bobby Wagner (WAS)","4","10","0","0","0","0","0","0","1","16.0","16.0","72.3%"
"15","Eric Kendricks (DAL)","5","9","0","1","0","0","0","0","1","15.8","15.8","30.8%"
"16","David Mayo (FA)","6","2","0","0","0","0","0","0","1","15.5","15.5","0.1%"
"17","Roquan Smith (BAL)","3","4","0","2","1","0","0","0","1","15.5","15.5","90.7%"
"18","Pete Werner (NO)","8","1","0","0","0","0","0","0","1","15.3","15.3","9.8%"
"19","E.J. Speed (IND)","8","4","0","0","0","0","0","0","1","15.0","15.0","40.0%"
