"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Trevor Lawrence (JAC)","24","32","75.0","262","8.2","2","0","1","5","17","2","0","1","32.2","32.2","66.4%"
"2","Brock Purdy (SF)","21","25","84.0","333","13.3","3","0","4","4","14","0","0","1","26.7","26.7","91.7%"
"3","Justin Herbert (LAC)","21","36","58.3","260","7.2","2","0","2","8","73","0","0","1","25.7","25.7","61.3%"
"4","Lamar Jackson (BAL)","16","26","61.5","264","10.2","2","0","3","9","54","0","0","1","24.0","24.0","99.3%"
"5","Josh Allen (BUF)","20","32","62.5","275","8.6","3","1","1","5","15","0","0","1","23.5","23.5","99.9%"
"6","Kyler Murray (ARI)","20","30","66.7","214","7.1","1","1","3","7","51","1","0","1","22.7","22.7","78.8%"
"7","Tommy DeVito (NYG)","18","26","69.2","246","9.5","3","0","9","1","7","0","0","1","22.5","22.5","3.1%"
"8","Justin Fields (PIT)","16","23","69.6","169","7.3","1","0","2","18","104","0","0","1","21.2","21.2","49.5%"
"9","Jordan Love (GB)","27","40","67.5","322","8.1","2","0","3","3","0","0","0","1","20.9","20.9","86.0%"
"10","Sam Howell (SEA)","31","45","68.9","256","5.7","1","3","4","3","35","1","0","1","20.7","20.7","28.9%"
"11","Jalen Hurts (PHI)","14","22","63.6","150","6.8","0","1","5","12","29","2","0","1","19.9","19.9","99.9%"
"12","Tua Tagovailoa (MIA)","28","39","71.8","325","8.3","2","1","1","2","6","0","1","1","18.6","18.6","78.9%"
"13","C.J. Stroud (HOU)","27","37","73.0","336","9.1","2","3","3","1","-1","0","0","1","18.3","18.3","93.0%"
"14","Patrick Mahomes II (KC)","24","43","55.8","177","4.1","2","1","1","6","38","0","0","1","17.9","17.9","99.4%"
"15","Joshua Dobbs (SF)","20","32","62.5","221","6.9","1","1","2","8","21","1","1","1","17.9","17.9","11.2%"
"16","Jared Goff (DET)","23","35","65.7","236","6.7","2","3","2","2","3","0","0","1","16.7","16.7","70.2%"
"17","Dak Prescott (DAL)","25","38","65.8","189","5.0","2","0","0","2","6","0","0","1","16.2","16.2","96.4%"
"18","Russell Wilson (PIT)","27","35","77.1","259","7.4","1","0","2","2","1","0","0","1","14.5","14.5","30.3%"
"19","Geno Smith (SEA)","22","34","64.7","233","6.9","1","0","2","1","-1","0","0","1","13.2","13.2","37.7%"
"20","Will Levis (TEN)","13","17","76.5","158","9.3","2","0","2","4","2","0","1","1","12.5","12.5","10.3%"
"21","Aidan O'Connell (LV)","24","41","58.5","271","6.6","1","3","2","1","3","0","0","1","12.1","12.1","2.9%"
"22","Baker Mayfield (TB)","29","45","64.4","246","5.5","1","1","4","3","5","0","1","1","11.3","11.3","44.6%"
"23","Matthew Stafford (LAR)","17","31","54.8","190","6.1","1","1","1","2","1","0","0","1","10.7","10.7","55.8%"
"24","Jake Browning (CIN)","8","14","57.1","68","4.9","1","0","3","4","40","0","0","1","10.7","10.7","20.7%"
"25","Joe Burrow (CIN)","11","17","64.7","101","5.9","1","0","2","1","7","0","0","1","8.7","8.7","63.1%"
"26","Zach Wilson (DEN)","7","15","46.7","81","5.4","1","1","5","4","15","0","0","1","7.7","7.7","2.2%"
"27","Dorian Thompson-Robinson (CLE)","24","43","55.8","165","3.8","0","1","1","3","20","0","0","1","7.6","7.6","0.6%"
"28","Bryce Young (CAR)","16","29","55.2","123","4.2","1","1","7","2","3","0","1","1","6.2","6.2","9.1%"
"29","Kenny Pickett (PHI)","15","28","53.6","106","3.8","0","0","3","4","9","0","0","1","5.1","5.1","6.8%"
"30","Tim Boyle (HOU)","7","14","50.0","33","2.4","0","1","1","1","1","0","0","1","0.4","0.4","0.0%"
"31","Cooper Rush (DAL)","2","3","66.7","15","5.0","0","0","0","3","-3","0","0","1","0.3","0.3","0.1%"
"32","Davis Mills (HOU)","1","1","100.0","2","2.0","0","0","0","0","0","0","0","1","0.1","0.1","0.1%"
"33","Aaron Rodgers (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49.1%"
"34","Jayden Daniels (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80.7%"
"35","Bo Nix (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.8%"
"36","Emory Jones (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"37","Sam Ehlinger (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"38","Kyle Trask (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"39","Jacob Eason (GB)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"40","Tyler Huntley (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"41","Shane Buechele (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"42","Sean Clifford (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"43","Desmond Ridder (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.7%"
"44","Feleipe Franks (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"45","Trey Lance (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"46","Mac Jones (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.2%"
"47","Ian Book (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"48","Malik Cunningham (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"49","Michael Pratt (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"50","Clayton Tune (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"51","Tanner Mordecai (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"52","Tyson Bagent (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"53","Jordan Travis (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"54","Dresser Winn (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"55","Chris Oladokun (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"56","Devin Leary (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"57","Jake Haener (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"58","Tanner McKee (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"59","Rocky Lombardi (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"60","John Rhys Plumlee (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"61","Casey Bauman (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"62","Zack Annexstad (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","John Paddock (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"64","Jack Plummer (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"65","Andrew Peasley (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"66","Jason Bean (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"67","Joe Milton III (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"68","Carter Bradley (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"69","Austin Reed (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"70","Michael Penix Jr. (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5%"
"71","Max Duggan (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"72","Kedon Slovis (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"73","J.J. McCarthy (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.8%"
"74","Caleb Williams (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","81.5%"
"75","Adrian Martinez (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"76","Drake Maye (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.1%"
"77","Spencer Rattler (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"78","Malik Willis (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"79","Hendon Hooker (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"80","Sam Hartman (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"81","Anthony Richardson (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","58.9%"
