"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"1","Jaquan Brisker (CHI)","13","4","0","2","0","1","0","0","1","29.5","29.5","46.3%"
"2","Jordan Howden (NO)","7","3","1","1","0","1","0","0","1","22.3","22.3","2.0%"
"3","Martin Emerson Jr. (CLE)","4","0","0","3","2","0","0","0","1","20.5","20.5","2.4%"
"4","Deonte Banks (NYG)","9","3","0","1","0","0","0","0","1","19.8","19.8","12.7%"
"5","Ja'Quan McMillian (DEN)","5","0","1","2","0","0","0","0","1","19.5","19.5","1.0%"
"6","Julian Love (SEA)","5","1","0","1","1","1","0","0","1","18.8","18.8","32.4%"
"7","Greg Newsome II (CLE)","5","0","0","4","1","0","0","0","1","18.5","18.5","4.5%"
"8","Zyon McCollum (TB)","6","3","0","2","0","1","0","0","1","18.3","18.3","4.9%"
"9","Ronnie Harrison Jr. (IND)","3","1","0","1","1","0","0","1","1","17.8","17.8","0.4%"
"10","Stephon Gilmore (FA)","9","0","0","0","0","1","0","0","1","17.5","17.5","1.3%"
"11","Antoine Winfield Jr. (TB)","4","4","1","0","0","1","0","0","1","17.0","17.0","70.6%"
"12","Sean Murphy-Bunting (ARI)","7","0","0","1","0","0","0","0","1","17.0","17.0","8.4%"
"13","Taron Johnson (BUF)","6","3","0","1","0","0","1","0","1","16.8","16.8","30.4%"
"14","P.J. Locke (DEN)","2","5","1","1","0","1","0","0","1","16.3","16.3","4.6%"
"15","Justin Simmons (FA)","3","3","1","1","0","1","0","0","1","16.3","16.3","11.4%"
"16","Jessie Bates III (ATL)","7","2","0","1","0","0","0","0","1","16.0","16.0","69.3%"
"17","Derwin James Jr. (LAC)","8","3","0","1","0","0","0","0","1","15.8","15.8","75.2%"
"18","Mike Edwards (BUF)","10","1","0","0","0","0","0","0","1","15.8","15.8","3.4%"
"19","Carlton Davis III (DET)","4","0","0","3","1","0","0","0","1","15.5","15.5","3.9%"
