"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Christian McCaffrey (SF)","18","115","6.4","26","1","1","5","5","72","14.4","2","0","1","36.7","36.7","100.0%"
"2","James Cook (BUF)","25","179","7.2","24","2","1","2","3","42","21.0","1","0","1","34.1","34.1","97.8%"
"3","Jahmyr Gibbs (DET)","11","100","9.1","34","2","1","2","2","8","4.0","1","0","1","22.8","22.8","99.3%"
"4","Ty Chandler (MIN)","23","132","5.7","30","2","1","3","4","25","8.3","0","0","1","21.7","21.7","57.4%"
"5","Rachaad White (TB)","21","89","4.2","22","1","0","2","2","50","25.0","1","0","1","19.9","19.9","97.5%"
"6","Kyren Williams (LAR)","27","152","5.6","27","1","1","5","7","3","0.6","0","2","1","19.5","19.5","96.3%"
"7","Kenneth Walker III (SEA)","19","86","4.5","23","1","1","3","3","26","8.7","0","0","1","17.2","17.2","97.1%"
"8","Devin Singletary (NYG)","26","121","4.7","19","0","0","4","5","49","12.3","0","0","1","17.0","17.0","83.9%"
"9","Raheem Mostert (MIA)","15","42","2.8","18","0","2","2","2","1","0.5","0","0","1","16.3","16.3","91.4%"
"10","Clyde Edwards-Helaire (KC)","13","37","2.8","20","1","0","4","4","64","16.0","1","0","1","16.1","16.1","23.9%"
"11","James Conner (ARI)","14","86","6.1","44","1","1","3","3","3","1.0","0","0","1","14.9","14.9","91.6%"
"12","Zamir White (LV)","17","69","4.1","15","0","1","3","4","16","5.3","0","0","1","14.5","14.5","74.5%"
"13","Jerick McKinnon (FA)","4","11","2.8","4","0","0","3","3","19","6.3","1","0","1","13.2","13.2","16.1%"
"14","Emari Demercado (ARI)","4","64","16.0","49","1","1","1","3","6","6.0","0","0","1","13.0","13.0","2.1%"
"15","Gus Edwards (LAC)","16","58","3.6","20","1","1","1","1","11","11.0","0","0","1","12.9","12.9","80.5%"
"16","Joe Mixon (HOU)","10","47","4.7","10","0","1","3","3","14","4.7","0","0","1","12.1","12.1","99.0%"
"17","Alvin Kamara (NO)","16","66","4.1","15","0","0","5","5","44","8.8","0","0","1","11.0","11.0","98.2%"
"18","Chuba Hubbard (CAR)","22","87","4.0","22","2","0","2","2","16","8.0","0","0","1","10.3","10.3","49.0%"
"19","Zack Moss (CIN)","4","13","3.3","5","0","0","3","3","20","6.7","1","0","1","9.3","9.3","75.0%"
"20","Keaton Mitchell (BAL)","9","73","8.1","24","1","0","2","2","15","7.5","0","0","1","8.8","8.8","17.1%"
"21","Trey Sermon (IND)","17","88","5.2","19","0","0","0","0","0","0","0","0","1","8.8","8.8","0.9%"
"22","Brandon Bolden (FA)","2","25","12.5","26","1","1","0","0","0","0","0","0","1","8.5","8.5","0.0%"
"23","Kevin Harris (NE)","4","25","6.3","18","0","1","0","0","0","0","0","0","1","8.5","8.5","0.2%"
"24","David Montgomery (DET)","17","85","5.0","13","0","0","2","3","-3","-1.5","0","0","1","8.2","8.2","93.4%"
"25","Tyler Goodson (IND)","11","69","6.3","31","1","0","2","2","10","5.0","0","0","1","7.9","7.9","0.1%"
