"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Keenan Allen (CHI)","11","14","175","15.9","38","3","2","0","0","0","0","1","29.5","29.5","91.0%"
"2","CeeDee Lamb (DAL)","11","14","151","13.7","30","3","1","1","14","1","0","1","28.5","28.5","100.0%"
"3","Brandin Cooks (DAL)","9","10","173","19.2","37","4","1","0","0","0","0","1","23.3","23.3","43.6%"
"4","Amon-Ra St. Brown (DET)","8","9","156","19.5","46","3","1","2","9","0","0","1","22.5","22.5","100.0%"
"5","Mike Evans (TB)","6","10","143","23.8","43","4","1","0","0","0","0","1","20.3","20.3","98.1%"
"6","Ja'Marr Chase (CIN)","5","6","124","24.8","64","2","1","0","0","0","0","1","18.4","18.4","99.4%"
"7","Noah Brown (HOU)","7","8","172","24.6","34","6","0","0","0","0","0","1","17.2","17.2","23.4%"
"8","Chris Olave (NO)","6","9","94","15.7","26","2","1","0","0","0","0","1","15.4","15.4","98.8%"
"9","Tyler Lockett (SEA)","8","10","92","11.5","20","1","1","0","0","0","0","1","15.2","15.2","88.4%"
"10","Jayden Reed (GB)","5","5","84","16.8","46","2","1","0","0","0","0","1","14.4","14.4","77.3%"
"11","Michael Gallup (FA)","2","2","70","35.0","41","2","1","0","0","0","0","1","13.0","13.0","6.3%"
"12","Tank Dell (HOU)","6","14","56","9.3","17","0","1","1","13","0","0","1","12.9","12.9","60.3%"
"13","Deebo Samuel Sr. (SF)","4","4","30","7.5","9","0","0","3","29","1","0","1","11.9","11.9","98.7%"
"14","Tyler Boyd (TEN)","8","12","117","14.6","64","1","0","0","0","0","0","1","11.7","11.7","28.1%"
"15","Brandon Aiyuk (SF)","3","3","55","18.3","21","2","1","0","0","0","0","1","11.5","11.5","98.2%"
"16","Trenton Irwin (CIN)","2","4","54","27.0","32","2","1","0","0","0","0","1","11.4","11.4","0.6%"
"17","Elijah Moore (CLE)","5","7","44","8.8","19","0","1","0","0","0","0","1","10.4","10.4","23.1%"
"18","Dyami Brown (WAS)","2","2","41","20.5","35","1","1","0","0","0","0","1","10.1","10.1","0.1%"
"19","Jalen Guyton (LV)","4","6","41","10.3","18","0","1","0","0","0","0","1","10.1","10.1","1.1%"
"20","Odell Beckham Jr. (MIA)","1","2","40","40.0","40","1","1","0","0","0","0","1","10.0","10.0","32.9%"
"21","Amari Cooper (CLE)","6","9","98","16.3","28","2","0","0","0","0","0","1","9.8","9.8","91.6%"
"22","A.T. Perry (NO)","2","4","38","19.0","23","1","1","0","0","0","0","1","9.8","9.8","0.7%"
"23","DK Metcalf (SEA)","7","12","98","14.0","27","1","0","0","0","0","0","1","9.8","9.8","98.5%"
"24","Quentin Johnston (LAC)","4","4","34","8.5","17","0","1","0","0","0","0","1","9.4","9.4","17.0%"
"25","Courtland Sutton (DEN)","8","11","53","6.6","30","1","1","0","0","0","1","1","9.3","9.3","83.0%"
"26","Garrett Wilson (NYJ)","9","14","93","10.3","41","1","0","0","0","0","0","1","9.3","9.3","97.8%"
"27","Romeo Doubs (GB)","3","5","31","10.3","20","1","1","0","0","0","0","1","9.1","9.1","44.3%"
"28","Davante Adams (LV)","6","13","86","14.3","42","1","0","0","0","0","0","1","8.6","8.6","99.9%"
"29","Michael Pittman Jr. (IND)","8","12","84","10.5","14","0","0","0","0","0","0","1","8.4","8.4","97.1%"
"30","Christian Kirk (JAC)","6","11","104","17.3","39","2","0","0","0","0","1","1","8.4","8.4","70.8%"
"31","DeMario Douglas (NE)","6","9","84","14.0","30","2","0","0","0","0","0","1","8.4","8.4","23.0%"
"32","Gabe Davis (JAC)","2","6","56","28.0","38","1","0","0","0","0","0","1","7.6","7.6","53.0%"
"33","Zay Flowers (BAL)","5","6","73","14.6","18","0","0","0","0","0","0","1","7.3","7.3","91.9%"
"34","Lawrence Cager (NYG)","1","2","10","10.0","10","0","1","0","0","0","0","1","7.0","7.0","0.0%"
"35","Jordan Addison (MIN)","4","7","69","17.3","29","2","0","0","0","0","0","1","6.9","6.9","88.3%"
"36","Sterling Shepard (TB)","1","4","2","2.0","2","0","1","0","0","0","0","1","6.2","6.2","0.1%"
"37","Scotty Miller (PIT)","1","1","2","2.0","2","0","1","0","0","0","0","1","6.2","6.2","0.1%"
"38","Kyle Philips (TEN)","3","5","61","20.3","29","2","0","0","0","0","0","1","6.1","6.1","0.1%"
"39","Ihmir Smith-Marsette (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","6.0","6.0","0.1%"
"40","DJ Moore (CHI)","5","9","58","11.6","16","0","0","1","1","0","0","1","5.9","5.9","97.6%"
"41","Chris Godwin (TB)","4","6","54","13.5","17","0","0","0","0","0","0","1","5.4","5.4","90.3%"
"42","Jaxon Smith-Njigba (SEA)","4","5","53","13.3","20","1","0","0","0","0","0","1","5.3","5.3","76.0%"
"43","Dontayvion Wicks (GB)","3","4","51","17.0","32","2","0","0","0","0","0","1","5.1","5.1","7.1%"
"44","Kalif Raymond (DET)","2","4","46","23.0","41","1","0","0","0","0","0","1","4.6","4.6","1.3%"
"45","Mike Strachan (CAR)","1","2","45","45.0","45","1","0","0","0","0","0","1","4.5","4.5","0.0%"
"46","George Pickens (PIT)","3","4","45","15.0","28","1","0","0","0","0","0","1","4.5","4.5","87.2%"
"47","Rondale Moore (ATL)","5","8","43","8.6","12","0","0","0","0","0","0","1","4.3","4.3","5.2%"
"48","Adam Thielen (CAR)","6","10","42","7.0","14","0","0","0","0","0","0","1","4.2","4.2","71.9%"
"49","Josh Downs (IND)","2","3","40","20.0","28","1","0","0","0","0","0","1","4.0","4.0","26.8%"
"50","Jalen Brooks (DAL)","4","4","39","9.8","14","0","0","0","0","0","0","1","3.9","3.9","0.1%"
"51","Drake London (ATL)","3","4","36","12.0","18","0","0","0","0","0","0","1","3.6","3.6","93.1%"
"52","Brandon Powell (MIN)","4","5","35","8.8","14","0","0","0","0","0","0","1","3.5","3.5","0.7%"
"53","Jerry Jeudy (CLE)","3","3","35","11.7","19","0","0","0","0","0","0","1","3.5","3.5","63.3%"
"54","Stefon Diggs (HOU)","3","5","34","11.3","14","0","0","0","0","0","0","1","3.4","3.4","99.7%"
"55","Michael Wilson (ARI)","3","6","34","11.3","16","0","0","0","0","0","0","1","3.4","3.4","6.3%"
"56","Terry McLaurin (WAS)","4","8","33","8.3","13","0","0","0","0","0","0","1","3.3","3.3","90.3%"
"57","Tyler Scott (CHI)","1","1","15","15.0","15","0","0","1","16","0","0","1","3.1","3.1","0.2%"
"58","Isaiah McKenzie (NYG)","4","4","31","7.8","30","1","0","0","0","0","0","1","3.1","3.1","0.1%"
"59","Hollywood Brown (KC)","1","4","28","28.0","28","1","0","0","0","0","0","1","2.8","2.8","79.0%"
"60","DeAndre Hopkins (TEN)","3","9","27","9.0","15","0","0","0","0","0","0","1","2.7","2.7","91.9%"
"61","Rashod Bateman (BAL)","2","4","25","12.5","18","0","0","0","0","0","0","1","2.5","2.5","9.5%"
"62","John Metchie III (HOU)","2","2","25","12.5","19","0","0","0","0","0","0","1","2.5","2.5","0.8%"
"63","Rashid Shaheed (NO)","5","9","24","4.8","15","0","0","0","0","0","0","1","2.4","2.4","50.9%"
"64","Khalil Shakir (BUF)","1","2","24","24.0","24","1","0","0","0","0","0","1","2.4","2.4","13.3%"
"65","Xavier Gipson (NYJ)","1","3","24","24.0","24","1","0","0","0","0","0","1","2.4","2.4","0.7%"
"66","Christian Watson (GB)","2","7","23","11.5","14","0","0","0","0","0","0","1","2.3","2.3","74.8%"
"67","Darius Slayton (NYG)","3","4","21","7.0","9","0","0","0","0","0","0","1","2.1","2.1","2.6%"
"68","Jakobi Meyers (LV)","2","2","21","10.5","13","0","0","0","0","0","0","1","2.1","2.1","73.3%"
