"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Stefon Diggs (HOU)","6","7","120","20.0","55","1","3","0","0","0","0","1","30.0","30.0","99.7%"
"2","A.J. Brown (PHI)","9","13","175","19.4","59","3","2","0","0","0","0","1","29.5","29.5","99.9%"
"3","Nico Collins (HOU)","7","9","168","24.0","52","3","2","0","0","0","0","1","28.8","28.8","95.6%"
"4","Puka Nacua (LAR)","9","10","163","18.1","32","5","1","0","0","0","0","1","22.3","22.3","96.9%"
"5","Justin Jefferson (MIN)","6","9","85","14.2","30","2","2","0","0","0","0","1","20.5","20.5","100.0%"
"6","Michael Wilson (ARI)","7","7","76","10.9","33","1","2","0","0","0","0","1","19.6","19.6","6.3%"
"7","DJ Moore (CHI)","8","9","131","16.4","29","3","1","0","0","0","0","1","19.1","19.1","97.6%"
"8","Brandon Aiyuk (SF)","6","6","148","24.7","42","4","0","0","0","0","0","1","14.8","14.8","98.2%"
"9","Gabe Davis (JAC)","3","3","61","20.3","34","1","1","0","0","0","0","1","12.1","12.1","53.0%"
"10","Allen Lazard (NYJ)","3","3","61","20.3","39","1","1","0","0","0","0","1","12.1","12.1","4.7%"
"11","Deven Thompkins (CAR)","4","4","45","11.3","26","1","1","1","11","0","0","1","11.6","11.6","0.1%"
"12","Amon-Ra St. Brown (DET)","5","7","56","11.2","24","1","1","0","0","0","0","1","11.6","11.6","100.0%"
"13","Chris Godwin (TB)","8","11","114","14.3","42","2","0","0","0","0","0","1","11.4","11.4","90.3%"
"14","Braxton Berrios (MIA)","6","6","43","7.2","15","0","1","1","11","0","0","1","11.4","11.4","1.2%"
"15","Curtis Samuel (BUF)","7","8","51","7.3","15","0","0","1","1","1","0","1","11.2","11.2","51.0%"
"16","Nick Westbrook-Ikhine (TEN)","5","6","51","10.2","22","1","1","0","0","0","0","1","11.1","11.1","0.2%"
"17","CeeDee Lamb (DAL)","4","6","36","9.0","20","1","1","1","12","0","0","1","10.8","10.8","100.0%"
"18","Calvin Ridley (TEN)","2","2","38","19.0","30","1","1","0","0","0","0","1","9.8","9.8","95.0%"
"19","Hollywood Brown (KC)","7","10","96","13.7","41","1","0","0","0","0","0","1","9.6","9.6","79.0%"
