"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Jake Elliott (PHI)","4","4","100.0","54","0","0","1","2","1","2","2","1","18.0","18.0","93.7%"
"2","Brett Maher (FA)","3","5","60.0","54","0","0","0","1","2","2","2","1","16.0","16.0","0.6%"
"3","Tyler Bass (BUF)","2","2","100.0","53","0","0","1","0","1","6","6","1","14.0","14.0","47.3%"
"4","Brandon McManus (FA)","3","3","100.0","56","0","0","1","1","1","2","2","1","14.0","14.0","18.2%"
"5","Ka'imi Fairbairn (HOU)","3","3","100.0","39","0","0","3","0","0","3","3","1","12.0","12.0","48.8%"
"6","Brandon Aubrey (DAL)","3","3","100.0","33","0","2","1","0","0","3","3","1","12.0","12.0","96.9%"
"7","Harrison Butker (KC)","3","3","100.0","37","0","1","2","0","0","2","2","1","11.0","11.0","95.5%"
"8","Nick Folk (TEN)","2","2","100.0","53","0","0","1","0","1","3","3","1","11.0","11.0","9.4%"
"9","Blake Grupe (NO)","3","3","100.0","44","0","0","2","1","0","0","0","1","10.0","10.0","3.8%"
"10","Chase McLaughlin (TB)","2","2","100.0","51","0","1","0","0","1","2","2","1","10.0","10.0","6.7%"
"11","Riley Patterson (JAC)","2","2","100.0","37","0","0","2","0","0","4","4","1","10.0","10.0","13.1%"
"12","Eddy Pineiro (CAR)","2","2","100.0","56","0","1","0","0","1","1","1","1","9.0","9.0","1.4%"
"13","Wil Lutz (DEN)","1","1","100.0","51","0","0","0","0","1","4","4","1","9.0","9.0","10.3%"
"14","Anders Carlson (GB)","2","2","100.0","50","0","0","1","0","1","0","0","1","8.0","8.0","2.0%"
"15","Joey Slye (NE)","1","1","100.0","27","0","1","0","0","0","4","4","1","7.0","7.0","0.6%"
"16","Chris Boswell (PIT)","2","2","100.0","35","0","1","1","0","0","0","0","1","6.0","6.0","17.1%"
"17","Cameron Dicker (LAC)","1","1","100.0","33","0","0","1","0","0","3","3","1","6.0","6.0","45.5%"
"18","Jason Myers (SEA)","1","2","50.0","34","0","0","1","0","0","3","3","1","6.0","6.0","31.7%"
"19","Dustin Hopkins (CLE)","1","1","100.0","53","0","0","0","0","1","0","0","1","5.0","5.0","30.3%"
"20","Daniel Carlson (LV)","1","1","100.0","22","0","1","0","0","0","2","2","1","5.0","5.0","24.2%"
"21","Graham Gano (NYG)","1","1","100.0","55","0","0","0","0","1","0","0","1","5.0","5.0","1.3%"
"22","Jake Moody (SF)","0","0","0","0","0","0","0","0","0","5","5","1","5.0","5.0","69.4%"
"23","Greg Zuerlein (NYJ)","1","2","50.0","31","0","0","1","0","0","1","1","1","4.0","4.0","41.9%"
"24","Matt Prater (ARI)","1","1","100.0","38","0","0","1","0","0","1","1","1","4.0","4.0","1.7%"
"25","Cairo Santos (CHI)","0","0","0","0","0","0","0","0","0","4","4","1","4.0","4.0","23.4%"
"26","Justin Tucker (BAL)","0","0","0","0","0","0","0","0","0","4","4","1","4.0","4.0","98.8%"
"27","Chad Ryland (NE)","1","2","50.0","29","0","1","0","0","0","0","0","1","3.0","3.0","0.4%"
"28","Greg Joseph (GB)","0","0","0","0","0","0","0","0","0","3","3","1","3.0","3.0","3.7%"
"29","Evan McPherson (CIN)","1","1","100.0","21","0","1","0","0","0","0","0","1","3.0","3.0","83.1%"
"30","Jason Sanders (MIA)","0","0","0","0","0","0","0","0","0","2","2","1","2.0","2.0","46.2%"
"31","Younghoe Koo (ATL)","0","0","0","0","0","0","0","0","0","1","1","1","1.0","1.0","65.7%"
"32","Matt Gay (IND)","0","1","0.0","0","0","0","0","0","0","1","1","1","1.0","1.0","35.5%"
"33","Ramiz Ahmed (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"34","Matthew Wright (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"35","Michael Badgley (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.1%"
"36","Austin Seibert (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"37","Tanner Brown (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"38","Jude McAtamney (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"39","Spencer Shrader (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"40","James Turner (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"41","Harrison Mevis (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"42","Jack Browning (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"43","Brayden Narveson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"44","Joshua Karty (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"45","Cam Little (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"46","Charlie Smyth (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"47","Will Reichard (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9%"
"48","Jake Bates (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.4%"
