"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"1","Frankie Luvu (WAS)","7","5","1","2","0","0","0","0","1","26.3","26.3","42.9%"
"2","T.J. Edwards (CHI)","9","4","0","0","0","0","1","0","1","25.5","25.5","78.7%"
"3","Alex Anzalone (DET)","5","2","2","0","0","0","0","0","1","24.5","24.5","30.8%"
"4","Drue Tranquill (KC)","7","4","1","0","0","1","0","0","1","24.0","24.0","11.6%"
"5","Baron Browning (DEN)","4","0","2","0","0","1","0","0","1","23.0","23.0","5.3%"
"6","Nakobe Dean (PHI)","11","2","0","0","0","0","0","0","1","23.0","23.0","7.8%"
"7","Logan Wilson (CIN)","9","2","0","2","1","0","0","0","1","23.0","23.0","62.2%"
"8","Preston Smith (GB)","2","3","2","1","0","1","0","0","1","21.3","21.3","9.9%"
"9","Quincy Williams (NYJ)","8","3","0","1","0","0","0","0","1","20.8","20.8","50.7%"
"10","Harold Landry III (TEN)","5","0","2","0","0","0","0","0","1","20.5","20.5","23.2%"
"11","Azeez Al-Shaair (HOU)","7","4","0","0","0","0","1","0","1","20.0","20.0","42.4%"
"12","Bobby Okereke (NYG)","7","2","0","0","0","0","0","0","1","19.5","19.5","79.5%"
"13","Foyesade Oluokun (JAC)","9","2","0","0","0","1","0","0","1","19.0","19.0","94.3%"
"14","Jordyn Brooks (MIA)","4","6","1","0","0","1","0","0","1","18.5","18.5","24.1%"
"15","De'Vondre Campbell (SF)","10","4","0","0","0","0","0","0","1","18.0","18.0","19.9%"
"16","Leo Chenal (KC)","4","4","1","0","0","0","0","0","1","18.0","18.0","6.1%"
"17","C.J. Mosley (NYJ)","7","5","0.5","1","0","0","0","0","1","17.8","17.8","64.2%"
"18","Patrick Queen (PIT)","9","2","0","0","0","0","0","0","1","17.5","17.5","43.1%"
"19","Lavonte David (TB)","6","8","0","0","0","0","0","0","1","17.5","17.5","52.5%"
"20","Fred Warner (SF)","4","6","0","0","0","1","0","0","1","17.0","17.0","90.4%"
"21","Zaire Franklin (IND)","6","8","0","1","0","0","0","0","1","16.5","16.5","92.4%"
"22","Bobby Wagner (WAS)","3","10","0","1","0","0","0","0","1","16.0","16.0","72.3%"
"23","Cole Holcomb (PIT)","6","4","0","0","0","0","1","0","1","16.0","16.0","8.5%"
"24","Eric Kendricks (DAL)","9","1","0","1","0","0","0","0","1","15.8","15.8","30.8%"
"25","Blake Cashman (MIN)","4","1","1","0","0","0","0","0","1","15.8","15.8","13.4%"
"26","Demario Davis (NO)","6","7","0","1","0","0","0","0","1","15.8","15.8","20.4%"
