"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Raheem Mostert (MIA)","21","96","4.6","15","0","2","1","1","4","4.0","0","0","1","22.0","22.0","91.4%"
"2","James Cook (BUF)","10","58","5.8","15","0","0","5","5","83","16.6","1","0","1","20.1","20.1","97.8%"
"3","Saquon Barkley (PHI)","20","86","4.3","34","1","2","3","4","15","5.0","0","1","1","20.1","20.1","100.0%"
"4","Ezekiel Elliott (DAL)","22","68","3.1","12","0","0","7","8","72","10.3","1","0","1","20.0","20.0","81.3%"
"5","Rachaad White (TB)","25","102","4.1","12","0","0","2","2","33","16.5","1","0","1","19.5","19.5","97.5%"
"6","Breece Hall (NYJ)","10","40","4.0","15","0","0","8","9","86","10.8","1","0","1","18.6","18.6","98.9%"
"7","Joe Mixon (HOU)","21","79","3.8","18","0","1","3","4","46","15.3","0","0","1","18.5","18.5","99.0%"
"8","Derrick Henry (BAL)","17","34","2.0","6","0","2","1","2","17","17.0","0","0","1","17.1","17.1","99.4%"
"9","Chase Brown (CIN)","8","25","3.1","10","0","0","3","3","80","26.7","1","0","1","16.5","16.5","40.5%"
"10","Austin Ekeler (WAS)","10","51","5.1","9","0","1","5","7","49","9.8","0","0","1","16.0","16.0","92.9%"
"11","Christian McCaffrey (SF)","16","145","9.1","72","3","0","1","1","8","8.0","0","0","1","15.3","15.3","100.0%"
"12","Javonte Williams (DEN)","17","66","3.9","20","1","1","3","4","25","8.3","0","0","1","15.1","15.1","89.2%"
"13","Bijan Robinson (ATL)","10","34","3.4","8","0","1","5","7","54","10.8","0","0","1","14.8","14.8","99.9%"
"14","Jahmyr Gibbs (DET)","11","66","6.0","36","1","1","3","4","16","5.3","0","0","1","14.2","14.2","99.3%"
"15","Travis Etienne Jr. (JAC)","14","35","2.5","16","0","1","4","4","37","9.3","0","0","1","13.2","13.2","99.7%"
"16","Devin Singletary (NYG)","13","65","5.0","17","0","1","0","3","0","0","0","0","1","12.5","12.5","83.9%"
"17","Tyjae Spears (TEN)","7","29","4.1","8","0","0","6","8","89","14.8","0","0","1","11.8","11.8","64.5%"
"18","Kyren Williams (LAR)","25","114","4.6","14","0","0","3","4","-1","-0.3","0","0","1","11.3","11.3","96.3%"
"19","Rico Dowdle (DAL)","12","46","3.8","9","0","1","1","1","6","6.0","0","0","1","11.2","11.2","11.4%"
"20","Alvin Kamara (NO)","12","56","4.7","9","0","1","3","4","-11","-3.7","0","0","1","10.5","10.5","98.2%"
"21","Jerick McKinnon (FA)","4","19","4.8","7","0","1","3","3","18","6.0","0","0","1","9.7","9.7","16.1%"
"22","Tony Pollard (TEN)","16","59","3.7","11","0","0","7","8","37","5.3","0","0","1","9.6","9.6","93.1%"
"23","Chuba Hubbard (CAR)","23","87","3.8","13","0","0","2","2","9","4.5","0","0","1","9.6","9.6","49.0%"
"24","Kareem Hunt (FA)","10","27","2.7","9","0","1","1","1","3","3.0","0","0","1","9.0","9.0","27.2%"
"25","Jordan Mason (SF)","4","20","5.0","8","0","1","1","1","6","6.0","0","0","1","8.6","8.6","2.2%"
"26","David Montgomery (DET)","10","66","6.6","13","0","0","3","3","19","6.3","0","0","1","8.5","8.5","93.4%"
"27","Jerome Ford (CLE)","12","51","4.3","26","1","0","5","6","31","6.2","0","0","1","8.2","8.2","81.5%"
"28","AJ Dillon (GB)","15","53","3.5","8","0","0","2","3","25","12.5","0","0","1","7.8","7.8","34.7%"
"29","Miles Sanders (CAR)","10","74","7.4","48","1","0","0","0","0","0","0","0","1","7.4","7.4","22.3%"
"30","D'Onta Foreman (CLE)","11","50","4.5","13","0","0","2","3","22","11.0","0","0","1","7.2","7.2","19.5%"
"31","De'Von Achane (MIA)","7","47","6.7","15","0","0","5","9","24","4.8","0","0","1","7.1","7.1","95.8%"
"32","Clyde Edwards-Helaire (KC)","11","39","3.5","7","0","0","2","4","29","14.5","0","0","1","6.8","6.8","23.9%"
"33","Alexander Mattison (LV)","10","66","6.6","16","0","0","0","1","0","0","0","0","1","6.6","6.6","41.5%"
"34","Keaton Mitchell (BAL)","9","54","6.0","27","1","0","1","2","8","8.0","0","0","1","6.2","6.2","17.1%"
"35","Chase Edmonds (TB)","8","40","5.0","15","0","0","2","2","18","9.0","0","0","1","5.8","5.8","0.8%"
"36","Zack Moss (CIN)","13","28","2.2","12","0","0","4","8","28","7.0","0","0","1","5.6","5.6","75.0%"
"37","Kenneth Walker III (SEA)","8","21","2.6","12","0","0","4","5","33","8.3","0","0","1","5.4","5.4","97.1%"
"38","Patrick Taylor Jr. (SF)","4","30","7.5","14","0","0","2","2","22","11.0","0","0","1","5.2","5.2","2.0%"
"39","Josh Jacobs (GB)","13","34","2.6","6","0","0","2","2","16","8.0","0","0","1","5.0","5.0","97.2%"
"40","Najee Harris (PIT)","12","29","2.4","7","0","0","3","3","19","6.3","0","0","1","4.8","4.8","91.3%"
"41","Zach Charbonnet (SEA)","9","44","4.9","23","2","0","1","1","4","4.0","0","0","1","4.8","4.8","64.0%"
"42","Samaje Perine (DEN)","2","8","4.0","5","0","0","5","5","36","7.2","0","0","1","4.4","4.4","12.7%"
