"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Deebo Samuel Sr. (SF)","7","9","149","21.3","54","3","1","1","1","1","0","1","27.0","27.0","98.7%"
"2","DJ Moore (CHI)","6","10","68","11.3","38","1","1","3","20","1","0","1","20.8","20.8","97.6%"
"3","Drake London (ATL)","10","11","172","17.2","45","4","0","0","0","0","0","1","19.2","19.2","93.1%"
"4","DeAndre Hopkins (TEN)","7","12","124","17.7","45","3","1","0","0","0","0","1","18.4","18.4","91.9%"
"5","Cooper Kupp (LAR)","8","10","115","14.4","34","3","1","0","0","0","0","1","17.5","17.5","98.0%"
"6","Odell Beckham Jr. (MIA)","4","10","97","24.3","46","2","1","0","0","0","0","1","15.7","15.7","32.9%"
"7","Zay Flowers (BAL)","6","10","60","10.0","21","1","1","0","0","0","0","1","14.0","14.0","91.9%"
"8","CeeDee Lamb (DAL)","6","10","71","11.8","26","1","1","0","0","0","0","1","13.1","13.1","100.0%"
"9","Jayden Reed (GB)","8","10","27","3.4","8","0","0","4","38","1","0","1","12.5","12.5","77.3%"
"10","Courtland Sutton (DEN)","3","4","62","20.7","46","1","1","0","0","0","0","1","12.2","12.2","83.0%"
"11","Diontae Johnson (CAR)","3","7","57","19.0","25","2","1","0","0","0","0","1","11.7","11.7","83.2%"
"12","Wan'Dale Robinson (NYG)","6","7","79","13.2","32","2","0","2","36","0","0","1","11.5","11.5","8.5%"
"13","Michael Pittman Jr. (IND)","8","11","95","11.9","31","1","0","0","0","0","0","1","11.5","11.5","97.1%"
"14","DK Metcalf (SEA)","2","5","52","26.0","31","2","1","0","0","0","0","1","11.2","11.2","98.5%"
"15","Rashee Rice (KC)","7","10","72","10.3","19","0","1","0","0","0","1","1","11.2","11.2","88.9%"
"16","Garrett Wilson (NYJ)","9","14","108","12.0","25","1","0","1","3","0","0","1","11.1","11.1","97.8%"
"17","Michael Gallup (FA)","3","5","48","16.0","39","1","1","0","0","0","0","1","10.8","10.8","6.3%"
