"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"56","Michael Wilson (ARI)","3","3","56","18.7","21","1","0","0","0","0","0","1","5.6","5.6","6.3%"
"57","Michael Pittman Jr. (IND)","8","12","56","7.0","12","0","0","0","0","0","0","1","5.6","5.6","97.1%"
"58","Michael Thomas (FA)","7","9","55","7.9","19","0","0","0","0","0","0","1","5.5","5.5","17.0%"
"59","Tyler Boyd (TEN)","6","8","52","8.7","13","0","0","0","0","0","0","1","5.2","5.2","28.1%"
"60","Jauan Jennings (SF)","2","3","51","25.5","31","2","0","0","0","0","0","1","5.1","5.1","0.6%"
"61","Chris Moore (ARI)","1","1","49","49.0","49","1","0","0","0","0","0","1","4.9","4.9","0.1%"
"62","Brandon Aiyuk (SF)","3","6","43","14.3","18","0","0","0","0","0","0","1","4.3","4.3","98.2%"
"63","Justin Watson (KC)","3","5","62","20.7","34","1","0","0","0","0","1","1","4.2","4.2","1.7%"
"64","Elijah Moore (CLE)","3","9","36","12.0","16","0","0","1","5","0","0","1","4.1","4.1","23.1%"
"65","DeAndre Hopkins (TEN)","4","5","40","10.0","14","0","0","0","0","0","0","1","4.0","4.0","91.9%"
"66","Kadarius Toney (KC)","5","5","35","7.0","17","0","0","1","3","0","0","1","3.8","3.8","5.9%"
"67","Josh Downs (IND)","4","5","37","9.3","12","0","0","0","0","0","0","1","3.7","3.7","26.8%"
"68","River Cracraft (MIA)","2","2","34","17.0","22","1","0","0","0","0","0","1","3.4","3.4","0.1%"
"69","Jaxon Smith-Njigba (SEA)","5","6","34","6.8","16","0","0","0","0","0","0","1","3.4","3.4","76.0%"
"70","Tre Tucker (LV)","0","1","0","0","0","0","0","1","34","0","0","1","3.4","3.4","0.6%"
"71","Calvin Ridley (TEN)","2","8","32","16.0","26","1","0","0","0","0","0","1","3.2","3.2","95.0%"
"72","Curtis Samuel (BUF)","3","3","19","6.3","14","0","0","1","13","0","0","1","3.2","3.2","51.0%"
"73","Ja'Marr Chase (CIN)","5","8","31","6.2","13","0","0","0","0","0","0","1","3.1","3.1","99.4%"
"74","Romeo Doubs (GB)","2","3","30","15.0","15","0","0","0","0","0","0","1","3.0","3.0","44.3%"
"75","Odell Beckham Jr. (MIA)","3","4","29","9.7","15","0","0","0","0","0","0","1","2.9","2.9","32.9%"
"76","Kendrick Bourne (NE)","4","9","29","7.3","13","0","0","0","0","0","0","1","2.9","2.9","4.2%"
